time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1538400600,186.82,187.53,178.43,180.15,65,0,,1,1,0,0,130.03699999999992,-0.15933166629902604,0,0,0,-0.15933166629902604,1,-0.215928954880158,-0.23113577729835663,0,0,0,0
1539005400,179.37,181.02,167.81,174.32,66,0,,1,1,0,0,130.39524999999995,-0.18319145640551332,0,0,0,-0.18319145640551332,1,-0.023859790106487283,-0.0945549072866842,0,0,0,0
1539610200,173.69,178.2585,171.56,173.02,67,0,,1,1,0,0,130.73874999999995,-0.0652184008113738,0,0,0,-0.0652184008113738,1,0.11797305559413952,-0.029610205390538852,0,0,0,0
1540215000,174.06,175.2485,164.23,166.66,68,0,,1,1,0,0,131.04684999999995,-0.3,0,0,0,-0.3,1,-0.23478159918862618,-0.28274801904267594,0,1,0,0
1540819800,169.16,172.55,160.09,169.38,69,0,,1,1,0,0,131.37904999999992,-0.049631169525222556,0,0,0,-0.049631169525222556,1,0.2503688304747774,-0.1062284581063545,0,1,0,0
1541428200,169.61,175.58,167.08,171.52,70,0,,1,1,0,0,131.72354999999993,0.17951131023664618,0,0,0,0.17951131023664618,1,0.22914247976186874,0.33884297653567225,0,0,0,0
1542033000,170.33,170.64,163.46,167.5,71,0,,1,1,0,0,132.05694999999994,-0.19754128988866837,0,0,0,-0.19754128988866837,1,-0.37705260012531455,-0.014349833483154995,0,1,0,0
1542637800,166.74,166.9,157.13,159.21,72,0,,1,1,0,0,132.33169999999996,-0.3,0,0,0,-0.3,1,-0.10245871011133162,-0.23478159918862612,0,0,0,0
1543242600,161.44,169.47,160.76,169.37,73,0,,1,1,0,0,132.67304999999996,0.19293123728326192,0,0,0,0.19293123728326192,1,0.49293123728326194,0.492931237283262,0,1,0,0
1543847400,173.1,173.31,160.86,161.38,74,0,,1,1,0,0,132.96429999999995,-0.08288516340609983,0,0,0,-0.08288516340609983,1,-0.27581640068936175,-0.033253993880877186,0,0,0,0
1544452200,161.11,167.6,159.41,161.08,75,0,,1,1,0,0,133.23514999999995,-0.17082862950730426,0,0,0,-0.17082862950730426,1,-0.08794346610120443,-0.3503399397439504,0,0,0,0
1545057000,160.41,161.67,146.72,147.57,76,0,,1,1,0,0,133.43094999999994,-0.3,0,0,0,-0.3,1,-0.12917137049269573,-0.10245871011133162,0,1,0,0
1545661800,146.14,155.59,143.46,152.97,77,1,143.46,1,1,0,1,133.65379999999993,-0.1110459830659239,0,0,0,-0.1110459830659239,1,0.1889540169340761,0.1889540169340761,0,1,0,0
1546266600,154.47,157,149.49,156.23,78,0,,1,1,0,0,133.89789999999994,0.06340713350119652,0,0,0,0.06340713350119652,1,0.17445311656712043,-0.12952410378206541,0,0,0,0
1546871400,156.54,161.5229,156.11,160.69,79,0,,1,1,0,0,134.17464999999996,0.28623870342302027,0,0,0,0.28623870342302027,1,0.22283156992182374,0.3691238668291201,0,0,0,0
1547476200,159.32,166.02,158.59,165.25,80,0,,1,1,0,0,134.45824999999996,0.3,0,0,0,0.3,1,0.01376129657697972,0.4708286295073042,0,0,0,0
1548167400,164.05,165.65,160.32,165.15,81,0,,1,2,0,0,134.75639999999993,0.14500626433961647,0,0,0,0.14500626433961647,1,-0.15499373566038352,0.44500626433961643,0,0,0,0
1548685800,163.03,168.99,160.99,167.45,5,0,,1,0,0,0,135.06804999999994,0.1306839601344361,0,0,0,0.1306839601344361,1,-0.01432230420518038,0.24172994320035995,0,0,0,0
