time,open,high,low,close,Fair Value,Bottom Band,Top Band,Likely Bottom,Likely Top,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,AB2 Bull Put,AB2 Bear Call,AB2 Iron Condor,AB2 Conservative,LT Fast Trackline,LT Slow Trackline,AB1 Strong Bull,AB1 Strong Bear,AB1 Exit FTL,AB1 Exit Time,Stage 1 Armed
1624469400,57.7,57.7,55.184,55.4,65.72843974583856,52.58275179667085,98.59265961875784,,,15,-10,15,0,56.82338953566804,62.92492941176469,62.92492941176469,56.919781069204205,57.766874234186744,0,0,0,0,31.918835459187353,47.27849411764707,47.27849411764707,58.172987805139684,52.860131934744395,0,0,0,0,54.14920672080849,60.31308235294121,60.31308235294121,56.919781069204205,57.766874234186744,0,0,0,0,41.132028188596486,49.26964470588233,49.26964470588233,58.90763249295011,62.224986660207485,0,0,0,0,-2.4556869916018695,,,,,,,58.90763249295011,62.224986660207485,0,0,0,0,58.90763249295011,62.224986660207485,0,0,0,0,0
1624541400,56.791,57.6,56.241,57.6,68.06838966492184,54.45471173193747,102.10258449738276,,,15,-10,15,0,56.573655349417685,62.39687058823525,62.39687058823525,56.919781069204205,57.766874234186744,0,0,0,0,31.918835459187353,47.27849411764707,47.27849411764707,58.172987805139684,52.860131934744395,0,0,0,0,54.35343166057341,60.49321882352946,66.63300598648551,56.919781069204205,57.766874234186744,0,0,0,0,41.132028188596486,49.26964470588233,49.26964470588233,58.90763249295011,62.224986660207485,0,0,0,0,-2.4556869916018695,,,,,,,58.90763249295011,62.224986660207485,0,0,0,0,58.90763249295011,62.224986660207485,0,0,0,0,0
1624555800,57.798,58.8,57.798,58.131,68.06838966492184,54.45471173193747,102.10258449738276,,,20,-15,20,20,56.38553308919663,61.622119999999995,66.85870691080336,56.919781069204205,57.766874234186744,0,0,0,0,31.043089682904494,46.4451364705882,61.84718325827191,58.172987805139684,52.860131934744395,0,0,0,0,54.57549878483787,60.69778588235292,66.82007297986796,56.919781069204205,57.766874234186744,0,0,0,0,42.25837127283451,50.04186117647055,57.825351080106586,58.90763249295011,62.224986660207485,0,0,0,0,-2.991589672524835,,,,,,,58.90763249295011,62.224986660207485,0,0,0,0,58.90763249295011,62.224986660207485,0,0,0,0,0
1624627800,57,57.03,55.36,55.412,70.09441368107156,56.07553094485725,105.14162052160734,55.412,,0,-10,0,0,55.760445815072565,60.49582588235298,60.49582588235298,56.919781069204205,57.766874234186744,0,0,0,0,31.043089682904494,46.4451364705882,61.84718325827191,58.172987805139684,52.860131934744395,0,0,0,0,54.61792639407185,60.6904823529412,60.6904823529412,56.919781069204205,57.766874234186744,0,0,0,0,42.25837127283451,50.04186117647055,57.825351080106586,58.90763249295011,62.224986660207485,0,0,0,0,-2.991589672524835,,,,,,,58.90763249295011,62.224986660207485,0,0,0,0,58.90763249295011,62.224986660207485,0,0,0,0,0
1624642200,55.286,55.495,54.773,55.05,70.09441368107156,56.07553094485725,105.14162052160734,55.05,,10,-10,10,-5,55.040766588124285,59.402308235294115,59.402308235294115,56.90189840624908,57.766874234186744,0,0,0,0,31.043089682904494,46.4451364705882,61.84718325827191,58.172987805139684,52.860131934744395,0,0,0,0,54.64298523796724,60.67943529411767,60.67943529411767,56.90189840624908,57.766874234186744,0,0,0,0,43.24754417636608,50.62167294117647,50.62167294117647,57.92766165594526,62.224986660207485,0,0,0,0,-3.7695050314638547,,,,,,,57.92766165594526,62.224986660207485,0,0,0,0,57.92766165594526,62.224986660207485,0,0,0,0,0
1624887000,56.91,62.326,56.6,61.449,70.14418045034299,56.11534436027439,105.21627067551448,,,10,-10,10,45,55.124997747858615,59.28357176470582,63.44214578155302,58.03514882318319,57.766874234186744,0,0,0,0,31.043089682904494,46.4451364705882,61.84718325827191,58.172987805139684,52.860131934744395,0,0,0,0,55.00457994518404,61.07590352941172,67.1472271136394,58.03514882318319,57.766874234186744,0,0,0,0,43.24754417636608,50.62167294117647,50.62167294117647,57.92766165594526,62.224986660207485,0,0,0,0,11.230494968536146,,,,,,,57.92766165594526,62.224986660207485,0,0,0,0,57.92766165594526,62.224986660207485,0,0,0,0,0
1624901400,61.599,62.864,61.599,62.326,70.14418045034299,56.11534436027439,105.21627067551448,,,15,-10,15,40,55.391768165150935,59.33254588235293,63.27332359955493,60.50348036284673,57.766874234186744,0,0,0,0,30.99872679472359,46.37906352941177,61.75940026409995,58.172987805139684,52.860131934744395,0,0,0,0,55.382378196319195,61.483680000000014,67.58498180368083,60.50348036284673,57.766874234186744,0,0,0,0,44.44843308681129,51.63561411764701,58.822795148482726,58.91778663339414,62.224986660207485,0,0,0,0,11.5288452667619,,,,,,,58.91778663339414,62.224986660207485,0,0,0,0,58.91778663339414,62.224986660207485,0,0,0,0,0
1624973400,64.95,69.171,64.8,67.126,69.72952447592436,55.7836195807395,104.59428671388655,,,15,-10,15,40,56.07220273145706,60.04279058823536,64.01337844501366,65.02746521082192,57.766874234186744,0,0,0,0,30.99872679472359,46.37906352941177,61.75940026409995,58.172987805139684,52.860131934744395,0,0,0,0,55.940971592205976,62.22201411764705,68.50305664308812,65.02746521082192,57.766874234186744,0,0,0,0,44.44843308681129,51.63561411764701,58.822795148482726,61.82137330243741,62.224986660207485,0,0,0,0,12.403771128005623,,,,,,,61.82137330243741,62.224986660207485,0,0,0,0,61.82137330243741,62.224986660207485,0,0,0,0,0
1624987800,67.365,67.365,65.288,66.91,69.72952447592436,55.7836195807395,104.59428671388655,,,20,0,35,45,56.65177962363495,60.51775764705879,64.38373567048262,65.02746521082192,60.10344796377473,0,0,0,0,30.99872679472359,46.37906352941177,61.75940026409995,60.449074703043735,52.860131934744395,0,0,0,0,56.50806849964913,62.980607058823566,69.453145617998,65.02746521082192,60.10344796377473,0,0,0,0,45.521576027825084,52.789510588235245,60.05744514864541,62.37377520940617,62.224986660207485,0,0,0,0,25.45255769146805,,,,,,,62.37377520940617,62.224986660207485,0,0,0,0,62.37377520940617,62.224986660207485,0,0,0,0,1
1625059800,64.99,65.838,64,65.295,72.63542039716532,58.10833631773226,108.95313059574798,,,15,-10,15,25,57.01189088480542,60.59432470588236,64.1767585269593,65.02746521082192,60.10344796377473,0,0,0,0,30.99872679472359,46.37906352941177,61.75940026409995,60.449074703043735,52.860131934744395,0,0,0,0,56.98299371415856,63.55409882352938,70.12520393290019,65.02746521082192,60.10344796377473,0,0,0,0,45.521576027825084,52.789510588235245,60.05744514864541,62.37377520940617,62.224986660207485,0,0,0,0,25.45255769146805,,,,,,,62.37377520940617,62.224986660207485,0,0,0,0,62.37377520940617,62.224986660207485,0,0,0,0,0
