time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1755783000,307.93,308.155,307.05,307.28,1,2.280900461920572,4.7340014096182745,0,0,0,0,0,0,,1.5897690279928869,-0.07110136763303099,-0.5300090006717824,-0.4589076330387514,0.21875698594770632,,309.7993084217139,655028,171562090,46.96451362408154,2.280900461920572,-45,-65,40,60,80,,,,,,,,,,,307.2644589043298,300.2092956726304,0,0,0,0,0,0,0,0,0,0,307.2644589043298,300.2092956726304,-10,-10,-10,-1.7767103777996647,-1,-0.23920085065082686,0,-0.03750952714883772,1.5,-0.015003810859535172,-0.6314391894435603,0,0,0,0,-2.039200850650827,,,,,0,0,0,304.75592594740635,312.8804235294118,321.0049211114173,308.2522848475044,294.31920932908804,0,0,0,0,304.36997127041593,307.4995294117646,307.4995294117646,307.2946172720802,308.25816878465344,0,0,0,0,304.9007709208031,308.08254117647044,311.2643114321378,307.2644589043298,300.2092956726304,0,0,0,0,1.1749574409243164,,,,48.185011621415896,0.2661697110093387
1755797400,307.27,307.59,307.09,307.3,1,2.280900461920572,4.7340014096182745,0,0,0,0,0,0,,1.5119283831362522,-0.035916722692613756,-0.5038035364045186,-0.4678868137119048,0.15312711360587433,,309.7993084217139,169568,171731658,47.05202480836028,2.280900461920572,-45,-65,40,60,80,,,,,,,,,,,307.2644589043298,300.2092956726304,0,0,0,0,0,0,0,0,0,0,307.2644589043298,300.2092956726304,-15,-15,-10,-1.5767103777996645,-1,-0.23920085065082686,0,-0.03750952714883772,1.3,0.20000000000000018,-0.03584950490816846,1,0,0,0,-1.7192008506508267,,,,,0,0,0,304.75592594740635,312.8804235294118,321.0049211114173,308.2522848475044,294.31920932908804,0,0,0,0,304.2075331658583,307.33919999999983,307.33919999999983,307.2946172720802,308.25816878465344,0,0,0,0,304.7429696245946,307.9193176470586,307.9193176470586,307.2644589043298,300.2092956726304,0,0,0,0,1.1749574409243164,,,,,0.2466688707631799
1755869400,306.52,311.03,306.44,310.6,1,9.780900461920572,4.7340014096182745,0,0,0,0,0,0,,1.731790641483661,0.20288307043646642,-0.21428297566632182,-0.41716604610278823,0.12865632746961644,303.62581017841177,,783110,172514768,59.056658583095306,9.780900461920572,-45,-65,40,60,80,,,,,,,,,,,307.2644589043298,300.2092956726304,0,0,0,0,0,1,1,0,0,0,307.2644589043298,300.2092956726304,10,10,-10,-1.5156897594819447,-1,-0.23920085065082686,0,0.023511091168881965,1.3,0.061020618317719766,0.3009925213820503,0,0,0,0,-1.8392008506508268,,,,,0,0,0,304.75592594740635,312.8804235294118,321.0049211114173,308.2522848475044,294.31920932908804,0,0,0,0,304.3388737129191,307.4812941176471,310.6237145223751,308.8621259438075,308.25816878465344,0,0,0,0,304.7429696245946,307.9193176470586,307.9193176470586,307.2644589043298,300.2092956726304,0,0,0,0,1.1749574409243164,,,,54.35270003850662,0.3211239747359866
1755883800,310.64,310.75,310.13,310.55,1,17.883410886533934,4.7340014096182745,0,0,0,0,0,0,,1.6523770242348286,0.34253502866980273,0.011002739734465194,-0.33153228893533754,-0.037192443118018906,305.640569058056,,253717,172261051,58.83898512341384,17.883410886533934,-45,-65,40,60,80,,,,,,,,,,,308.47762297576514,300.2092956726304,0,0,0,0,0,0,0,1,0,0,308.47762297576514,300.2092956726304,15,15,-10,-1.505943237985874,-1,-0.23920085065082686,0,0.03325761266495296,1.3,0.009746521496070804,0.2762778138555109,0,0,0,0,-1.7192008506508267,,,,,0,0,0,304.8578114856068,312.66343529411745,320.4690591026281,308.2522848475044,294.31920932908804,0,0,0,0,304.4506861277962,307.6022117647059,310.7537374016156,309.1124963495074,308.25816878465344,0,0,0,0,304.8868942061096,308.0765882352943,311.266282264479,308.47762297576514,300.2092956726304,0,0,0,0,1.18073470597094,,,,,0.21375607720675824
1756128600,309.7,310.84,309.7,310.55,1,17.883410886533934,4.7340014096182745,0,0,0,0,0,0,,1.6157786653609114,0.4151324349615396,0.18738325476658702,-0.2277491801949526,0.027970695890041964,305.640569058056,,213015,172261051,58.83898512341384,17.883410886533934,-45,-65,40,60,80,,,,,,,,,,,308.47762297576514,300.2092956726304,0,0,0,0,0,0,0,0,0,0,308.47762297576514,300.2092956726304,10,10,-10,-1.4940914047765896,-1,-0.23920085065082686,0,0.04510944587423713,1.3,0.01185183320928429,0.2676151621635399,0,0,0,0,-1.8392008506508268,,,,,0,0,0,304.8578114856068,312.66343529411745,320.4690591026281,308.2522848475044,294.31920932908804,0,0,0,0,304.7629669596917,307.88159999999965,311.0002330403076,309.41694838299367,308.25816878465344,0,0,0,0,304.8868942061096,308.0765882352943,311.266282264479,308.47762297576514,300.2092956726304,0,0,0,0,1.18073470597094,,24.66075063881131,19.672220983021642,52.809476179492904,0.2698349668082116
1756143000,310.53,310.56,309.82,309.84,1,17.883410886533934,4.7340014096182745,0,0,0,0,0,0,,1.5532230464065613,0.39563895905702473,0.26679951862632834,-0.1288394404306964,-0.007972433118465351,305.77266093702536,,208067,172052984,55.47180303651847,17.883410886533934,-45,-65,40,60,80,,,,,,,,,,,308.47762297576514,300.2092956726304,0,0,0,0,0,0,0,0,0,0,308.47762297576514,300.2092956726304,15,15,-10,-1.4940914047765896,-1,-0.23920085065082686,0,0.04510944587423713,1.3,0,0.28261897302307515,0,0,0,0,-1.8392008506508268,,,,,0,0,0,304.8578114856068,312.66343529411745,320.4690591026281,308.2522848475044,294.31920932908804,0,0,0,0,305.07257793636524,308.1347529411765,311.19692794598774,309.41694838299367,308.25816878465344,0,0,0,0,305.1713399064149,308.3236235294114,311.4759071524079,308.47762297576514,300.2092956726304,0,0,0,0,1.18073470597094,,,,,0.2610674800695119
1756215000,310.63,312.05,310.3,311.53,1,17.89729128648466,4.7340014096182745,0,0,0,0,0,0,,1.6001356859489524,0.4717072344522541,0.46079460263462124,-0.010912631817632856,-0.0007198645520676209,306.5363948433228,,936936,172989920,61.1682199520661,17.89729128648466,-45,-65,40,60,80,,,,,,,,,,,308.69986431405107,300.2092956726304,0,0,0,0,0,0,0,0,0,0,308.69986431405107,300.2092956726304,10,10,-10,-1.4558250771994086,-1,-0.23920085065082686,0,0.08337577345141824,1.3,0.03826632757718107,0.12088530060025604,0,0,0,0,-1.8392008506508268,,,,,0,0,0,304.8578114856068,312.66343529411745,320.4690591026281,308.2522848475044,294.31920932908804,0,0,0,0,305.7161136572898,308.6359294117644,311.555745166239,310.3999407217483,308.25816878465344,0,0,0,0,305.1713399064149,308.3236235294114,311.4759071524079,308.69986431405107,300.2092956726304,0,0,0,0,1.18073470597094,,,,56.77456664222683,0.27037355295701987
1756229400,311.55,312.21,311.24,312.07,1,17.95881147252977,4.7340014096182745,0,0,0,0,0,0,,1.5551259940954536,0.5292187099361859,0.6506107556025995,0.12139204566641362,0.045379544407074375,307.2592553589906,,337914,173327834,62.80555110174704,17.95881147252977,-45,-65,40,60,80,,,,,,,,,,,309.68487400590453,300.2092956726304,0,0,0,0,0,0,0,0,0,0,309.68487400590453,300.2092956726304,15,15,-10,-0.790962975739255,-0.6,-0.11875075442986882,0,0.1077877786906138,1.3,0.6648621014601536,0.7247267837426898,0,0,0,0,-1.1987507544298688,,,,,1,0,0,305.0412030608115,312.510917647059,319.9806322333065,308.2522848475044,294.31920932908804,0,0,0,0,306.4331578166552,309.1994823529409,311.9658068892266,311.0270407243646,308.25816878465344,0,0,0,0,305.9194570975468,308.9145411764708,311.90962525539476,309.68487400590453,300.2092956726304,0,0,0,0,1.1836644305319872,,,,,0.24278184091333116
1756301400,311.38,312.91,310.78,312.71,1,17.95881147252977,4.7340014096182745,0,0,0,0,0,0,,1.5961884230886392,0.5772598660544285,0.8429668782344493,0.2657070121800208,0.10950176374306102,307.2592553589906,,340743,173668577,64.70502363561552,17.95881147252977,-45,-65,40,60,80,,,,,,,,,,,309.68487400590453,300.2092956726304,0,0,0,0,0,0,0,0,0,0,309.68487400590453,300.2092956726304,10,10,-10,-0.6315530887386317,-0.6,0.04065913257075452,0,0.1077877786906138,1.3,0.1594098870006233,0.8743901492472423,0,0,0,0,-1.0393408674292455,,,,,0,0,0,305.0412030608115,312.510917647059,319.9806322333065,308.2522848475044,294.31920932908804,0,0,0,0,306.8778904939582,309.6621176470588,312.44634480015935,311.0270407243646,308.25816878465344,0,0,0,0,305.9194570975468,308.9145411764708,311.90962525539476,309.68487400590453,300.2092956726304,0,0,0,0,1.1836644305319872,,,,57.84267199990323,0.2600225779640597
1756315800,312.74,312.74,312.33,312.7,1,18.029616157701984,4.7340014096182745,0,0,0,0,0,0,,1.5114606785823097,0.5740496391929886,0.9832690611712565,0.40921942197826794,0.11911815021583244,308.2196468407823,,229986,173438591,64.64946845578666,18.029616157701984,-45,-65,40,60,80,,,,,,,,,,,310.8185393214177,300.2092956726304,0,0,0,0,0,0,0,0,0,0,310.8185393214177,300.2092956726304,20,20,-10,-0.5856581818133296,-0.6,0.06333808067436893,0,0.13100373751230143,1.3,0.04589490692530207,0.9084332229632601,0,1,0,0,-1.016661919325631,,,,,0,0,0,305.0412030608115,312.510917647059,319.9806322333065,308.2522848475044,294.31920932908804,0,0,0,0,307.3305945537691,310.1284470588233,312.92629956387754,311.62341647044406,308.25816878465344,0,0,0,0,306.36509898876875,309.3838823529412,312.4026657171137,310.8185393214177,300.2092956726304,0,0,0,0,1.1836644305319872,,,,,0.22455576629163604
