time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1519309800,13.73,13.79999,13.60499,13.737,13.69067798011663,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.69067798011663,13.712541561669513,-5,15,15,10,13.359887183518738,13.62867529411765,13.897463404716563,13.54493687638174,14.538081817386628,0,0,0,0,13.160414159326628,13.438943529411755,13.717472899496883,13.762185096468958,13.563073482645194,0,0,0,0,13.434896257552595,13.724534117647051,14.014171977741508,13.69067798011663,13.712541561669513,0,0,0,0,13.3745737499483,13.647821176470584,13.921068602992868,13.762185096468958,13.563073482645194,0,0,0,0,0.8402027155006389,,,,,646870,1.0027385067485441,4528.089999999788,-0.0077950199040018875,0.4016574613799433,0,0,0,0,0,0,0,2.023569624525193,2.4491605934113396,,
1519396200,13.764,13.8445,13.66225,13.798,13.69067798011663,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.69067798011663,13.712541561669513,15,15,15,10,13.359887183518738,13.62867529411765,13.897463404716563,13.54493687638174,14.538081817386628,0,0,0,0,13.194264998477665,13.469950588235296,13.745636177992926,13.762185096468958,13.563073482645194,0,0,0,0,13.447016875059557,13.737839999999995,14.028663124940433,13.69067798011663,13.712541561669513,0,0,0,0,13.476494972196846,13.747031764705882,14.017568557214918,13.762185096468958,13.563073482645194,0,0,0,0,0.8402027155006389,,,,,404380,1.0094640946381113,13748.920000000282,-0.0019969854637881257,0.4133121464899633,0,0,0,0,0,0,0,1.8769262994765747,2.1162456031179486,,
1519655400,13.819,13.8545,13.682,13.769,13.69067798011663,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.69067798011663,13.712541561669513,15,15,15,10,13.368387051201198,13.627284705882355,13.886182360563511,13.54493687638174,14.538081817386628,0,0,0,0,13.23425016440396,13.508207058823533,13.782163953243106,13.762185096468958,13.563073482645194,0,0,0,0,13.453622564028246,13.742602352941175,14.031582141854104,13.69067798011663,13.712541561669513,0,0,0,0,13.60650323751427,13.878467058823539,14.150430880132808,13.762185096468958,13.563073482645194,0,0,0,0,0.8439552973919241,,59.175613136652736,58.74753346251483,36.898962379572204,615160,1.0095840222144927,-30758.000000000437,0.002142928031914737,0.41838373662382145,0,0,0,0,0,0,0,1.8056521769115914,1.9391645448745982,,
1519741800,13.772,13.8555,13.456,13.516,13.69067798011663,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.69067798011663,13.712541561669513,-30,-15,-15,-10,13.368387051201198,13.627284705882355,13.886182360563511,13.54493687638174,14.538081817386628,0,0,0,0,13.275032556136415,13.535294117647048,13.535294117647048,13.62911731582117,13.563073482645194,0,0,0,0,13.442011770270287,13.728425882352935,13.728425882352935,13.69067798011663,13.712541561669513,0,0,0,0,13.622424741717019,13.888987058823531,13.888987058823531,13.62911731582117,13.563073482645194,0,0,0,0,0.8439552973919241,,,,,861760,0.9934140053270228,-220610.5600000002,0.001592464583382469,0.435415671967828,0,0,0,0,0,0,0,1.93494844919065,2.2448989085562725,,
1519828200,13.571,13.6835,12.78,12.798,13.286780639856753,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.286780639856753,13.712541561669513,-50,-15,-15,-10,13.283976085873718,13.556077647058828,13.556077647058828,13.54493687638174,14.538081817386628,0,0,0,0,13.180375536337753,13.462902352941178,13.462902352941178,13.052656566461067,13.563073482645194,0,0,0,0,13.352451527286261,13.653555294117641,13.653555294117641,13.286780639856753,13.712541561669513,0,0,0,0,13.399447103215364,13.688585882352946,13.688585882352946,13.052656566461067,13.563073482645194,0,0,0,0,0.7865471488562934,,,,,1785610,0.9433600660455214,-1380276.5299999993,-0.006113976823675649,0.4417546098057336,0,0,0,0,0,0,0,1.997927990656224,2.390511889175535,,
1519914600,12.797,12.966,12.216,12.387,12.611609327223425,13.712541561669513,0,0,0,0,0,0,0,0,0,0,12.611609327223425,13.712541561669513,-45,-15,-50,-25,13.283976085873718,13.556077647058828,13.556077647058828,12.898934029991638,14.538081817386628,0,0,0,0,12.951628338314745,13.309387058823512,13.309387058823512,12.562782504547442,13.353397763317163,0,0,0,0,13.210731277506897,13.551258823529414,13.551258823529414,12.611609327223425,13.712541561669513,0,0,0,0,12.939540499595664,13.344749411764697,13.344749411764697,12.562782504547442,13.353397763317163,0,0,0,0,0.7865471488562934,,,,,2235050,0.9159368532934362,-916370.5000000003,-0.018500497638443858,0.3878253928635777,0,0,0,0,0,0,0,1.9346687983446245,2.233330241326011,,
1520001000,12.297,12.669,12.252,12.543,12.611609327223425,13.712541561669513,0,0,0,0,0,0,0,0,0,0,12.611609327223425,13.712541561669513,-50,-20,-35,-35,13.168573004535416,13.469658823529427,13.469658823529427,12.861653027849378,14.538081817386628,0,0,0,0,12.783309989520639,13.184099999999992,13.184099999999992,12.487012325651197,13.058512208794511,0,0,0,0,13.100959726677392,13.468461176470596,13.468461176470596,12.611609327223425,13.712541561669513,0,0,0,0,12.52026798286598,12.996692941176471,12.996692941176471,12.487012325651197,13.058512208794511,0,0,0,0,0.7731135978901816,,,,,1911570,0.9303075065711719,470246.21999999747,-0.02788499216595819,0.3820790211164006,0,0,0,0,0,0,0,2.032681902962679,2.4633656002050626,,
1520260200,12.484,13.465,12.484,13.414,12.92886781562817,13.712541561669513,0,0,0,0,0,0,0,0,0,0,12.92886781562817,13.712541561669513,30,0,0,0,13.168573004535416,13.469658823529427,13.469658823529427,12.861653027849378,14.538081817386628,0,0,0,0,12.771073961985445,13.171583529411757,13.572093096838069,13.152450239289706,13.058512208794511,0,0,0,0,13.090899190549427,13.45866588235294,13.826432574156454,12.92886781562817,13.712541561669513,0,0,0,0,12.423123489133824,12.90260941176471,13.382095334395595,13.152450239289706,13.058512208794511,0,0,0,0,0.7731135978901816,,61.11691459555743,61.46568057170813,47.781993942784354,2034270,0.9975028485757093,1891871.0999999994,-0.028632943333505856,0.4445989025872521,0,0,0,0,0,0,0,2.1264068462441834,2.6886015696975845,,
1520346600,13.473,13.558,13.2105,13.32,13.19441297165473,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.19441297165473,13.712541561669513,0,-15,-15,-10,13.145712191355939,13.445185882352947,13.445185882352947,12.861653027849378,14.538081817386628,0,0,0,0,12.794701630224848,13.19007529411763,13.585448958010412,13.322911175714083,13.058512208794511,0,0,0,0,13.073912511412166,13.442731764705867,13.442731764705867,13.19441297165473,13.712541561669513,0,0,0,0,12.425279386700344,12.905112941176471,13.384946495652597,13.322911175714083,13.058512208794511,0,0,0,0,0.8232241230266685,,,,,1150500,0.9933100954772753,-176026.50000000055,-0.03094065749933972,0.3842252739414403,0,0,0,0,0,0,0,2.1305066678058933,2.695058706073991,,
1520433000,13.196,13.4145,13.14002,13.325,13.19441297165473,13.712541561669513,0,0,0,0,0,0,0,0,0,0,13.19441297165473,13.712541561669513,-15,-15,-15,-5,13.145712191355939,13.445185882352947,13.445185882352947,12.861653027849378,14.538081817386628,0,0,0,0,12.81243800163975,13.201724705882349,13.591011410124947,13.322911175714083,13.058512208794511,0,0,0,0,13.0527583289332,13.42194588235293,13.42194588235293,13.19441297165473,13.712541561669513,0,0,0,0,12.421644635216111,12.900799999999995,13.379955364783878,13.322911175714083,13.058512208794511,0,0,0,0,0.8232241230266685,,,,,1020880,0.9965241373187678,131693.51999999955,-0.03280635534158616,0.40791448590114093,0,0,0,0,0,0,0,1.986234395222498,2.340035049685786,,
