time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1491571800,121.84,122.25,120.69,120.71,30,15,15,10,118.33187698693366,119.82374117647046,121.31560536600726,120.17963494585551,124.39932726486157,0,0,0,0,120.272473634437,121.87581176470596,123.47914989497491,121.02121011785381,120.16308505148247,0,0,0,0,118.77162746311276,120.12778823529399,121.48394900747522,120.70423461820518,121.8618429884963,0,0,0,0,120.75558202235584,121.12658823529414,121.12658823529414,121.02121011785381,120.16308505148247,0,0,0,0,0.006818608336634506,0.9398520691053927,,,,,10270017,0.9659931064107482,-11605119.2100001,-0.03439332707755083,0.35703693043221546,0,0,0,0,0,0,0,2.2363707422834143,2.4669444045604405,,
1491831000,121.14,121.62,121.0001,121.27,15,30,15,10,118.48970278679073,119.98084705882339,121.47199133085604,120.17963494585551,124.39932726486157,0,0,0,0,120.44279482048658,122.07103529411769,123.6992757677488,121.02121011785381,120.16308505148247,0,0,0,0,118.8591752741672,120.22941176470583,121.59964825524446,120.70423461820518,121.8618429884963,0,0,0,0,120.79331060972511,121.15211764705879,121.51092468439246,121.02121011785381,120.16308505148247,0,0,0,0,0.011492833973213983,0.940605801608005,,97.9033615261813,95.04693421994074,51.777045075375845,5314493,0.9713316139260615,690884.0899999759,-0.03245175061463179,0.313898669169663,0,0,0,0,0,0,0,2.250642171516476,2.50667623214859,,
1491917400,121.8,122.65,121.72,122.42,45,15,30,30,118.48970278679073,119.98084705882339,121.47199133085604,120.67262714380965,124.39932726486157,0,0,0,0,120.68000702841428,122.36324705882348,124.04648708923267,121.88765833887697,120.65647751232284,0,0,0,0,118.9896285044667,120.40207058823523,121.81451267200377,121.29012564900377,121.8618429884963,0,0,0,0,120.98955479868866,121.47640000000003,121.9632452013114,121.88765833887697,120.65647751232284,0,1,0,0,0.021041358764007624,0.940605801608005,,,,,11297362,0.9814449690283973,7004364.440000052,-0.02959534299959443,0.3504587626419201,0,0,0,0,0,0,0,2.2464231755215858,2.496315645823297,,
1492003800,122.51,123.185,122.29,123.09,45,30,30,25,118.85289590392543,120.34736470588237,121.84183350783931,121.24458234782325,124.39932726486157,0,0,0,0,120.93146448675537,122.66545882352946,124.39945316030355,122.29088816682281,121.23851483287122,0,0,0,0,119.17307223120542,120.65254117647049,122.13201012173556,121.6808309597892,121.8618429884963,0,0,0,0,121.3062467872962,121.96924705882361,122.63224733035102,122.29088816682281,121.23851483287122,0,0,0,0,0.026622629234849197,0.9548937997555578,,,,,11532463,0.9876633642659461,6688828.5399999805,-0.02706426107822002,0.3388767971589073,0,0,0,0,0,0,0,2.2618576257677443,2.5263879280654304,,
1492090200,123.45,123.74,122.91,123.47,45,15,30,45,118.85289590392543,120.34736470588237,121.84183350783931,121.87996932297872,124.39932726486157,0,0,0,0,121.20021553023366,122.94967058823528,124.6991256462369,122.89349794181139,121.87433520195184,0,0,0,0,119.33465243318825,120.88548235294112,122.436312272694,122.61248382604114,121.8618429884963,0,0,0,0,121.71856895610352,122.58592941176484,123.45328986742615,122.89349794181139,121.87433520195184,0,0,0,0,0.02959705872297242,0.9548937997555578,,,,,8396661,0.991554262348931,167933.2199999666,-0.02335957580705894,0.3439085552970975,0,0,0,0,0,0,0,2.2444457883166486,2.4900661415396246,,
1492435800,123.46,123.55,122.86,123.09,20,35,35,20,119.07406793964847,120.62729411764703,122.18052029564558,121.87996932297872,124.39932726486157,0,0,0,0,121.41599815640198,123.1370117647058,124.85802537300962,122.89349794181139,121.87433520195184,0,0,0,0,119.47768118595674,121.07663529411766,122.67558940227859,122.61248382604114,121.8618429884963,0,0,0,0,122.0231335418341,122.97564705882344,123.92816057581278,122.89349794181139,121.87433520195184,0,0,0,0,0.026236607191242958,0.9550013439830854,,98.8622682950039,98.22299711578883,51.94606577160949,8015015,0.9893575977822231,-2965555.5499999225,-0.020523462520856683,0.34566113350669225,0,0,0,0,0,0,0,2.1573800746108907,2.317350625852808,,
1492522200,123.86,124.98,123.55,124.7,60,20,35,30,119.07406793964847,120.62729411764703,122.18052029564558,122.48247354889492,124.39932726486157,0,0,0,0,121.72890232398987,123.43091764705876,125.13293297012765,124.20906877573825,122.47623800576459,0,0,0,0,119.67069450347472,121.38129411764704,123.09189373181937,123.60574801008853,121.8618429884963,0,0,0,0,122.51621309581063,123.72127058823519,124.92632808065974,124.20906877573825,122.47623800576459,0,0,0,0,0.039352017776503254,0.9550013439830854,,,,,11529704,1.0030227942034997,9684951.360000039,-0.01566175600488484,0.3848214265195631,0,0,0,0,0,0,0,2.189904428825028,2.3833897281369176,,
1492608600,124.1,124.169,123.7,124.02,35,45,35,30,119.3388393338897,120.98456470588222,122.63029007787475,122.63658258111673,124.39932726486157,0,0,0,0,121.97262158135726,123.60870588235284,125.24479018334841,124.20906877573825,122.63150671963855,0,0,0,0,119.86216656849948,121.64854117647047,123.43491578444147,123.60574801008853,121.8618429884963,0,0,0,0,122.82674969713568,124.05802352941181,125.28929736168794,124.20906877573825,122.63150671963855,0,0,0,0,0.033433688005019405,0.9623160342953776,,,,,7343991,0.9983624717795143,-587519.2799999875,-0.011037560952203984,0.3396934544058244,0,0,0,0,0,0,0,2.2009184024867947,2.4037011957625003,,
1492695000,123.73,123.92,123.135,123.54,5,5,20,20,119.3388393338897,120.98456470588222,122.63029007787475,122.63658258111673,124.39932726486157,0,0,0,0,122.1497003676267,123.73614117647065,125.3225819853146,124.20906877573825,122.63150671963855,0,0,0,0,120.06313414592907,121.90359999999998,123.7440658540709,123.60574801008853,121.8618429884963,0,0,0,0,123.0264238001403,124.25454117647052,125.48265855280076,124.20906877573825,122.63150671963855,0,0,0,0,0.029185240847174082,0.9623160342953776,,,,,7932918,0.9953255507278841,-1507254.419999982,-0.007609855694800771,0.37584235004080935,0,0,0,0,0,0,0,2.216215359652996,2.4314881854710495,,
1492781400,123.82,124.24,123.49,123.54,15,15,15,15,119.57235598334319,121.28611764705884,122.9998793107745,122.63658258111673,124.39932726486157,0,0,0,0,122.33070435225687,123.81545882352941,125.30021329480195,124.20906877573825,122.63150671963855,0,0,0,0,120.34264222463855,122.21734117647053,124.0920401283025,123.60574801008853,121.8618429884963,0,0,0,0,123.24207548210298,124.48232941176465,125.72258334142633,124.20906877573825,122.63150671963855,0,0,0,0,0.028952083015793866,0.9587206443841194,,,,,9798520,0.9960633320814504,-2743585.599999872,-0.005521518115793156,0.3643479300633219,0,0,0,0,0,0,0,2.25261279049998,2.503837624688339,,
