time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1750771800,145.59,147.905,145.5,147.195,143.14148845589236,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,143.14148845589236,130.30477339452455,143.14148845589236,,0,0,0,0,143.14148845589236,0,143.14148845589236,0,1,22.440358558040444,13.264263258164682,0,0,0,0,0,0,2.3585115441076385,22.440358558040444,-40,-60,10,30,50,,,,,,,,,,,15,-10,15,0.3093231310582115,0.009742671904924604,0,0,0.3,0.9569378040431599,-0.0009438745468720589,-0.09316893753846456,0,0,0,0,-0.29067686894178846,,,,,0,1,0,115.62601601145045,129.29371764705886,142.96141928266726,139.73873707881123,123.37407498100521,0,0,0,0,142.31461468425323,146.83847058823548,151.36232649221773,144.94976274703538,139.7362898684644,0,0,0,0,135.34128519506265,150.69275294117662,166.0442206872906,143.14148845589236,130.30477339452455,0,0,0,0,1.1912431825446643,,,,67.70469392967959,0.5095734178948839
1750786200,147.19,147.96,147.17,147.84,144.92352499475717,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,144.92352499475717,130.30477339452455,144.92352499475717,,0,0,0,0,144.92352499475717,0,144.92352499475717,0,1,23.78376711075663,14.838232256360229,0,0,0,0,0,0,2.2464750052428086,23.78376711075663,-40,-60,10,30,50,,,,,,,,,,,20,10,30,0.20137453013641435,0.022066348964108872,0,0,0.18,0.9686482422253104,-0.10794860092179717,-0.17939905749863097,0,0,0,0,-0.2786254698635856,,,,,0,0,0,117.21425828924612,131.34618823529416,145.4781181813422,141.68060677082278,123.37407498100521,0,0,0,0,142.6679083533096,147.281505882353,151.8951034113964,145.72237196045396,141.6771950471994,0,0,0,0,136.22887700264647,151.64545882352934,167.0620406444122,144.92352499475717,130.30477339452455,0,0,0,0,1.2210210238041177,,,,,0.476594979116585
1750858200,149.295,153.93,149.26,153.91,146.73898749513168,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,146.73898749513168,130.30477339452455,146.73898749513168,,0,0,0,0,146.73898749513168,0,146.73898749513168,0,1,24.04500022597766,14.838232256360229,0,0,0,0,0,0,2.521012504868323,24.04500022597766,-40,-60,10,30,50,,,,,,,,,,,10,10,15,0.30302565480533183,0.0030659903682113587,0,0,0.3,0.9868441977842815,0.10165112466891749,-0.06826185780364147,0,0,0,0,-0.29697434519466814,,,,,0,0,0,117.21425828924612,131.34618823529416,145.4781181813422,141.68060677082278,123.37407498100521,0,0,0,0,143.21302043705532,148.16479999999993,153.11657956294454,149.60087174141182,141.6771950471994,0,0,0,0,136.22887700264647,151.64545882352934,167.0620406444122,146.73898749513168,130.30477339452455,0,0,0,0,1.2210210238041177,,,,73.87043817575088,0.5423369574060184
1750872600,153.91,154.44,153.19,154.3,150.75977410262226,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,150.75977410262226,130.30477339452455,150.75977410262226,,0,0,0,0,150.75977410262226,0,150.75977410262226,0,1,27.774675307099695,17.72488833155578,0,0,0,0,0,0,2.430225897377728,27.774675307099695,-40,-60,10,30,50,,,,,,,,,,,15,40,40,0.1384442615795343,-0.042260257825349444,0,0,0.18,0.9833290320235304,-0.16458139322579754,-0.19290861554956687,0,0,0,0,-0.15626928255874015,,,,,0,1,0,117.21425828924612,131.34618823529416,145.4781181813422,145.24199200147828,123.37407498100521,0,0,0,0,143.77718849733228,149.04334117647056,154.30949385560885,151.63799655254388,145.24239540097088,0,0,0,0,137.42393203289254,153.135388235294,168.84684443769544,150.75977410262226,130.30477339452455,0,0,0,0,1.2210210238041177,,,,,0.4668309836611116
1750944600,156,156.71,154.03,156.04,151.5819330952921,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,151.5819330952921,130.30477339452455,151.5819330952921,,0,0,0,0,151.5819330952921,0,151.5819330952921,0,1,27.892978579581403,17.72488833155578,0,0,0,0,0,0,2.448066904707891,27.892978579581403,-40,-60,10,30,50,,,,,,,,,,,10,20,25,0.24073655797781962,-0.062453641569738434,0,0,0.3,0.9489189186190888,0.10229229639828533,-0.06953044762726396,0,0,0,0,-0.25045268225263784,,,,,0,1,0,117.21425828924612,131.34618823529416,145.4781181813422,145.24199200147828,123.37407498100521,0,0,0,0,144.36454604586262,149.95675294117643,155.54895983649024,153.06684396622404,145.24239540097088,0,0,0,0,137.42393203289254,153.135388235294,168.84684443769544,151.5819330952921,130.30477339452455,0,0,0,0,1.2210210238041177,,,,74.45225159606112,0.5143764143773683
1750959000,156.035,156.5,154.85,155.08,152.45893787419982,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,152.45893787419982,130.30477339452455,152.45893787419982,,0,0,0,0,152.45893787419982,0,152.45893787419982,0,2,32.94886830903366,21.66864393875568,0,0,0,1,0,0,2.391062125800185,32.94886830903366,-40,-60,10,30,50,,,,,,,,,,,40,80,45,0.05569812860641203,-0.1306670838367454,0,0,0.1755671248605333,0.9173618384556955,-0.18503842937140758,-0.2536250024517995,0,0,0,0,-0.22847889391604903,,,,,0,0,0,118.91824293441786,133.74936470588239,148.5804864773469,150.10756400137268,123.37407498100521,0,0,0,0,144.92624068700576,150.7556,156.58495931299421,153.7349265400652,150.0754385866158,0,0,0,0,138.59755349414675,154.56957647058826,170.54159944702977,152.45893787419982,130.30477339452455,0,0,0,0,1.2754094876524975,,,,,0.49518393700186625
1751031000,156.04,158.705,155.26,157.48,152.7807994546141,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,152.7807994546141,130.30477339452455,152.7807994546141,,0,0,0,0,152.7807994546141,0,152.7807994546141,0,2,32.99518207387553,21.66864393875568,0,0,0,0,0,0,2.4792005453858863,32.99518207387553,-40,-60,10,30,50,,,,,,,,,,,20,45,25,0.2885351321586526,-0.013168336697285886,0,0,0.3,0.8706390263935431,0.23283700355224057,0.08716060202223827,0,0,0,0,-0.011464867841347348,,,,,0,1,0,118.91824293441786,133.74936470588239,148.5804864773469,150.10756400137268,123.37407498100521,0,0,0,0,145.53641352834535,151.6451176470589,157.75382176577244,155.24429431797495,150.0754385866158,0,0,0,0,138.59755349414675,154.56957647058826,170.54159944702977,152.7807994546141,130.30477339452455,0,0,0,0,1.2754094876524975,,,,76.60895404524844,0.5249875130343087
1751045400,157.49,158.2,155.45,157.77,152.95145663642737,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,152.95145663642737,130.30477339452455,152.95145663642737,,0,0,0,0,152.95145663642737,0,152.95145663642737,0,2,36.66405164219033,22.682832234526927,0,0,0,0,0,0,2.4985433635726086,36.66405164219033,-40,-60,10,30,50,,,,,,,,,,,25,65,40,0.14921704017234574,-0.035758443159191154,0,0,0.18,0.8608585024413169,-0.13931809198630687,-0.1538086146329861,0,0,0,0,-0.03078295982765425,,,,,0,0,0,118.91824293441786,133.74936470588239,148.5804864773469,151.35880942984608,123.37407498100521,0,0,0,0,146.1360271049197,152.44085882352957,158.74569054213944,155.24429431797495,151.3471929732861,0,0,0,0,139.86772740495644,156.17108235294114,172.47443730092584,152.95145663642737,130.30477339452455,0,0,0,0,1.2754094876524975,,,,,0.49787791153035166
1751290200,158.4,158.46,155.96,157.82,153.4613525909683,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,153.4613525909683,130.30477339452455,153.4613525909683,,0,0,0,0,153.4613525909683,0,153.4613525909683,0,2,36.737422316944475,22.682832234526927,0,0,0,0,0,0,2.498647409031708,36.737422316944475,-40,-60,10,30,50,,,,,,,,,,,20,45,25,0.9818277577661596,0.550817414463158,0,0,0.3,1.2378471338468628,0.8326107175938139,0.8433834961866253,0,0,0,0,0.7086755484629466,,,,,0,0,0,118.91824293441786,133.74936470588239,148.5804864773469,151.35880942984608,123.37407498100521,0,0,0,0,146.73700707669065,153.25022352941195,159.76343998213326,155.24429431797495,151.3471929732861,0,0,0,0,139.86772740495644,156.17108235294114,172.47443730092584,153.4613525909683,130.30477339452455,0,0,0,0,1.2754094876524975,,100,100,76.79441962171379,0.5094463205315422
1751304600,157.82,158.66,156.84,157.9,154.38982740589913,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,154.38982740589913,130.30477339452455,154.38982740589913,,0,0,0,0,154.38982740589913,0,154.38982740589913,0,2,37.66717897329037,23.319756423470626,0,0,0,0,0,0,2.450172594100871,37.66717897329037,-40,-60,10,30,50,,,,,,,,,,,40,65,40,1.598540937273346,1,0,0,0.3,1.2985409372733459,0.6167131795071863,1.3578043792955263,0,0,0,0,1.564100010622266,,,,,0,0,0,120.66184989297345,136.24411764705883,151.8263854011442,152.14460875628563,123.37407498100521,0,0,0,0,147.319303681936,153.98019999999997,160.64109631806394,156.1628227619405,152.13846490376568,0,0,0,0,140.99739579197632,157.3756470588235,173.75389832567066,154.38982740589913,130.30477339452455,0,0,0,0,1.2950997178841483,,,,,0.5081293349585961
1751376600,156.27,157.2,151.495,154.28,154.38982740589913,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,154.38982740589913,130.30477339452455,154.38982740589913,,0,0,0,0,154.38982740589913,0,154.38982740589913,1,2,37.66717897329037,23.319756423470626,0,0,0,0,0,0,2.7326602659508086,37.66717897329037,-40,-60,10,30,50,,,,,,,,,,,0,-10,15,1.4574580909772255,1,0,0,0.3,1.1574580909772254,-0.14108284629612045,1.4017599623708135,0,0,0,0,1.2650788258566064,,,,,0,0,0,120.66184989297345,136.24411764705883,151.8263854011442,152.14460875628563,123.37407498100521,0,0,0,0,147.7270689634433,154.3360352941177,160.9450016247921,156.1628227619405,152.13846490376568,0,0,0,0,140.99739579197632,157.3756470588235,173.75389832567066,154.38982740589913,130.30477339452455,0,0,0,0,1.2950997178841483,,,,65.81271488999647,0.5654385257858151
1751391000,154.28,154.88,152.92,153.27,154.38982740589913,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,154.38982740589913,130.30477339452455,154.38982740589913,,1,0,0,0,154.38982740589913,0,154.38982740589913,0,2,36.48670222464371,23.319756423470626,0,0,0,0,0,0,2.677470246954323,36.48670222464371,-40,-60,10,30,50,,,,,,,,,,,5,35,20,1.4243714924610038,1,0,0,0.3,1.1243714924610038,-0.033086598516221644,1.1358363603023514,0,0,0,0,1.1563471082675185,,,,,0,0,0,120.66184989297345,136.24411764705883,151.8263854011442,152.14460875628563,123.37407498100521,0,0,0,0,148.0632963947532,154.53490588235312,161.00651536995304,156.1628227619405,152.13846490376568,0,0,0,0,141.83118384462668,157.97016470588238,174.10914556713809,154.38982740589913,130.30477339452455,0,0,0,0,1.2950997178841483,,,,,0.4892614417947141
1751463000,152.98,157.6,152.97,157.205,154.38982740589913,130.30477339452455,0,0,0,0,0,0,0,0,0,0,0,0,154.38982740589913,130.30477339452455,154.38982740589913,,0,0,0,0,154.38982740589913,0,154.38982740589913,0,2,36.48670222464371,23.319756423470626,0,0,0,0,0,0,2.8169366578861563,36.48670222464371,-40,-60,10,30,50,,,,,,,,,,,0,15,15,1.4112042993771512,1,0,0,0.3,1.1112042993771512,-0.013167193083852613,1.2619872592048056,0,0,0,0,1.164496992388009,,,,,0,0,0,120.66184989297345,136.24411764705883,151.8263854011442,152.14460875628563,123.37407498100521,0,0,0,0,148.57960523080556,155.1596235294118,161.73964182801802,156.1628227619405,152.13846490376568,0,0,0,0,141.83118384462668,157.97016470588238,174.10914556713809,154.38982740589913,130.30477339452455,0,0,0,0,1.2950997178841483,,,,69.73780364148617,0.5485301914514462
