time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,MVRV,Z-score,Plot,Plot,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution
1743183000,292.64,297.58,289.25,289.49,,15.482527036846703,-3.2614895114235996,6.874015001158398,10.135504512581997,0.016481433005422378,,338.51974932818496,897518,82064816,44.00252995427885,21.780544819134583,-45,-65,40,60,80,,,,,,,,,,,313.0625270368467,307.8921795756024,0,0,0,0,0,0,0,0,0,0,313.0625270368467,307.8921795756024,-15,10,10,-10,252.213950450805,301.2472470588234,350.2805436668418,303.77727610746,298.29662026914616,0,0,0,0,289.60499699573575,318.06028235294133,318.06028235294133,303.998663480958,303.69406359555626,0,0,0,0,234.7994523375971,273.15663529411745,273.15663529411745,313.0625270368467,307.8921795756024,0,0,0,0,308.4050326178553,331.25822352941174,331.25822352941174,303.998663480958,303.69406359555626,0,0,0,0,1.6326436372655302,,,,,0.23946446433232776,1.9970576042210626,1.9948642428817844,,,1,21.780544819134583,1.8373174437473618,0,0,0,0,0,0
1743427800,282.56,294.91,272.82,289.38,,15.954489391357654,-4.42177365514428,4.608287443651648,9.030061098795928,0.01960146709583431,,331.0862743953665,1178205,80886611,43.96289989342147,21.64668885075719,-45,-65,40,60,80,,,,,,,,,,,310.86448939135767,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.86448939135767,307.8921795756024,0,10,10,-10,252.213950450805,301.2472470588234,350.2805436668418,303.77727610746,298.29662026914616,0,0,0,0,290.4415133720682,318.86204705882324,318.86204705882324,303.998663480958,303.69406359555626,0,0,0,0,234.7994523375971,273.15663529411745,273.15663529411745,310.86448939135767,307.8921795756024,0,0,0,0,304.55153081890995,326.0300823529413,326.0300823529413,303.998663480958,303.69406359555626,0,0,0,0,1.6326436372655302,,24.708304359788105,22.76115353198736,46.36252770581528,0.28682713025833356,1.885864703366149,1.772595451166947,,,1,21.64668885075719,1.8373174437473618,0,0,0,0,0,0
1743442200,289.33,294.7,284.35,288.27,,15.55416872054639,-5.070383546540394,2.692081665620435,7.762465212160829,0.008668333068828318,,331.0862743953665,547344,80339267,43.536793054582915,13.364625222206923,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,-30,15,15,-15,246.45424366679478,293.6800823529412,293.6800823529412,303.77727610746,298.29662026914616,0,0,0,0,290.64200457752764,319.0655764705885,319.0655764705885,302.1233154852051,303.69406359555626,0,0,0,0,235.48230487363787,273.2522117647061,273.2522117647061,310.2541687205464,307.8921795756024,0,0,0,0,300.2382974465784,320.12932941176473,320.12932941176473,302.1233154852051,303.69406359555626,0,0,0,0,1.4394413472071945,,,,,0.2372805531786723,1.885864703366149,1.771607866222921,,,1,13.364625222206923,1.8373174437473618,0,0,0,0,0,0
1743514200,292.79,307.59,280.77,300.67,,16.358870954793076,-4.4905516591606744,2.1492756382099856,6.63982729737066,0.0466001441418818,,331.0862743953665,1380296,81719563,49.43312199495395,13.364625222206923,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,5,15,15,-10,246.45424366679478,293.6800823529412,293.6800823529412,303.77727610746,298.29662026914616,0,0,0,0,290.839228800061,318.89110588235303,318.89110588235303,302.1233154852051,303.69406359555626,0,0,0,0,235.48230487363787,273.2522117647061,273.2522117647061,310.2541687205464,307.8921795756024,0,0,0,0,298.0902579226033,316.2135176470591,316.2135176470591,302.1233154852051,303.69406359555626,0,0,0,0,1.4394413472071945,,,,51.067710461988256,0.27167073374642425,1.8893711795891617,1.7774169748971582,,,1,13.364625222206923,1.8373174437473618,0,0,0,0,0,0
1743528600,300.44,307.5,292.4,306.03,,16.268951600879287,-3.610193487079438,2.1270854385213624,5.7372789256008,0.062284141872031684,,331.0862743953665,555208,82274771,51.777325153743654,8.562498999105614,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,5,15,15,-10,246.45424366679478,293.6800823529412,293.6800823529412,303.77727610746,298.29662026914616,0,0,0,0,291.32653215553785,319.0591529411766,346.79177372681534,302.1233154852051,303.69406359555626,0,0,0,0,240.26448946796222,276.0912705882351,311.91805170850796,310.2541687205464,307.8921795756024,0,0,0,0,296.4972715533022,314.32076470588214,332.1442578584621,302.1233154852051,303.69406359555626,0,0,0,0,1.4394413472071945,,,,,0.2420060967402667,1.8893711795891617,1.776425383327771,,,1,8.562498999105614,1.8373174437473618,0,0,0,0,0,0
1743600600,298.22,319.33,296.98,309.13,,16.703312200816477,-2.723620651016173,2.332753111830584,5.056373762846757,0.04570663737121098,,331.0862743953665,1197131,83471902,53.1306426357799,8.562498999105614,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,10,10,10,-10,246.45424366679478,293.6800823529412,293.6800823529412,303.77727610746,298.29662026914616,0,0,0,0,291.9443328220335,319.3863999999999,346.82846717796633,302.1233154852051,303.69406359555626,0,0,0,0,240.26448946796222,276.0912705882351,311.91805170850796,310.2541687205464,307.8921795756024,0,0,0,0,296.5554200026077,314.28490588235314,332.01439176209857,302.1233154852051,303.69406359555626,0,0,0,0,1.4394413472071945,,,,52.708764110626326,0.2664466779023258,1.9490459697278741,1.8947981247492056,,,1,8.562498999105614,1.8373174437473618,0,0,0,0,0,0
1743615000,309,313.49,304.01,313.22,,16.187361329329587,-1.810241027450635,2.793572478533463,4.603813505984098,0.04399859361973809,,331.0862743953665,431306,83903208,54.92786901686192,8.562498999105614,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,15,15,15,-10,242.93289463151024,287.7832235294116,332.63355242731296,303.77727610746,298.29662026914616,0,0,0,0,292.9318275955293,320.3717176470589,347.81160769858855,302.1233154852051,303.69406359555626,0,0,0,0,245.31256844276686,279.35348235294157,313.3943962631163,310.2541687205464,307.8921795756024,0,0,0,0,295.845537135285,313.2033882352941,330.5612393353032,302.1233154852051,303.69406359555626,0,0,0,0,1.5481901125570323,,,,,0.23744024902868777,1.9490459697278741,1.8936542827866747,,,1,8.562498999105614,1.8373174437473618,0,0,0,0,0,0
1743687000,286.77,299.22,281.5,281.84,,17.29683552009176,-3.1874269281048937,0.6195298458529805,3.8069567739578742,0.008617834620526297,,331.0862743953665,1195177,82708031,41.71215277760227,8.562498999105614,-45,-65,40,60,80,,,,,,,,,,,310.2541687205464,307.8921795756024,0,0,0,0,0,0,0,0,0,0,310.2541687205464,307.8921795756024,10,10,10,-10,242.93289463151024,287.7832235294116,332.63355242731296,303.77727610746,298.29662026914616,0,0,0,0,291.45423709127397,318.5237176470589,318.5237176470589,302.1233154852051,303.69406359555626,0,0,0,0,245.31256844276686,279.35348235294157,313.3943962631163,310.2541687205464,307.8921795756024,0,0,0,0,290.9546085344631,308.6559764705882,308.6559764705882,302.1233154852051,303.69406359555626,0,0,0,0,1.5481901125570323,,,,45.14194248090609,0.2684328876944988,1.8874915732516142,1.7705389279424129,,,1,8.562498999105614,1.8373174437473618,0,0,0,0,0,0
1743701400,281.7,285.02,276.06,282.29,,16.701347268656633,-3.8895195330720376,-1.0549426423821728,2.8345768906898647,0.011447671408299356,,330.9431140023531,757171,83465202,41.92793194100684,-6.957132264161492,-45,-65,40,60,80,,,,,,,,,,,301.7213472686566,307.8921795756024,0,1,0,0,0,0,0,0,0,0,301.7213472686566,307.8921795756024,-15,10,10,-15,242.93289463151024,287.7832235294116,332.63355242731296,303.77727610746,298.29662026914616,0,0,0,0,289.8313141197348,315.9824705882355,315.9824705882355,296.3245957906645,303.69406359555626,0,0,0,0,247.15230329348205,279.97463529411766,279.97463529411766,301.7213472686566,307.8921795756024,0,0,0,0,284.72447471053914,302.6334117647059,302.6334117647059,296.3245957906645,303.69406359555626,0,0,0,0,1.5481901125570323,,,,,0.24245812918770082,1.8874915732516142,1.7695589709075388,,,1,-6.957132264161492,1.8373174437473618,0,0,0,0,0,0
1743773400,285.09,287.85,265.35,280.63,,17.115536749466873,-4.257462153398107,-2.487250801057769,1.7702113523403378,0.04504333664517188,,328.7128026021179,1464119,82001083,41.32025226528358,-6.957132264161492,-45,-65,40,60,80,,,,,,,,,,,301.7213472686566,307.8921795756024,0,0,0,0,0,0,0,0,0,0,301.7213472686566,307.8921795756024,-15,10,10,-10,242.93289463151024,287.7832235294116,332.63355242731296,303.77727610746,298.29662026914616,0,0,0,0,288.0560613611684,313.5637411764707,313.5637411764707,294.63896269705253,303.69406359555626,0,0,0,0,247.15230329348205,279.97463529411766,279.97463529411766,301.7213472686566,307.8921795756024,0,0,0,0,278.17814484907933,296.29571764705906,296.29571764705906,294.63896269705253,303.69406359555626,0,0,0,0,1.5481901125570323,,,,48.14371471339792,0.27056925848196806,1.899798939722037,1.795708342222529,,,1,-6.957132264161492,1.8373174437473618,0,0,0,0,0,0
