time,open,high,low,close,SRI Bias Histogram,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1690392600,44.539,44.775,43.9,44.375,15,42.02605882277874,47.21143647058825,52.39681411839776,43.79875876392321,42.36288903910455,43.069959892862045,44.787411764705844,46.50486363654964,43.79875876392321,42.402842019517976,15
1690464600,45.096,45.228,43.2,43.203,-10,42.12398915105339,47.21819647058823,52.31240379012308,43.79875876392321,42.36288903910455,42.89272419984874,44.478482352941164,44.478482352941164,43.79875876392321,42.402842019517976,-10
1690479000,43.239,43.355,42.41,42.615,-5,42.18665162434811,47.21859647058823,52.250541316828354,43.631847223540795,42.36288903910455,42.562633769457086,44.00923058823532,44.00923058823532,43.631847223540795,42.402842019517976,-5
1690551000,43.319,43.851,42.48,43.496,-10,42.293744280027305,47.271523529411766,52.24930277879623,43.631847223540795,42.36288903910455,42.38568392346184,43.72908705882352,43.72908705882352,43.631847223540795,42.402842019517976,-10
1690565400,43.401,43.7,43.065,43.419,-5,42.37575509568269,47.27595882352937,52.17616255137605,43.631847223540795,42.36288903910455,42.16565210559651,43.3940517647059,43.3940517647059,43.631847223540795,42.402842019517976,-5
1690810200,43.945,44.284,43.219,43.653,-10,42.45842478568265,47.274223529411735,52.09002227314082,43.631847223540795,42.36288903910455,42.01689718351238,43.10440705882354,44.1919169341347,43.631847223540795,42.402842019517976,-10
1690824600,43.606,43.858,43.326,43.813,-5,42.53850019771567,47.266034117647095,51.99356803757852,43.631847223540795,42.36288903910455,41.86151292935587,42.91569176470589,43.96987060005591,43.631847223540795,42.402842019517976,-5
1690896600,42.983,43.633,42.075,43.134,-10,42.56055307082012,47.179251764705874,51.79795045859163,43.631847223540795,42.36288903910455,41.823544219689495,42.84273411764708,42.84273411764708,43.631847223540795,42.402842019517976,-10
1690911000,43.151,43.818,43.1,43.535,-5,42.6002519182116,47.000203529411735,51.40015514061187,43.631847223540795,42.36288903910455,42.05864335810575,42.94994823529412,43.8412531124825,43.631847223540795,42.402842019517976,-5
1690983000,43.483,43.7,40.112,41,-10,42.45272597529532,46.60033411764707,46.60033411764707,42.50805341233211,42.36288903910455,41.649424262666805,42.642919999999975,42.642919999999975,42.50805341233211,42.402842019517976,-10
1690997400,40.906,41.15,40.447,40.728,-5,42.27004380652805,46.216730588235286,46.216730588235286,41.76367870757207,42.36288903910455,41.18757086681982,42.298364705882335,42.298364705882335,41.76367870757207,42.402842019517976,-5
1691069400,40.002,40.117,38.8,39.466,-10,41.97597750661509,45.72956470588234,45.72956470588234,40.68163623254939,42.36288903910455,40.379760600246314,41.74519058823528,41.74519058823528,40.68163623254939,42.402842019517976,-10
1691083800,39.518,39.56,38.7895,38.967,-25,41.63511102186822,45.19171411764703,45.19171411764703,40.10076287398391,42.36288903910455,39.51940928077007,41.128075294117636,41.128075294117636,40.10076287398391,42.24472870927687,-25
1691155800,39,39.558,38.654,38.762,-10,41.27667065560707,44.622124705882335,44.622124705882335,40.07829553930245,42.36288903910455,38.77595198601038,40.57171294117642,40.57171294117642,40.07829553930245,42.24472870927687,-10
1691170200,38.795,38.8,37.477,37.651,-35,40.79569136279442,43.99656117647059,43.99656117647059,38.64240278643936,41.71570224660107,37.96936561474772,39.9683364705882,39.9683364705882,38.64240278643936,41.682390944328525,-35
1691415000,37.101,37.399,35.77,36.6145,-15,40.198683901914784,43.29469999999998,43.29469999999998,37.88042893320537,41.71570224660107,36.98287085868225,39.24422941176467,39.24422941176467,37.88042893320537,41.682390944328525,-15
