time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1736519400,329.745,337,317.98,331.25,0.07398219133823879,,,,,0,0,0,1,15.460989530640235,15.634499192031425,0,0,0,0,0,0,,21.18282171089955,3.0747249712284326,-4.629549565765274,-7.704274536993706,0.14168374331205882,310.75660663445854,,1080449,74109340,46.66946688325474,15.460989530640235,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-35,-10,-10,-10,307.23730389621625,410.6662235294115,514.0951431626069,344.93380295498287,298.29662026914616,0,0,0,0,283.85669476769124,319.26969411764674,319.26969411764674,348.6335575563469,345.0876766504549,0,0,0,0,324.06310317192253,383.2722823529413,383.2722823529413,343.4958851800523,307.8921795756024,0,0,0,0,308.1408227158306,330.49077647058834,330.49077647058834,348.6335575563469,345.0876766504549,0,0,0,0,2.2397754217872405,,,,47.183351495089326,0.4841700388532807
1736533800,331.2,335.55,325.81,327.97,0.06781897641394956,,,,,0,0,0,1,17.485441984025083,15.634499192031425,0,0,0,0,0,0,,20.365477302978153,2.178533739194892,-4.981107363000092,-7.159641102194984,0.07686581269898463,310.75660663445854,,563104,73546236,45.71976458130327,17.485441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-40,-15,-15,-5,309.2805468877165,411.8302352941176,514.3799237005187,344.93380295498287,298.29662026914616,0,0,0,0,281.9917372077767,317.5656000000002,317.5656000000002,348.33816178983017,345.0876766504549,0,0,0,0,320.5888492781322,378.4831411764706,378.4831411764706,343.4958851800523,307.8921795756024,0,0,0,0,307.52257599911854,329.86367058823527,329.86367058823527,348.33816178983017,345.0876766504549,0,0,0,0,2.124560458631398,,,,,0.4639146223811533
1736778600,310.42,324.79,303.8,317.45,-0.3,,,,,0,1,0,1,9.985441984025083,15.634499192031425,0,0,0,0,0,0,,20.637228924194,0.8965273565124239,-6.038981906554454,-6.935509263066878,0.08256797270730351,310.75660663445854,,1017219,72529017,42.71725393028523,9.985441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-55,-10,-10,-10,309.2805468877165,411.8302352941176,514.3799237005187,344.93380295498287,298.29662026914616,0,0,0,0,278.8161207660698,314.82190588235295,314.82190588235295,333.03321093102704,345.0876766504549,0,0,0,0,320.5888492781322,378.4831411764706,378.4831411764706,343.4958851800523,307.8921795756024,0,0,0,0,306.3931569493992,328.65362352941173,328.65362352941173,333.03321093102704,345.0876766504549,0,0,0,0,2.124560458631398,,13.441657117739915,13.573797300886769,47.27302499962332,0.4816974895491273
1736793000,317.5,329.3,315.37,328.43,-0.3,,,,,0,0,0,1,9.985441984025083,15.634499192031425,0,0,0,0,0,0,,20.15814114389443,0.8099408097655685,-5.923083250859918,-6.733024060625486,0.11289416882450969,310.75660663445854,,401346,72930363,46.65498199497411,9.985441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-25,-15,-15,-10,309.2805468877165,411.8302352941176,514.3799237005187,344.93380295498287,298.29662026914616,0,0,0,0,276.9334625969526,313.11056470588227,313.11056470588227,333.03321093102704,345.0876766504549,0,0,0,0,317.0766232536899,373.6772941176469,373.6772941176469,343.4958851800523,307.8921795756024,0,0,0,0,308.0890640441329,329.6711529411763,329.6711529411763,333.03321093102704,345.0876766504549,0,0,0,0,2.124560458631398,,,,,0.46232638233430967
1736865000,343.41,349.77,331.32,343.26,-0.3,,,,,0,0,0,1,9.985441984025083,15.634499192031425,0,0,0,0,0,0,,20.242559633616253,1.7210112536687046,-4.581759993539606,-6.302771247208311,0.16782579327224292,310.75660663445854,,845324,73775687,51.50397470677639,9.985441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-20,-10,-10,-10,309.2805468877165,411.8302352941176,514.3799237005187,344.93380295498287,298.29662026914616,0,0,0,0,278.34094493523725,313.9091058823531,349.477266829469,333.03321093102704,345.0876766504549,0,0,0,0,317.0766232536899,373.6772941176469,373.6772941176469,343.4958851800523,307.8921795756024,0,0,0,0,310.9136707196733,332.41176470588255,353.9098586920918,333.03321093102704,345.0876766504549,0,0,0,0,2.124560458631398,,,,49.849867821223036,0.4895949818159337
1736879400,343.27,354.89,336.96,342.91,-0.3,,,,,0,0,0,1,9.985441984025083,15.634499192031425,0,0,0,0,0,0,,20.077376802643663,2.2369592838175993,-3.506572142436312,-5.743531426253911,0.12901088427103505,310.75660663445854,,720650,73055037,51.385259106515754,9.985441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-25,-15,-15,-10,311.9280316150879,413.6689764705882,515.4099213260885,344.93380295498287,298.29662026914616,0,0,0,0,279.09690214733274,314.3218588235294,349.54681549972605,333.03321093102704,345.0876766504549,0,0,0,0,314.5432389919103,369.3383647058823,369.3383647058823,343.4958851800523,307.8921795756024,0,0,0,0,312.9838538545929,334.6158352941175,356.24781673364214,333.03321093102704,345.0876766504549,0,0,0,0,2.1886593685287288,,,,,0.4814610564156119
1736951400,357.75,363.98,353.05,357.96,-0.058421228865322423,,,,,0,1,0,1,9.985441984025083,15.634499192031425,0,0,0,0,0,0,,20.148278459597687,3.455898931608216,-1.423657761743641,-4.879556693351857,0.10327748872726383,310.75660663445854,,1061545,74116582,56.07385962042523,9.985441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,-5,-10,-10,-10,311.9280316150879,413.6689764705882,515.4099213260885,344.93380295498287,298.29662026914616,0,0,0,0,280.79694972446646,315.74724705882386,350.69754439318126,342.287614687094,345.0876766504549,0,0,0,0,314.5432389919103,369.3383647058823,369.3383647058823,343.4958851800523,307.8921795756024,0,0,0,0,319.48598885057805,341.1874705882355,362.88895232589294,342.287614687094,345.0876766504549,0,0,0,0,2.1886593685287288,,,,53.15341223107557,0.46687343026960754
1736965800,357.85,368.43,356.07,360.53,0.035462550916461555,,,,,0,0,0,1,17.485441984025083,15.634499192031425,0,0,0,0,0,0,,19.59197285534071,4.24724013842043,0.4294934796736811,-3.8177466587467492,0.1344751400404795,310.75660663445854,,638453,74755035,56.83935831612789,17.485441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,1,1,0,0,0,343.4958851800523,307.8921795756024,35,-10,-10,-5,311.9280316150879,413.6689764705882,515.4099213260885,344.93380295498287,298.29662026914616,0,0,0,0,283.5896866419556,317.9658823529411,352.3420780639266,346.10748409244326,345.0876766504549,0,0,0,0,313.3439718243964,366.0964235294119,418.84887523442734,343.4958851800523,307.8921795756024,0,0,0,0,324.9646052516294,347.4296352941177,369.894665336606,346.10748409244326,345.0876766504549,0,0,0,0,2.1886593685287288,,,,,0.47189639332364586
1737037800,357.81,365.25,345.88,360,0.035462550916461555,,,,,0,0,0,1,17.485441984025083,15.634499192031425,0,0,0,0,0,0,,19.5761176513878,4.5215724354567275,1.8342188855741597,-2.6873535498825674,0.2048175610435731,310.75660663445854,,1003338,73751697,56.62021895859973,17.485441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,0,-10,-10,-10,311.9280316150879,413.6689764705882,515.4099213260885,344.93380295498287,298.29662026914616,0,0,0,0,286.168219071541,320.05640000000017,353.94458092845935,346.10748409244326,345.0876766504549,0,0,0,0,313.3439718243964,366.0964235294119,418.84887523442734,343.4958851800523,307.8921795756024,0,0,0,0,329.70749112353707,352.8255411764706,375.94359122940415,346.10748409244326,345.0876766504549,0,0,0,0,2.1886593685287288,,,,54.27509455252221,0.47428915401008837
1737052200,359.64,370.26,357.24,366.995,0.3,,,,,0,0,0,1,17.485441984025083,15.634499192031425,0,0,0,0,0,0,,19.107823533431525,4.92739495367668,3.471890142213283,-1.455504811463397,0.22396701777284567,310.75660663445854,,536483,74288180,58.87386470730758,17.485441984025083,-45,-65,40,60,80,,,,,,,,,,,343.4958851800523,307.8921795756024,0,0,0,0,0,0,0,0,0,0,343.4958851800523,307.8921795756024,30,5,5,-10,315.74924518826606,416.9499529411763,518.1506606940866,344.93380295498287,298.29662026914616,0,0,0,0,288.5244954375867,322.2318235294117,355.9391516212367,353.9413724272249,345.0876766504549,0,0,0,0,312.6244708157636,362.4850470588235,412.34562330188345,343.4958851800523,307.8921795756024,0,0,0,0,334.1357484666153,358.3289647058824,382.5221809451495,353.9413724272249,345.0876766504549,0,0,0,0,2.315736281908619,,,,,0.4486372352935753
