time,open,high,low,close,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1659101400,27,28.009,26.901,27.251,25.675569699685447,,0,0,0,0,0,-2.7699047556989105,-23.164344819730285,0,0,0,0,0,0,1.467719067028079,-0.179531710481456,1.3240721021524173,1.5036038126338733,0.1467777112294641,,28.510212422523466,87740,13065413,60.19148964919243,-2.7699047556989105,-45,-65,40,60,80,,,,,,,,,,,15,15,15,0.3,0,0,0,0.3,1,0,0.4092772982170335,0,0,0,0,0.3,,,,,0,0,0,3.2133090322980884,14.835672941176465,26.458036850054842,25.2215110961528,32.82526977479242,0,0,0,0,23.71110181637712,27.56568823529411,31.420274654211102,26.514398442469417,24.983533224252493,0,0,0,0,19.573473818359275,23.11029176470588,26.647109711052487,25.675569699685447,25.065846707809687,0,0,0,0,0.524575684668517,,,,62.514908790706876,0.47891417512609186
1659115800,27.23,28.781,27.23,28.628,25.7563322949025,,0,0,0,0,0,-3.5656686225042904,-23.164344819730285,0,0,0,0,0,0,1.4736677050975018,-0.07589247741788396,1.4087382158615185,1.4846306932794024,0.14913732036827712,23.592654507461702,,70550,13135963,64.47129823633512,-3.5656686225042904,-45,-65,40,60,80,,,,,,,,,,,20,20,15,0.3,0,0,0,0.3,1,0,0.4092772982170335,0,0,0,0,0.3,,,,,0,0,0,3.4389185991807345,15.004762352941157,26.57060610670158,25.2215110961528,32.82526977479242,0,0,0,0,24.00997555593539,27.941576470588252,31.873177385241114,26.94166649092485,24.983533224252493,0,0,0,0,20.048562164698915,23.72825176470587,27.407941364712826,25.7563322949025,25.065846707809687,0,0,0,0,0.5742679845595368,,,,,0.48225323351467986
1659360600,27.641,28.658,27.37,27.64,25.909594273838035,,0,0,0,0,0,-3.4510240968858557,-23.164344819730285,0,0,0,0,0,0,1.4604057261619658,-0.08354195137805176,1.3802032540568376,1.4637452054348894,0.15719508023571366,23.65603905671554,,90120,13045843,59.52631203943688,-3.4510240968858557,-45,-65,40,60,80,,,,,,,,,,,15,15,10,0.3,0,0,0,0.3,1,0,0.15493567504179728,0,0,0,0,0.3,,,,,0,0,0,3.4389185991807345,15.004762352941157,26.57060610670158,25.2215110961528,32.82526977479242,0,0,0,0,24.27838359803362,28.266290588235318,32.254197578437015,26.94166649092485,24.983533224252493,0,0,0,0,20.048562164698915,23.72825176470587,27.407941364712826,25.909594273838035,25.065846707809687,0,0,0,0,0.5742679845595368,,100,86.21880566414677,59.35025023051334,0.461779638032618
1659375000,27.515,27.78,27.262,27.6,25.909594273838035,,0,0,0,0,0,-3.4510240968858557,-23.164344819730285,0,0,0,0,0,0,1.3930910314361111,-0.0998544785098825,1.3389271072975362,1.4387815858074187,0.18868167889515047,23.65603905671554,,23670,13022173,59.32791031167854,-3.4510240968858557,-45,-65,40,60,80,,,,,,,,,,,15,15,10,0.3,0,0,0,0.3,1,0,8.326672684688674e-17,0,0,0,0,0.3,,,,,0,0,0,3.4389185991807345,15.004762352941157,26.57060610670158,25.2215110961528,32.82526977479242,0,0,0,0,24.54545691188197,28.58709647058825,32.62873602929453,26.94166649092485,24.983533224252493,0,0,0,0,20.37041156309367,24.14196235294116,27.913513142788652,25.909594273838035,25.065846707809687,0,0,0,0,0.5742679845595368,,,,,0.44863404169267057
1659447000,27.695,29.376,27.597,28.851,26.176344042237897,,0,0,0,0,0,-3.2514873241687745,-23.164344819730285,0,0,0,0,0,0,1.4206559577621032,-0.038125517367444406,1.3911246890981133,1.4292502064655577,0.14636608052503985,24.28299163593958,,57230,13079403,63.43287385888755,-3.2514873241687745,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,1,0,8.326672684688674e-17,0,0,0,0,0.3,,,,,0,0,0,3.4389185991807345,15.004762352941157,26.57060610670158,25.2215110961528,32.82526977479242,0,0,0,0,24.839116470558626,28.94896823529414,33.058820000029655,27.522392841125203,24.983533224252493,0,0,0,0,20.37041156309367,24.14196235294116,27.913513142788652,26.176344042237897,25.065846707809687,0,0,0,0,0.5742679845595368,,,,59.88427746269352,0.5063282099424963
1659461400,28.731,28.731,27.803,27.803,26.408962324935192,,0,0,0,0,0,-2.49152660851016,-22.69558057096447,0,0,0,0,0,0,1.39403767506481,-0.07734751078565738,1.332565817983486,1.4099133287691434,0.08078917452701995,24.28299163593958,,61620,13017783,58.139050907879145,-2.49152660851016,-45,-65,40,60,80,,,,,,,,,,,20,20,45,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999994,0,0,0,0,0.18,,,,,0,0,0,3.9133198262162043,15.328847058823502,26.744374291430802,25.375384225417957,32.82526977479242,0,0,0,0,25.07000168647079,29.214334117647052,33.358666548823315,27.522392841125203,25.24542293544357,0,0,0,0,20.73855248281276,24.610136470588216,28.48172045836367,26.408962324935192,25.065846707809687,0,0,0,0,0.5607242015358508,,,,,0.4514683975221229
1659533400,28.399,32.3705,28.399,31.658,26.778286444582676,,0,0,0,0,0,-2.215261165570513,-22.69558057096447,0,0,0,0,0,0,1.6207135554173235,0.13528677124963306,1.5790217928311847,1.4437350215815516,0.19932586410276087,25.326698225111066,,170530,13188313,68.53979401443053,-2.215261165570513,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,1,0.12,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,3.9133198262162043,15.328847058823502,26.744374291430802,25.375384225417957,32.82526977479242,0,0,0,0,25.448543447490074,29.723963529411787,33.9993836113335,30.050200565789694,25.24542293544357,0,0,0,0,20.73855248281276,24.610136470588216,28.48172045836367,26.778286444582676,25.065846707809687,0,0,0,0,0.5607242015358508,,,,66.53832505744705,0.5765705445314322
1659547800,31.568,31.622,30.941,31.355,29.38483741282677,,0,0,0,0,0,2.1504786245007006,-20.76281095354985,0,0,0,0,0,0,1.5561625871732292,0.22897085497530534,1.7299485903006833,1.500977735325378,0.19973983803533008,26.51415340259996,,49790,13138523,67.12802992670905,2.1504786245007006,-45,-65,40,60,80,,,,,,,,,,,15,30,30,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999997,0,0,0,0,0.18,,,,,0,0,0,3.9133198262162043,15.328847058823502,26.744374291430802,26.00982106645953,32.82526977479242,0,0,0,0,25.800388504570865,30.173291764705887,34.546195024840905,30.24217803886968,25.848257011483312,0,0,0,0,21.209699231107667,25.30537647058822,29.401053710068776,29.38483741282677,25.065846707809687,0,0,0,0,0.5607242015358508,,,,,0.46613410079440704
1659619800,32.67,33.197,30.592,30.974,29.38483741282677,,0,0,0,0,0,2.1504786245007006,-20.76281095354985,0,0,0,0,0,0,1.6310795452322844,0.23768853570197468,1.7980884049528463,1.5603998692508716,0.05473260898030575,26.82238806233996,,154850,12983673,65.30647362390636,2.1504786245007006,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,1,0.12,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,3.9133198262162043,15.328847058823502,26.744374291430802,26.00982106645953,32.82526977479242,0,0,0,0,26.10877355696719,30.527631764705877,34.94648997244457,30.24217803886968,25.848257011483312,0,0,0,0,21.209699231107667,25.30537647058822,29.401053710068776,29.38483741282677,25.065846707809687,0,0,0,0,0.5607242015358508,,,,65.10351864458562,0.560577665237887
1659634200,30.705,31.076,30.539,30.874,29.38483741282677,,0,0,0,0,0,10.226567982650934,-14.301939467029662,0,0,0,0,0,0,1.552931006287121,0.2100849491531087,1.8230060556922574,1.6129211065391487,0.04517430897175414,26.82238806233996,,55330,12928343,64.80938218128072,10.226567982650934,-45,-65,40,60,80,,,,,,,,,,,35,45,40,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999997,0,0,0,0,0.18,,,,,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.13061956171242,32.82526977479242,0,0,0,0,26.399480935644405,30.8493317647059,35.2991825937674,30.24217803886968,27.94031365352022,0,0,0,0,21.667432428066785,25.947063529411764,30.226694630756743,29.38483741282677,25.065846707809687,0,0,0,0,0.6251836213354786,,,,,0.4981810854312327
1659706200,30.7,32.999,30.7,31.83,29.38483741282677,,0,0,0,0,0,10.226567982650934,-14.301939467029662,0,0,0,0,0,0,1.6062216486951841,0.22807554845198763,1.8980155421041331,1.6699399936521455,0.0971767271102632,26.90639933049537,,131650,13059993,67.36669408982112,10.226567982650934,-45,-65,40,60,80,,,,,,,,,,,15,25,25,0.3,0,0,0,0.3,1,0.12,0.12000000000000002,0,0,0,0,0.3,,,,,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.13061956171242,32.82526977479242,0,0,0,0,26.70977669946404,31.175949411764723,35.64212212406541,30.24217803886968,27.94031365352022,0,0,0,0,21.667432428066785,25.947063529411764,30.226694630756743,29.38483741282677,25.065846707809687,0,0,0,0,0.6251836213354786,,,,66.83758586256005,0.5612902266325028
1659720600,32.003,32.003,31.243,31.943,29.69722275478304,,0,0,0,0,0,11.10308806246808,-13.787662236081367,0,0,0,0,0,0,1.545777245216957,0.21938248228261537,1.9441680965054147,1.7247856142227993,0.10445479371994502,26.946209397445827,,56580,13116573,67.66579943345141,11.10308806246808,-45,-65,40,60,80,,,,,,,,,,,20,45,40,0.3,0,0,0,0.3,1,0,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.299432450161532,32.82526977479242,0,0,0,0,27.007682083482127,31.455536470588257,35.90339085769438,30.56022414329554,28.028434106840205,0,0,0,0,22.121521666173148,26.595023529411755,31.06852539265036,29.69722275478304,25.065846707809687,0,0,0,0,0.6251836213354786,,,,,0.5144279552380899
1659965400,33.679,35.087,32.877,33.036,31.217063986584257,,0,0,0,0,0,12.239974576953706,-13.787662236081367,0,0,0,0,0,0,1.6599360134157457,0.2564616099271293,2.045362626631711,1.7889010167045816,0.028127947310263773,28.829688457701245,,88370,13204943,70.48385253904313,12.239974576953706,-45,-65,40,60,80,,,,,,,,,,,15,15,15,0.3,0,0,0,0.3,1,0,0.12000000000000002,0,0,0,0,0.3,,,,,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.299432450161532,32.82526977479242,0,0,0,0,27.338682743680266,31.788380000000018,36.23807725631977,32.404565275917285,28.028434106840205,0,0,0,0,22.121521666173148,26.595023529411755,31.06852539265036,31.217063986584257,25.065846707809687,0,0,0,0,0.6251836213354786,,100,95.33209200259928,68.68697669581522,0.564972664344426
1659979800,33.214,33.502,32.87,32.969,31.283487987542518,,0,0,0,0,0,20.350896606969414,-7.338674317155104,0,0,0,0,0,0,1.5865120124574783,0.24567309484359634,2.095992385259077,1.8503192904154806,0.011171778212335894,28.829688457701245,,28010,13176933,70.08064886249795,20.350896606969414,-45,-65,40,60,80,,,,,,,,,,,45,60,45,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999997,0,0,0,0,0.18,,,,,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,27.652633513691285,32.08180705882353,36.51098060395577,32.404565275917285,30.174403099208764,0,0,0,0,22.62001744050705,27.318068235294113,32.01611903008118,31.283487987542518,25.065846707809687,0,0,0,0,0.6686909806582253,,,,,0.5272014421026121
1660051800,31.871,32.552,31.467,31.879,31.283487987542518,,0,0,0,0,0,20.350896606969414,-7.338674317155104,0,0,0,0,0,0,1.5804754401390873,0.13960221167314169,2.024822055006908,1.8852198433337661,0.03798639356126702,28.829688457701245,,27960,13148973,63.696716545000704,20.350896606969414,-45,-65,40,60,80,,,,,,,,,,,0,0,15,0.3,0,0,0,0.3,1,0.12,0.12000000000000002,0,0,0,0,0.3,,,,,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,27.906212920826313,32.31157294117647,36.71693296152663,32.404565275917285,30.174403099208764,0,0,0,0,22.62001744050705,27.318068235294113,32.01611903008118,31.283487987542518,25.065846707809687,0,0,0,0,0.6686909806582253,,,,64.8733596969057,0.5441480913376162
1660066200,31.846,32.176,31.795,31.9,31.283487987542518,,0,0,0,0,0,19.999323420395054,-7.338674317155104,0,0,0,0,0,0,1.4947986229862953,0.049953839904044894,1.9476621432138224,1.8977083033097775,0.04496520190794204,28.829688457701245,,16420,13165393,63.76520123490931,19.999323420395054,-45,-65,40,60,80,,,,,,,,,,,15,15,15,0.3,0,0,0,0.3,1,0,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,28.149735720883438,32.53471999999999,36.919704279116544,32.404565275917285,30.174403099208764,0,0,0,0,23.127185872262167,27.999461176470597,32.871736480679026,31.283487987542518,25.065846707809687,0,0,0,0,0.6686909806582253,,,,,0.5337860312805666
1660138200,34.568,34.568,32.847,34.105,31.283487987542518,,0,0,0,0,0,19.999323420395054,-7.338674317155104,0,0,0,0,0,0,1.578598721344417,0.11456221878146056,2.040911076786603,1.9263488580051427,0.06916869380399603,28.920593997097782,,74140,13239533,70.13570572123743,19.999323420395054,-45,-65,40,60,80,,,,,,,,,,,10,10,15,0.3,0,0,0,0.3,1,0,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,28.48083231869876,32.90379647058825,37.326760622477735,32.73839275111931,30.174403099208764,0,0,0,0,23.127185872262167,27.999461176470597,32.871736480679026,31.283487987542518,25.065846707809687,0,0,0,0,0.6686909806582253,,,,67.84336886093243,0.5693698804027181
1660152600,33.93,34.25,33.599,33.625,32.08665833018018,,0,0,0,0,0,19.24502540811467,-7.263087229464168,0,0,0,0,0,0,1.5123416698198162,0.10085732471261699,2.052420513895914,1.951563189183297,0.013400200344871008,29.420984597388003,,47690,13191843,67.35942320102762,19.24502540811467,-45,-65,40,60,80,,,,,,,,,,,30,20,30,0.3,0,0,0,0.3,1,0,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.441141797742308,32.82526977479242,0,0,0,0,28.776032592153108,33.19886588235291,37.62169917255272,32.80865041175364,30.23213073350143,0,0,0,0,23.700640104907436,28.79720941176471,33.89377871862199,32.08665833018018,25.065846707809687,0,0,0,0,0.6817724853344054,,,,,0.53228645709915
1660224600,35.351,36.1245,33.8,34.025,32.2171470208816,,0,0,0,0,0,19.342634835762265,-7.263087229464168,0,0,0,0,0,0,1.5828529791184007,0.09471529144981305,2.0699573034955634,1.9752420120457503,-0.09860383780623212,30.159236137649202,,95000,13286843,68.47918429154949,19.342634835762265,-45,-65,40,60,80,,,,,,,,,,,10,10,15,0.3,0,0,0,0.3,1,0,0.12000000000000002,0,0,0,0,0.3,,,,,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.441141797742308,32.82526977479242,0,0,0,0,29.09477186908005,33.57501294117645,38.05525401327286,33.26409652850187,30.23213073350143,0,0,0,0,23.700640104907436,28.79720941176471,33.89377871862199,32.2171470208816,25.065846707809687,0,0,0,0,0.6817724853344054,,,,68.05418007386311,0.5813433887520613
1660239000,33.975,34.02,33.156,33.661,32.2171470208816,,0,0,0,0,0,15.520625893122805,-6.4441714916636235,0,0,0,0,0,0,1.5318634806099436,0.044662917891293175,2.031070659409867,1.9864077415185737,-0.12694899734290957,30.159236137649202,,28070,13258773,66.25181908736573,15.520625893122805,-45,-65,40,60,80,,,,,,,,,,,15,45,35,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999997,0,0,0,0,0.18,,,,,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.70995309790357,32.82526977479242,0,0,0,0,29.397268834943084,33.93164,38.46601116505692,33.26409652850187,30.44004996682276,0,0,0,0,24.46826266465856,29.758007058823527,35.04775145298849,32.2171470208816,25.065846707809687,0,0,0,0,0.6817724853344054,,,,,0.5338179223483053
1660311000,34.079,34.575,33.404,34.233,32.2171470208816,,0,0,0,0,0,15.520625893122805,-6.4441714916636235,0,0,0,0,0,0,1.5060875177092332,0.02934375935871758,2.0230874407169708,1.9937436813582532,-0.08897644871409133,30.159236137649202,,57920,13316693,68.01254543425529,15.520625893122805,-45,-65,40,60,80,,,,,,,,,,,10,10,15,0.3,0,0,0,0.3,1,0.12,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.70995309790357,32.82526977479242,0,0,0,0,29.717694283237375,34.31720117647056,38.91670806970375,33.26409652850187,30.44004996682276,0,0,0,0,24.46826266465856,29.758007058823527,35.04775145298849,32.2171470208816,25.065846707809687,0,0,0,0,0.6817724853344054,,,,70.8000054941732,0.5595333597366184
1660325400,34.287,35.313,34.2625,35.25,32.786847304984285,,0,0,0,0,0,16.65154348516242,-5.571793305675955,0,0,0,0,0,0,1.475652695015717,0.06492974274984853,2.074905859795564,2.0099761170457153,-0.09861418042715556,30.43501589434627,,51330,13368023,70.91776451940656,16.65154348516242,-45,-65,40,60,80,,,,,,,,,,,40,30,30,0.3,0,0,0,0.3,1,0,2.7755575615628914e-17,0,0,0,0,0.3,,,,,0,0,0,7.230696889893135,18.197047058823514,29.163397227753894,30.99631359091046,32.82526977479242,0,0,0,0,30.067212178968738,34.74721176470587,39.427211350442995,34.210301644064884,30.55804639776399,0,0,0,0,25.1659029781544,30.718663529411742,36.271424080669085,32.786847304984285,25.065846707809687,0,0,0,0,0.7174947782078122,,,,,0.5485711051205087
