time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,BTC 50 SMA,200-Week SMA,AB4 Entry,MTF SMA,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1552397400,32.505,32.825,32.495,32.66,21,0,,,0,0,1,0,3663.1616000000026,34.26144800000002,0,34.26144800000002,32.387106352535795,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,32.387106352535795,30.832562788332964,32.387106352535795,,0,0,0,0,32.387106352535795,0,32.387106352535795,0,1,1.1710020391724532,0.4512957367189837,0,0,0,0,0,0,0.5454431142538262,1.1710020391724532,-40,-60,10,30,50,,,,,,,,,,,-10,-10,15,-0.02270752730085358,0,0,0,-0.02270752730085358,1,0.09643273217936865,-0.16670989339541833,0,0,0,0,29.452979123990936,31.21178823529411,32.97059734659729,32.53667952426604,32.39050256707896,0,0,0,0,32.41981639412229,32.949658823529425,33.47950125293656,32.4192811198048,32.521849283761085,0,0,0,0,32.29208874037588,33.4925176470588,34.69294655374171,32.387106352535795,30.832562788332964,0,0,0,0,0.9270253442719012,,,,,0.49202890478498557
1552483800,32.865,33.005,32.73,32.99,22,0,,,0,0,1,0,3669.726200000003,34.26144800000002,0,34.26144800000002,32.5039822010444,30.832562788332964,0,0,0,0,0,1,1,0,0,0,0,0,32.5039822010444,30.832562788332964,32.5039822010444,,0,0,0,0,32.5039822010444,0,32.5039822010444,0,1,8.74207696650109,0.4512957367189837,0,0,0,0,0,0,0.5311257489499819,8.74207696650109,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,0.053928040095721594,0,0,0,0.053928040095721594,1,0.07663556739657518,-0.09007432599884316,0,0,0,0,29.452979123990936,31.21178823529411,32.97059734659729,32.53667952426604,32.39050256707896,0,0,0,0,32.46496855001253,32.99928235294116,33.53359615586979,32.66800258310789,32.521849283761085,0,0,0,0,32.33989223007501,33.46201176470586,34.58413129933672,32.5039822010444,30.832562788332964,0,0,0,0,0.9270253442719012,,,,,0.49187947659355746
1552570200,33.02,33.19,32.9825,33.025,23,0,,,0,0,1,0,3675.159600000003,34.26144800000002,0,34.26144800000002,32.67953057130869,30.832562788332964,0,0,0,0,0,0,0,1,0,0,0,0,32.67953057130869,30.832562788332964,32.67953057130869,,0,0,0,0,32.67953057130869,0,32.67953057130869,0,1,16.348832021702044,0.4512957367189837,0,0,0,0,0,0,0.508009624024983,16.348832021702044,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,0.10826834167905913,0,0,0,0.10826834167905913,1,0.05434030158333754,0.037477644488238995,0,0,0,0,29.768317343633278,31.43949411764703,33.11067089166078,32.53667952426604,32.39050256707896,0,0,0,0,32.508456980005484,33.04710588235293,33.58575478470038,32.81527317461851,32.521849283761085,0,0,0,0,32.38918112679626,33.42971764705881,34.47025416732136,32.67953057130869,30.832562788332964,0,0,0,0,0.9376688678640444,,,,,0.490318250941676
1552656600,32.74,32.855,32.63,32.755,24,0,,,0,0,1,0,3681.2086000000027,34.22354800000002,0,34.22354800000002,32.67953057130869,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,32.67953057130869,30.832562788332964,32.67953057130869,,0,0,0,0,32.67953057130869,0,32.67953057130869,0,1,16.348832021702044,0.4512957367189837,0,0,0,0,0,0,0.4999375080231982,16.348832021702044,-40,-60,10,30,50,,,,,,,,,,,-10,-10,5,0.10826834167905913,0,0,0,0.10826834167905913,1,0,0.22740860115928135,0,0,0,0,29.768317343633278,31.43949411764703,33.11067089166078,32.53667952426604,32.39050256707896,0,0,0,0,32.482728089705084,32.97405882352941,33.46538955735374,32.81527317461851,32.521849283761085,0,0,0,0,32.4142322509774,33.38882352941173,34.36341480784606,32.67953057130869,30.832562788332964,0,0,0,0,0.9376688678640444,,,,,0.49662214864691095
1552915800,32.795,33.265,32.78,33.21,25,0,,,0,0,1,0,3704.617000000003,34.22354800000002,0,34.22354800000002,32.83238592375957,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,32.83238592375957,30.832562788332964,32.83238592375957,,0,0,0,0,32.83238592375957,0,32.83238592375957,0,1,16.441786923898448,0.4512957367189837,0,0,0,0,0,0,0.5006562574501124,16.441786923898448,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,0.17961224002276613,0,0,0,0.17961224002276613,1,0.071343898343707,0.2987524995029884,0,0,0,0,30.048009238812654,31.660164705882362,33.27232017295207,32.53667952426604,32.39050256707896,0,0,0,0,32.52220552613262,32.94256470588233,33.36292388563204,33.00862613372268,32.521849283761085,0,0,0,0,32.47480284266146,33.3633882352941,34.251973627926745,32.83238592375957,30.832562788332964,0,0,0,0,0.9433881003216376,,89.1154518759791,90.9327229176162,48.75152560709575,0.5218633023241942
1553002200,33.375,33.545,32.985,33.12,26,0,,,0,0,1,0,3713.3442000000027,34.22354800000002,0,34.22354800000002,32.95435835777674,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,32.95435835777674,30.832562788332964,32.95435835777674,,0,0,0,0,32.95435835777674,0,32.95435835777674,0,1,16.515961203653337,0.4512957367189837,0,0,0,0,0,0,0.504895096203676,16.515961203653337,-40,-60,10,30,50,,,,,,,,,,,-10,-10,10,0.20541673389574663,0,0,0,0.20541673389574663,1,0.025804493872980505,0.22812426119660026,0,0,0,0,30.048009238812654,31.660164705882362,33.27232017295207,32.53667952426604,32.39050256707896,0,0,0,0,32.560890289585814,32.92269411764706,33.28449794570831,33.07856028877108,32.521849283761085,0,0,0,0,32.51340339245083,33.36034117647058,34.20727896049032,32.95435835777674,30.832562788332964,0,0,0,0,0.9433881003216376,,,,,0.5017094297717791
1553088600,33.09,33.7095,32.99,33.41,27,0,,,0,0,1,0,3724.716800000003,34.22354800000002,0,34.22354800000002,32.95435835777674,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,32.95435835777674,30.832562788332964,32.95435835777674,,0,0,0,0,32.95435835777674,0,32.95435835777674,0,1,16.515961203653337,0.4512957367189837,0,0,0,0,0,0,0.5202240179034131,16.515961203653337,-40,-60,10,30,50,,,,,,,,,,,30,30,15,0.24592386718712775,0,0,0,0.24592386718712775,1,0.040507133291381114,0.1919958270914062,0,0,0,0,30.192985217086253,31.810047058823507,33.42710890056076,32.53667952426604,32.39050256707896,0,0,0,0,32.5947512251109,32.93241176470591,33.270072304300925,33.188340862422706,32.521849283761085,0,1,0,0,32.56213865577927,33.39011764705883,34.21809663833839,32.95435835777674,30.832562788332964,0,0,0,0,0.9495723894116868,,,,,0.5112665952061344
1553175000,33.31,33.7,33.24,33.645,28,0,,,0,0,1,0,3737.5386000000026,34.22354800000002,0,34.22354800000002,33.209399464757986,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,33.209399464757986,30.832562788332964,33.209399464757986,,0,0,0,0,33.209399464757986,0,33.209399464757986,0,1,17.410638462332006,1.0429603908484555,0,0,0,0,0,0,0.5159223023388837,17.410638462332006,-40,-60,10,30,50,,,,,,,,,,,15,30,30,0.14486764133589486,0,0,0,0.14486764133589486,1,-0.10105622585123289,0.03659929965683577,0,0,0,0,30.192985217086253,31.810047058823507,33.42710890056076,32.72832267925035,32.39050256707896,0,0,0,0,32.65081134868054,32.999305882352935,33.34780041602533,33.382502690848995,32.724077697661116,0,0,0,0,32.61886925819736,33.440411764705885,34.261954271214414,33.209399464757986,30.832562788332964,0,0,0,0,0.9495723894116868,,,,,0.47100039320802906
1553261400,33.34,33.395,32.61,32.735,29,0,,,0,0,1,0,3748.275800000003,34.18672300000002,0,34.18672300000002,33.209399464757986,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,33.209399464757986,30.832562788332964,33.209399464757986,,1,0,0,0,33.209399464757986,0,33.209399464757986,1,1,17.410638462332006,1.0429603908484555,0,0,0,0,0,0,0.5529992807432494,17.410638462332006,-40,-60,10,30,50,,,,,,,,,,,-10,-10,0,0.08149249471264779,0,0,0,0.08149249471264779,1,-0.06337514662324707,-0.026775846966411304,0,0,0,0,30.30190176570053,31.91295294117649,33.52400411665245,32.72832267925035,32.39050256707896,0,0,0,0,32.606050922856326,32.94968823529415,32.94968823529415,33.094461965543466,32.724077697661116,0,0,0,0,32.62469481429597,33.43231764705883,33.43231764705883,33.209399464757986,30.832562788332964,0,0,0,0,0.9309851634660901,,,,,0.502948613155293
1553520600,32.595,32.805,32.435,32.75,30,0,,,0,0,1,0,3780.752200000003,34.18672300000002,0,34.18672300000002,33.15201507869049,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,33.15201507869049,30.832562788332964,33.15201507869049,,0,1,0,0,33.15201507869049,0,33.15201507869049,0,1,17.375741679792323,1.0429603908484555,0,0,0,0,0,0,0.5399279035473029,17.375741679792323,-40,-60,10,30,50,,,,,,,,,,,-10,-10,15,0.0651634822292196,0,0,0,0.0651634822292196,1,-0.01632901248342819,-0.11444875779354649,0,0,0,0,30.30190176570053,31.91295294117649,33.52400411665245,32.72832267925035,32.39050256707896,0,0,0,0,32.579218969290615,32.92358235294116,32.92358235294116,33.02024642759433,32.724077697661116,0,0,0,0,32.630219947668266,33.425141176470575,33.425141176470575,33.15201507869049,30.832562788332964,0,0,0,0,0.9309851634660901,,95.55973312773307,91.98551523944872,50.17256029196817,0.4415629015895793
1553607000,33.13,33.445,33.04,33.22,31,0,,,0,0,1,0,3790.6660000000034,34.18672300000002,0,34.18672300000002,33.15201507869049,30.832562788332964,0,0,0,0,0,0,0,0,0,0,0,0,33.15201507869049,30.832562788332964,33.15201507869049,,0,0,0,0,33.15201507869049,0,33.15201507869049,0,1,17.375741679792323,1.0429603908484555,0,0,0,0,0,0,0.5510044818653527,17.375741679792323,-40,-60,10,30,50,,,,,,,,,,,-5,-5,10,0.10860580371536599,0,0,0,0.10860580371536599,1,0.04344232148614639,-0.0968109301803806,0,0,0,0,30.451514088266418,32.06010588235295,33.66869767643948,32.72832267925035,32.39050256707896,0,0,0,0,32.63603414543949,32.98142941176471,33.32682467808993,33.02024642759433,32.724077697661116,0,0,0,0,32.660905462320315,33.4433882352941,34.22587100826789,33.15201507869049,30.832562788332964,0,0,0,0,0.9452833132922719,,,,,0.47286055549359834
