time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,MA
1619789400,70.045,70.475,69.975,70.025,,,,,,,0,0,0,0,0,0,66.53666249999995
1619803800,70.03,70.055,69.685,69.86,,,,,,,0,0,0,0,0,0,66.57143749999994
1620048600,70.2275,70.365,69.5,69.5,,,,,,,0,0,0,0,0,0,66.60378749999995
1620063000,69.48,69.805,69.48,69.655,,,,,,,0,0,0,0,0,0,66.63641249999996
1620135000,69.115,69.15,67.645,68.015,,,,,,,0,0,0,0,0,0,66.66051249999995
1620149400,68.02,68.415,67.875,68.415,,,,,,,0,0,0,0,0,0,66.68511249999995
1620221400,68.92,69.065,68.41,68.7075,,,,,,,0,0,0,0,0,0,66.71162499999996
1620235800,68.725,68.815,68.115,68.25,,,,,,,0,0,0,0,0,0,66.74009999999994
1620307800,68.235,68.76,67.725,68.465,,,,,,,0,0,0,0,0,0,66.77157499999994
1620322200,68.48,68.96,68.17,68.89,,,,,,,0,0,0,0,0,0,66.80389999999994
1620394200,69.615,69.92,69.245,69.37,,,,,,,0,0,0,0,0,0,66.83934999999994
1620408600,69.37,69.64,69.215,69.495,,,,,,,0,0,0,0,0,0,66.87827499999995
1620653400,69.21,69.215,68.42,68.54,,,,,,,0,0,0,0,0,0,66.91034999999994
1620667800,68.515,68.545,67.735,67.735,,,,,,,0,0,0,0,0,0,66.93624999999994
1620739800,66.495,67.62,66.305,67.58,,,,,,,0,0,0,0,0,0,66.96237499999995
1620754200,67.595,67.695,67.26,67.59,,,,,,,0,0,0,0,0,0,66.98467499999995
1620826200,66.525,66.925,65.63,65.84,,,,,,,0,0,0,0,0,0,66.99694999999996
1620840600,65.835,65.99,65.48,65.68,,,,,,,0,0,0,0,0,0,67.00667499999994
1620912600,66.28,67.12,66.235,66.32,,,,,,,0,0,0,0,0,0,67.01907499999994
1620927000,66.31,66.955,66.085,66.535,,,,,,,0,0,0,0,0,0,67.03039999999996
1620999000,67.255,67.96,67.14,67.96,,,,,,,0,0,0,0,0,0,67.04859999999996
1621013400,67.965,68.22,67.875,67.955,,,,,,,0,0,0,0,0,0,67.06787499999994
1621258200,67.595,67.6075,66.96,67.015,,,,,,,0,0,0,0,0,0,67.08242499999996
1621272600,67.03,67.505,66.89,67.495,,,,,,,0,0,0,0,0,0,67.10052499999996
1621344600,67.73,67.825,67.485,67.74,,,,,,,0,0,0,0,0,0,67.11917499999996
1621359000,67.745,67.75,66.905,66.95,,,,,,,0,0,0,0,0,0,67.13027499999997
1621431000,65.82,66.995,65.76,66.92,,,,,,,0,0,0,0,0,0,67.14202499999996
1621445400,66.925,67.235,66.515,67.185,,,,,,,0,0,0,0,0,0,67.15527499999996
1621517400,67.485,68.625,67.445,68.505,,,,,,,0,0,0,0,0,0,67.17762499999995
1621531800,68.51,68.695,68.335,68.435,,,,,,,0,0,0,0,0,0,67.19717499999996
1621603800,68.765,68.885,68.035,68.225,,,,,,,0,0,0,0,0,0,67.21212499999996
1621618200,68.22,68.37,68.0325,68.105,,,,,,,0,0,0,0,0,0,67.22637499999995
1621863000,68.66,69.425,68.63,69.395,,,,,,,0,0,0,0,0,0,67.24799999999996
1621877400,69.395,69.54,69.245,69.3,,,,,,,0,0,0,0,0,0,67.26977499999995
1621949400,69.6,69.74,69.185,69.3925,,,,,,,0,0,0,0,0,0,67.29116249999996
1621963800,69.385,69.42,69.17,69.33,,,,,,,0,0,0,0,0,0,67.31311249999996
1622035800,69.395,69.6175,69.18,69.21,,,,,,,0,0,0,0,0,0,67.33563749999996
1622050200,69.22,69.345,69.095,69.325,,,,,,,0,0,0,0,0,0,67.35698749999995
1622122200,69.265,69.54,69.13,69.285,,,,,,,0,0,0,0,0,0,67.38451249999996
1622136600,69.275,69.3,68.945,68.945,,,,,,,0,0,0,0,0,0,67.40931249999996
1622208600,69.3525,69.595,69.21,69.405,,,,,,,0,0,0,0,0,0,67.43643749999995
1622223000,69.425,69.45,69.165,69.205,,,,,,,0,0,0,0,0,0,67.46061249999995
1622554200,69.51,69.585,68.735,68.945,,,,,,,0,0,0,0,0,0,67.48501249999995
