time,open,high,low,close,Plot,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,BP Headwind,BP Mixed,BP Tailwind,Bear Call,Iron Condor,Exit LT,Exit Time,LT Fast Trackline,LT Slow Trackline,Trail Stop,Entry Headwind,Entry Mixed,Entry Tailwind,Exit LT Confirm,Exit Trail Stop,ST Alert (VST pending)
1624555800,230.74,231.88,230.67,231.85,,15,-10,15,40,224.35427054661437,227.03564705882337,229.71702357103237,230.06305976745716,227.31386861404815,0,0,0,0,220.89358119785166,225.9833411764707,231.07310115508974,227.35328972447792,206.73064509259515,0,0,0,0,227.21190081434153,231.15352941176468,235.09515800918783,230.06305976745716,227.31386861404815,0,0,0,0,223.71055832024976,228.37068235294106,233.03080638563236,228.3918110266118,217.32157577195792,0,0,0,0,20.10243124583492,,,,,,,228.3918110266118,217.32157577195792,0,0,0,0,0,0,0,228.3918110266118,217.32157577195792,208.665,0,0,0,0,0,0
1624627800,232.27,233.05,231.78,232.59,,10,-10,10,35,225.25368204575875,227.91239999999982,230.5711179542409,231.0637096974503,227.31386861404815,0,0,0,0,220.89358119785166,225.9833411764707,231.07310115508974,227.35328972447792,206.73064509259515,0,0,0,0,227.42183872534952,231.22889411764695,235.03594950994437,231.0637096974503,227.31386861404815,0,0,0,0,223.71055832024976,228.37068235294106,233.03080638563236,229.57382452471097,217.32157577195792,0,0,0,0,20.204412620719737,,,,,,,229.57382452471097,217.32157577195792,0,0,0,0,0,0,0,229.57382452471097,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1624642200,232.57,233.4,231.76,231.76,,15,5,30,40,226.0631526067772,228.72007058823527,231.37698856969334,231.0637096974503,228.16232088844473,0,0,0,0,220.89358119785166,225.9833411764707,231.07310115508974,228.19875710469245,206.73064509259515,0,0,0,0,227.57186610304834,231.2547058823529,234.93754566165748,231.0637096974503,228.16232088844473,0,0,0,0,224.15865232907066,228.9353176470588,233.71198296504696,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1624887000,232.24,232.58,228.77,229.05,,10,-10,10,20,226.37354027185856,228.99879999999976,228.99879999999976,231.0637096974503,228.16232088844473,0,0,0,0,220.89358119785166,225.9833411764707,231.07310115508974,228.19875710469245,206.73064509259515,0,0,0,0,227.5392486390829,231.0826117647058,234.6259748903287,231.0637096974503,228.16232088844473,0,0,0,0,224.15865232907066,228.9353176470588,233.71198296504696,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1624901400,229.02,230.755,228.93,230.41,,15,-10,15,15,226.64129556421307,229.27550588235297,231.90971620049288,231.0637096974503,228.16232088844473,0,0,0,0,221.13975828415653,226.13625882352923,231.13275936290194,228.19875710469245,206.73064509259515,0,0,0,0,227.5945962576073,230.97825882352936,234.36192138945142,231.0637096974503,228.16232088844473,0,0,0,0,224.51427436682778,229.35268235294106,234.19109033905434,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1624973400,231.23,231.73,229.88,230.04,,10,-10,10,10,226.89987866719065,229.55367058823538,232.2074625092801,231.0637096974503,228.16232088844473,0,0,0,0,221.13975828415653,226.13625882352923,231.13275936290194,228.19875710469245,206.73064509259515,0,0,0,0,227.61464208650287,230.869482352941,234.12432261937911,231.0637096974503,228.16232088844473,0,0,0,0,224.51427436682778,229.35268235294106,234.19109033905434,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1624987800,230.05,230.16,228.78,229.33,,-5,-10,10,-20,227.11191293010265,229.74272941176463,229.74272941176463,230.99852164688076,228.16232088844473,0,0,0,0,221.13975828415653,226.13625882352923,231.13275936290194,228.19875710469245,206.73064509259515,0,0,0,0,227.579398431545,230.69282352941156,233.8062486272781,230.99852164688076,228.16232088844473,0,0,0,0,224.70263194365074,229.55421176470574,234.40579158576074,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1625059800,228.65,230.32,227.78,229.88,,10,-10,10,-5,227.4513338644277,230.0387764705883,232.62621907674887,230.9314843863893,228.16232088844473,0,0,0,0,221.13975828415653,226.13625882352923,231.13275936290194,228.19875710469245,206.73064509259515,0,0,0,0,227.58134023529655,230.53025882352927,233.47917741176198,230.9314843863893,228.16232088844473,0,0,0,0,224.70263194365074,229.55421176470574,234.40579158576074,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1625074200,229.88,230.2,229.38,229.38,,-10,-10,-10,-10,227.7781739025511,230.32651764705892,230.32651764705892,230.9314843863893,228.16232088844473,0,0,0,0,221.42217458057374,226.46399999999988,231.50582541942603,228.19875710469245,206.73064509259515,0,0,0,0,227.59126198393173,230.23197647058817,232.8726909572446,230.9314843863893,228.16232088844473,0,0,0,0,224.81019057992464,229.55856470588222,234.3069388318398,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
1625146200,230.81,231.48,229.72,231.36,,10,-10,10,10,228.2411280022324,230.7967999999998,233.3524719977672,230.9314843863893,228.16232088844473,0,0,0,0,221.42217458057374,226.46399999999988,231.50582541942603,228.19875710469245,206.73064509259515,0,0,0,0,227.67415725440256,230.21602352941187,232.75788980442118,230.9314843863893,228.16232088844473,0,0,0,0,224.81019057992464,229.55856470588222,234.3069388318398,229.59426563008876,217.32157577195792,0,0,0,0,21.557877690070992,,,,,,,229.59426563008876,217.32157577195792,0,0,0,0,0,0,0,229.59426563008876,217.32157577195792,209.33100000000002,0,0,0,0,0,0
