time,open,high,low,close,%K,%D,MTF RSI,Volume,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,VIX3M/VIX Ratio,Fear & Greed Index Proxy,Displayed STH SOPR (Mirrored),STH MVRV,MVRV SMA,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot,Plot,Plot,Plot,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track
1567776600,15.146652,15.309318,15.011318,15.163318,,,,62840642,13.938216154442339,14.797855023529408,15.657493892616477,14.89934136166551,14.89934136166551,0,0,0,0,0.9089883495378052,1047302.1395720462,15.9214839,79.74625900998811,24.697530559484353,11.343407840890825,1.1112476951444374,38.97172666388621,-0.11098173305660519,0.9089883495378052,,0.32843593669709503,0,0,0,0,0,0,0,1.8772379762396743,1.5635675731289083,,,14.949173406502302,15.666688135978596,15.666688135978596,0,0,0,0,0,0,0,0,0,15.306214461451535
1568035800,15.333318,15.583984,15.281985,15.452651,76.00897677851603,64.84310343039357,50.83133011499753,72040107,13.912474746099347,14.767056602352964,15.621638458606581,14.89934136166551,14.89934136166551,0,0,0,0,0.9278781033922278,8596762.088630946,16.22528355,79.78574630305006,24.70861973716005,11.349024661984313,1.1640000000000001,40.2208449941782,-0.1000241767144211,0.9278781033922278,,0.36003926203967473,0,0,0,0,0,0,0,1.837440823078078,1.5045700583134116,,,15.018534578648563,15.745305684152767,15.745305684152767,0,0,0,0,0,0,0,1,0,15.306214461451535
1568122200,15.386651,15.702651,15.262651,15.702651,,,,73255783,13.905713250547997,14.755919345882337,15.606125441216676,14.89934136166551,14.89934136166551,0,0,0,0,0.9443999955537852,23148827.42799992,16.48778355,79.71061309964998,24.68421298279672,11.338337432525027,1.1493123772102163,38.785164408249116,-0.0905594832974933,0.9443999955537852,,0.37668601422311826,0,0,0,0,0,0,0,1.8188193374852968,1.469646637910212,,,15.093300815830737,15.827886905427567,15.827886905427567,0,0,0,0,0,0,0,1,0,15.306214461451535
1568208600,15.825318,16.544923,15.733318,16.473317,,,,150641805,13.954447702944574,14.81262049647059,15.670793289996606,15.192316668287532,15.192316668287532,0,0,0,0,0.9923329743947628,97615738.99819534,17.296982850000003,79.64580185454788,24.661015653030105,11.32911843723928,1.1453947368421054,41.23444546891458,-0.07670447850625284,0.9923329743947628,,0.40813743953987247,0,0,0,0,0,0,0,1.7795360021594324,1.3974765329949645,,,15.252871727640965,14.485830429442672,14.485830429442672,0,0,0,0,0,0,0,1,0,15.306214461451535
1568295000,16.513317,16.899983,16.293317,16.391317,,,,128718278.00000001,13.991354394439181,14.852841637647067,15.714328880854953,15.747625334838421,15.747625334838421,0,0,0,0,0.9889602453867703,-15703629.915999988,17.21088285,79.58023112355893,24.637588676103356,11.31979140982424,1.1704312114989734,40.223110670553964,-0.06323298954598544,0.9889602453867703,,0.36193436776256327,0,0,0,0,0,0,0,1.7850984618884813,1.410028542575503,,,15.426738303437437,14.613970041213442,14.613970041213442,0,0,0,0,0,0,0,1,0,15.310217038227641
1568381400,16.463984,16.563317,16.324317,16.34665,,,,79697254.00000001,14.04598068087358,14.91385016705885,15.78171965324412,15.800531882349965,15.800531882349965,0,0,0,0,0.9879833191945592,-9351197.60083597,17.1639825,79.51437585912846,24.616331013282693,11.31042390930223,1.182137834036568,41.52105319072456,-0.047657078554876775,0.9879833191945592,,0.3540139613380294,0,0,0,0,0,0,0,1.8222509923368382,1.4760068765743588,,,15.558340764826095,14.69771711941585,14.69771711941585,0,0,0,0,0,0,0,1,0,15.329001827375759
1568640600,16.399984,16.495317,16.077984,16.187317,80.59015308721168,72.20041453272957,49.45933417186389,70921510.00000001,14.084497666118716,14.956071272941195,15.827644879763673,15.800531882349965,15.800531882349965,0,0,0,0,0.9801388919637448,-15082664.767169982,16.996682850000003,79.56324411662185,24.630590065120725,11.317375114062214,1.2132459970887919,38.47589330863343,-0.038474017225192725,0.9801388919637448,,0.4042893861604467,0,0,0,0,0,0,0,1.8096597939223193,1.4537141959114301,,,15.648660818959529,14.74164489114914,14.74164489114914,0,0,0,0,0,0,0,1,0,15.362921572576196
1568727000,16.164651,16.373317,16.024651,16.319317,,,,59203694,14.123527192793683,14.999658694117668,15.875790195441654,15.800531882349965,15.800531882349965,0,0,0,0,0.9901055828652237,9156798.536204142,17.135282850000003,79.49681123762468,24.607072061217085,11.307925451471583,1.1724608043626448,40.134876326222724,-0.026885841035561464,0.9901055828652237,,0.3885457305963901,0,0,0,0,0,0,0,1.7972847337938562,1.4300115458828622,,,15.723994258992626,14.780933554098665,14.780933554098665,0,0,0,0,0,0,0,1,0,15.436225444735634
1568813400,16.333317,16.54455,16.157984,16.23265,,,,63421608,14.154607356146682,15.033503334117661,15.91239931208864,15.800531882349965,15.800531882349965,0,0,0,0,0.9867459077810553,-6384463.012536088,17.0442825,79.42955961794192,24.58330594652964,11.298359328126207,1.193213296398892,38.06899537754716,-0.018476154694300417,0.9867459077810553,,0.40079180924316576,0,0,0,0,0,0,0,1.7904924453385191,1.4166778084765053,,,15.79874177938089,14.843585153121614,14.843585153121614,0,0,0,0,0,0,0,1,0,15.524717061987229
1568899800,16.399984,16.529317,16.32265,16.439984,,,,73247098,14.220028452016686,15.104966825882357,15.989905199748028,15.841062236614881,15.841062236614881,0,0,0,0,1.0009432785981633,2929883.9199999375,17.2619832,79.36522873686613,24.55683911230014,11.289208661626416,1.2086021505376345,38.05956241931363,-0.01039854283081787,1.0009432785981633,,0.38778125606104097,0,0,0,0,0,0,0,1.783120159604102,1.4035302738706552,,,15.879431327153775,14.929546357110011,14.929546357110011,0,0,0,0,0,0,0,1,0,15.626413388433091
1568986200,16.43265,16.46305,15.877317,16.041317,,,,97594057,14.257554057255463,15.143416971764712,16.029279886273958,15.841062236614881,15.841062236614881,0,0,0,0,0.978340457707606,-38191775.10798095,16.84338285,79.29609532909448,24.528899075795167,11.279374865665071,1.1950177935943058,33.88419562317268,-0.012397473786125879,0.978340457707606,,0.4326761942569418,0,0,0,0,0,0,0,1.7924846325997605,1.4191355775874581,,,15.906674937661199,14.990951235821017,14.990951235821017,0,0,0,0,0,0,0,0,0,15.672513789718302
1569245400,15.999984,16.345277,15.947984,16.081984,89.23981011008028,81.94631332526933,49.93908770055013,65874515,14.31926830694491,15.201987889411772,16.084707471878634,15.841062236614881,15.841062236614881,0,0,0,0,0.9826665813387552,5401710.2299999315,16.886083199999998,79.34326371935937,24.534144864691275,11.286084274916558,1.1560052219321149,35.43340009369219,-0.01329656865012796,0.9826665813387552,,0.387561180393676,0,0,0,0,0,0,0,1.7568252008357885,1.3546014922430307,,,15.930364058784395,15.068998009732837,15.068998009732837,0,0,0,0,0,0,0,0,0,15.718010479749601
1569331800,16.101317,16.132651,14.840652,14.880652,,,,194116874.00000003,14.318863098271326,15.190336150588237,15.190336150588237,15.841062236614881,15.841062236614881,0,0,0,0,0.9113830701353226,-236951674.00121045,15.6246846,79.25836310319255,24.49856090485543,11.274007691925966,1.198524480214621,38.38862510679644,-0.024239461372875915,0.9113830701353226,,0.43548123411760103,0,0,0,0,0,0,0,1.698813189342415,1.248981661249394,,,15.834848691440651,16.668744679149842,16.668744679149842,0,0,0,0,0,0,0,0,1,15.626688364155257
1569418200,14.970652,15.265318,14.557319,15.246651,,,,141664431,14.352963934784578,15.208867884705883,15.208867884705883,15.817594172871782,15.817594172871782,0,0,0,0,0.9357580560446056,39099241.29156908,16.00898355,79.1788607124497,24.47278131652575,11.26269897282469,1.0879765395894427,38.20231362930784,-0.030579580789895866,0.9357580560446056,,0.3468534538722107,0,0,0,0,0,0,0,1.50891307000537,0.9067737689621315,,,15.718382469586931,16.568877561998633,16.568877561998633,0,0,0,0,0,0,0,0,1,15.589378527368297
1569504600,15.377318,16.22065,15.159985,16.17065,,,,181181956,14.472842822509998,15.3094732517647,16.1461036810194,15.817594172871782,15.817594172871782,0,0,0,0,0.9940744100602145,143737443.5173916,16.9791825,79.11184170838602,24.450862411892672,11.253165937599931,1.1278195488721805,56.444870115513424,-0.03001260547632556,0.9940744100602145,,0.4155117342025352,0,0,0,0,0,0,0,1.4888198028189403,0.868534265943871,,,15.734736429982313,16.59383910814466,16.59383910814466,0,0,0,0,0,0,0,1,0,15.639631596552404
1569591000,16.146651,16.58065,15.915317,16.141984,,,,166847851.00000003,14.587126236164147,15.40626220000001,16.225398163835873,15.817594172871782,15.817594172871782,0,0,0,0,0.9940402922485091,-778678.9206166258,16.9490832,79.04474558363614,24.427079016474554,11.243621932438689,1.1275668948350965,58.883097936684514,-0.028970550552403718,0.9940402922485091,,0.3808760874489804,0,0,0,0,0,0,0,1.4293485478327836,0.7597839359082964,,,15.799023870852501,16.661865337655414,16.661865337655414,0,0,0,0,0,0,0,1,0,15.675080689053159
1569850200,16.199984,16.265317,15.740724,16.057984,76.31887755548559,82.04961358425918,46.56593922107351,89192504.00000001,14.722685530849475,15.510691917647058,16.298698304444642,15.817594172871782,15.817594172871782,0,0,0,0,0.9905668285705792,-12665335.567999953,16.860883200000004,79.09128359877671,24.43841298096269,11.250241674761387,1.088850174216028,45.55552912291618,-0.03045290055634431,0.9905668285705792,,0.3930374930569777,0,0,0,0,0,0,0,1.4285938281707287,0.7574469223709059,,,15.827274004642081,16.69105472542273,16.69105472542273,0,0,0,0,0,0,0,0,0,15.691682879203157
1569936600,16.099984,16.39665,15.941984,16.31265,,,,92944442,14.864557867887982,15.630944312941182,16.397330757994382,15.817594172871782,15.817594172871782,0,0,0,0,1.0078237951924918,19766122.70237221,17.1282825,79.02613763063516,24.417876982439704,11.240975067211474,1.1059113300492613,45.14237959743495,-0.026240995201360362,1.0078237951924918,,0.39927468360781937,0,0,0,0,0,0,0,1.461013392800657,0.8140981648815075,,,15.878664219040854,16.742898795957792,16.742898795957792,0,0,0,0,0,0,0,1,0,15.691682879203157
1570023000,16.219317,16.309984,15.961984,16.20865,,,,93848312.99999999,15.028838459969366,15.75681865411765,16.484798848265935,15.817594172871782,15.817594172871782,0,0,0,0,1.0026800705085577,-1001079.9547711441,17.0190825,78.95995568751749,24.397021565750663,11.231561098684216,1.042564655172414,44.68641507611825,-0.023381925319959973,1.0026800705085577,,0.3976668234486731,0,0,0,0,0,0,0,1.4719534511778913,0.8322407095859442,,,15.914685912198255,16.776644399211346,16.776644399211346,0,0,0,0,0,0,0,1,0,15.691682879203157
