time,open,high,low,close,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1751895000,129.35,129.43,128.45,128.59,21.516577918738005,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,-10,-10,-10,40,118.02247879170851,123.6109176470589,129.19935650240927,128.21366763524628,118.54027120597547,0,0,0,0,126.55005913032787,128.27287764705892,129.99569616378997,129.30779945485034,128.19933495452315,0,0,0,0,125.24542456598576,129.20769411764707,133.16996366930837,128.68893796867536,124.15445326399964,0,0,0,0,127.69561850890042,129.47350117647056,131.2513838440407,129.30779945485034,128.19933495452315,0,0,0,0,1.1030365397854456,,98.4008016655062,96.81132362343253,64.15978948199052,100764,1.0749341805765569,-76580.63999999908,0.07940585108921239,0.5478668602093519,-0.0019499999999999986,-0.0015599999999999989,-0.0011699999999999992,-0.0007799999999999994,-0.0003899999999999997,-0.0019499999999999986,0,2.2371146356997427,2.4985540346958603,,
1751909400,128.62,128.86,128.16,128.655,21.516577918738005,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,-10,5,5,45,118.68444130968902,124.40251764705886,130.1205939844287,128.21366763524628,118.54027120597547,0,0,0,0,126.65882306412055,128.38497411764712,130.11112517117368,129.30779945485034,128.19933495452315,0,0,0,0,125.47085490240951,129.26696470588243,133.06307450935535,128.68893796867536,124.15445326399964,0,0,0,0,127.88397281595988,129.6894470588235,131.49492130168713,129.30779945485034,128.19933495452315,0,0,0,0,1.0976401443070094,,,,,81421,1.0746924749902482,2849.7349999997223,0.0788423250493282,0.5313614925444893,-0.0019499999999999986,-0.0015599999999999989,-0.0011699999999999992,-0.0007799999999999994,-0.0003899999999999997,-0.0019499999999999986,0,2.2371146356997427,2.496372475063441,,
1751981400,128.92,129.16,128.65,128.989,21.13900578048948,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,-10,-10,-10,40,118.68444130968902,124.40251764705886,130.1205939844287,128.21366763524628,118.54027120597547,0,0,0,0,126.77824595299494,128.5155694117649,130.25289287053482,129.30779945485034,128.19933495452315,0,0,0,0,125.47085490240951,129.26696470588243,133.06307450935535,128.68893796867536,124.15445326399964,0,0,0,0,128.0494382790216,129.86511058823535,131.68078289744912,129.30779945485034,128.19933495452315,0,0,0,0,1.0976401443070094,,,,,99332,1.076800085828202,6853.908000001671,0.07852030165426771,0.5352185531125371,-0.004400999999999998,-0.0035207999999999984,-0.002640599999999999,-0.0017603999999999992,-0.0008801999999999996,-0.004400999999999998,0,2.214018279713391,2.4516857190810084,,
1751995800,129.04,129.065,128.83,128.92,21.13900578048948,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,-5,-5,-5,40,118.68444130968902,124.40251764705886,130.1205939844287,128.21366763524628,118.54027120597547,0,0,0,0,126.8858613266013,128.59248000000005,130.29909867339882,129.30779945485034,128.19933495452315,0,0,0,0,125.68628124272624,129.38992941176483,133.0935775808034,128.68893796867536,124.15445326399964,0,0,0,0,128.18185358746135,129.9785717647061,131.77528994195083,129.30779945485034,128.19933495452315,0,0,0,0,1.0976401443070094,,,,,528198,1.0755590658881495,-63383.7600000024,0.07826556490352798,0.5281601952083644,-0.004400999999999998,-0.0035207999999999984,-0.002640599999999999,-0.0017603999999999992,-0.0008801999999999996,-0.004400999999999998,0,2.214018279713391,2.449600259744113,,
1752067800,129.34,129.58,128.98,129.315,20.688075512495775,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,-10,-10,-10,15,118.68444130968902,124.40251764705886,130.1205939844287,128.21366763524628,118.54027120597547,0,0,0,0,127.0061750021966,128.71281411764713,130.41945323309764,129.30779945485034,128.19933495452315,0,0,0,0,125.68628124272624,129.38992941176483,133.0935775808034,128.68893796867536,124.15445326399964,0,0,0,0,128.34083517005718,130.13742117647075,131.93400718288433,129.30779945485034,128.19933495452315,0,0,0,0,1.0976401443070094,,,,,98191,1.078219875933698,-2454.775000000558,0.07809248090407062,0.5448655792872295,0.0011720000000000003,0.0009376000000000002,0.0007032000000000002,0.0004688000000000001,0.00023440000000000006,0,0.0011720000000000003,2.2236564074405023,2.471429274970315,,
1752082200,129.32,129.65,129.27,129.65,20.688075512495775,-40,-60,10,30,50,,,,,,,,,,,128.68893796867536,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.68893796867536,124.15445326399964,15,30,15,15,119.38259518575057,125.25752941176478,131.13246363777898,128.21366763524628,118.54027120597547,0,0,0,0,127.13654535847989,128.85760705882362,130.57866875916733,129.30779945485034,128.19933495452315,0,0,0,0,125.92588549510192,129.5626117647059,133.19933803430987,128.68893796867536,124.15445326399964,0,0,0,0,128.50451749812993,130.27800000000016,132.0514825018704,129.30779945485034,128.19933495452315,0,0,0,0,1.1052825529176555,,,,,142808,1.0803714769349946,47126.64000000179,0.07805987466840536,0.5289898307195676,0.0011720000000000003,0.0009376000000000002,0.0007032000000000002,0.0004688000000000001,0.00023440000000000006,0,0.0011720000000000003,2.2236564074405023,2.4693040675571636,,
1752154200,129.59,129.935,129.335,129.92,20.57817685435874,-40,-60,10,30,50,,,,,,,,,,,128.6899766197827,124.15445326399964,0,0,0,0,0,0,0,0,0,0,128.6899766197827,124.15445326399964,25,10,10,15,119.38259518575057,125.25752941176478,131.13246363777898,128.21366763524628,118.54027120597547,0,0,0,0,127.27737143172912,129.0317647058824,130.7861579800357,129.39058998828645,128.19933495452315,0,0,0,0,125.92588549510192,129.5626117647059,133.19933803430987,128.6899766197827,124.15445326399964,0,0,0,0,128.6689542066021,130.33088470588243,131.99281520516274,129.39058998828645,128.19933495452315,0,0,0,0,1.1052825529176555,,,,,71773,1.081911190186119,23685.089999998858,0.07749833576256804,0.5388551535751924,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.264827169718438,2.5570435540086063,,
1752168600,129.92,130.045,129.81,129.89,20.70151191154299,-40,-60,10,30,50,,,,,,,,,,,129.19426400408395,124.15445326399964,0,0,0,0,0,0,0,0,0,0,129.19426400408395,124.15445326399964,45,15,45,35,119.38259518575057,125.25752941176478,131.13246363777898,128.2584064277975,118.54027120597547,0,0,0,0,127.4176430056258,129.2076870588235,130.9977311120212,129.56804784626598,128.22855400448083,0,0,0,0,126.16485815972747,129.73454117647066,133.30422419321383,129.19426400408395,124.15445326399964,0,0,0,0,128.8327421398813,130.32966352941176,131.82658491894222,129.56804784626598,128.22855400448083,0,0,0,0,1.1052825529176555,,,,,89720,1.080958070663572,-2691.600000000102,0.07835889148928432,0.51303641452663,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.264827169718438,2.554737754447115,,
1752240600,129.33,129.415,129.03,129.37,20.617394542349373,-40,-60,10,30,50,,,,,,,,,,,129.19426400408395,124.15445326399964,0,0,0,0,0,0,0,0,0,0,129.19426400408395,124.15445326399964,-10,-10,-10,15,119.38259518575057,125.25752941176478,131.13246363777898,128.2584064277975,118.54027120597547,0,0,0,0,127.52618424771804,129.32563294117645,131.12508163463485,129.56804784626598,128.22855400448083,0,0,0,0,126.16485815972747,129.73454117647066,133.30422419321383,129.19426400408395,124.15445326399964,0,0,0,0,128.91111567007616,130.21357176470607,131.516027859336,129.56804784626598,128.22855400448083,0,0,0,0,1.1052825529176555,,,,,154502,1.0759760400437226,6180.07999999877,0.07854225792549507,0.5283826913035388,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.356351289225822,2.7420221682589614,,
1752255000,129.355,129.44,129.17,129.22,19.84091554227324,-40,-60,10,30,50,,,,,,,,,,,129.19426400408395,124.45806374514254,0,0,0,0,0,0,0,0,0,0,129.19426400408395,124.45806374514254,-5,10,-5,30,120.12265685732709,126.12079999999999,132.1189431426729,128.2584064277975,118.54027120597547,0,0,0,0,127.63062380462553,129.44384941176457,131.2570750189036,129.56804784626598,128.22855400448083,0,0,0,0,126.36083257075153,129.84482352941174,133.32881448807197,129.19426400408395,124.45806374514254,0,0,0,0,128.98277072795977,130.0958564705884,131.208942213217,129.56804784626598,128.22855400448083,0,0,0,0,1.1004169919123017,,,,,100435,1.0741256128100276,-13558.724999999087,0.07816019035147015,0.5215787457739129,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.356351289225822,2.739298424739469,,
