time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI + Below MA,AB4 Buy Signal,StochRSI %K
1381757400,169.21001,174.50999,169.08,174.388,133.54803874999996,133.54803874999996,67.35093462840175,0,0,77.3582481389119
1382362200,174.45,176,173.96001,175.95,133.86538874999997,133.86538874999997,69.14260591590464,0,0,88.9634953939083
1382967000,175.89,177.51,175.22,176.21,134.18923874999996,134.18923874999996,69.44319453386224,0,0,96.51969846676197
1383575400,176.69,177.64,174.76,177.29,134.50283869999996,134.50283869999996,70.71914025508191,0,0,96.07489271216203
1384180200,177.12,180.12,176.09,180.05,134.83488869999996,134.83488869999996,73.73724646229638,0,0,96.06690078852868
1384785000,180.35,180.83,177.98,180.81,135.19288864999996,135.19288864999996,74.51618698492905,0,0,99.02617818175902
1385389800,181.13,181.75,180.37,181,135.56093864999994,135.56093864999994,74.71806961904812,0,0,98.48891423885864
1385994600,181.09,181.43,178.35,180.94,135.93233864999996,135.93233864999996,74.51731106420367,0,0,97.1297614158459
1386599400,181.47,181.67,177.76,178.11,136.28268869999997,136.28268869999997,65.56853271368063,0,0,90.12118626822722
1387204200,178.95,181.99,177.32,181.56,136.63478869999994,136.63478869999994,70.25772557872409,0,0,90.63716064714883
1387809000,182.41,184.18,182.065,183.845,137.00031364999998,137.00031364999998,72.89106485313921,0,0,91.5647273206291
1388413800,183.87,184.69,182.48,182.885,137.34348864999995,137.34348864999995,70.08357248885318,0,0,95.62634010937599
1389018600,183.47,184.22,182.08,184.14,137.68688859999997,137.68688859999997,71.62235693188107,0,0,95.53787259178478
1389623400,183.71,184.94,181.34,183.635,138.02521359999997,138.02521359999997,70.06073787956595,0,0,93.3634017394263
1390314600,184.7,184.77,178.83,178.89,138.33675359999998,138.33675359999998,57.39739910003733,0,0,77.98111530080944
1390833000,179.06,179.81,176.88,178.18,138.63865359999997,138.63865359999997,55.77295784213767,0,0,56.755601792633904
1391437800,177.95,179.87,173.71,179.68,138.93930359999996,138.93930359999996,58.44852488608486,0,0,43.885409321183126
1392042600,179.7,184.36,179.21,184.02,139.26260359999998,139.26260359999998,65.0387218924854,0,0,59.521372784681404
1392733800,184.19,184.95,182.6,183.89,139.57299109999997,139.57299109999997,64.70766245802216,0,0,78.51274283317967
1393252200,184.28,187.15,184.2,186.29,139.91037859999997,139.91037859999997,67.95106020535516,0,0,91.99274785091838
1393857000,184.69,188.96,183.75,188.26,140.29537864999998,140.29537864999998,70.35903426270681,0,0,93.19347385318586
1394458200,187.94,188.71,184.44,184.66,140.64922864999994,140.64922864999994,61.29567989098706,0,0,86.93810174342951
1395063000,185.59,189.0239,185.47,186.2,141.03465359999996,141.03465359999996,63.46385670828181,0,0,82.9243349295473
1395667800,186.82,187.34,183.9,185.49,141.41525859999996,141.41525859999996,61.74646383700354,0,0,76.76224931833598
1396272600,186.65,189.7,185.5216,186.4,141.81315854999994,141.81315854999994,63.12385238221739,0,0,79.28185685993476
1396877400,185.9,187.17,181.31,181.51,142.17230859999995,142.17230859999995,52.23880626006389,0,0,68.35538945004619
1397482200,182.93,186.91,181.44,186.39,142.54561359999997,142.54561359999997,59.70622320065761,0,0,69.14738378153011
1398087000,186.44,188.4,185.87,186.29,142.93772614999995,142.93772614999995,59.50092562966728,0,0,68.91807379612254
1398691800,187.05,189.14,184.96,188.06,143.36702614999996,143.36702614999996,61.992056439675984,0,0,82.57244110902649
1399296600,187.14,189.05,186.01,187.96,143.76702609999995,143.76702609999995,61.760915657305816,0,0,85.8453199916615
1399901400,188.76,190.42,186.48,188.05,144.17397609999995,144.17397609999995,61.89860761520479,0,0,85.90665032430888
1400506200,187.69,190.48,187.07,190.35,144.57367609999994,144.57367609999994,65.33398909725739,0,0,88.85289830872482
1401197400,191.05,192.8,190.95,192.68,144.98572609999994,144.98572609999994,68.43857378991775,0,0,92.1320365429671
1401715800,192.95,195.43,191.97,195.375,145.40064109999994,145.40064109999994,71.60604754570836,0,0,99.0494762867544
1402320600,195.35,196.05,193.11,194.13,145.82974109999995,145.82974109999995,68.20085637667778,0,0,95.18010499115542
1402925400,193.89,196.6,193.66,195.94,146.27179109999994,146.27179109999994,70.40435844008871,0,0,94.08938487795096
1403530200,195.97,196.5,194.13,195.82,146.71659109999993,146.71659109999993,70.05774805961403,0,0,92.5187665335845
1404135000,195.7,198.29,195.53,198.2,147.15314109999994,147.15314109999994,72.90669523306852,0,0,96.68401481834127
1404739800,197.82,197.98,195.06,196.61,147.57878114999994,147.57878114999994,68.23562939619248,0,0,94.82486609491723
1405344600,197.61,198.26,195.43,197.7099,148.00488059999992,148.00488059999992,69.68266863390807,0,0,95.37774725370748
1405949400,197.09,199.06,196.43,197.72,148.41938054999994,148.41938054999994,69.69632038225684,0,0,92.38657699917358
1406554200,197.76,198.45,191.57,192.5,148.80883054999993,148.80883054999993,55.72901874356517,0,0,80.17630041178244
1407159000,192.87,194.3,190.55,193.24,149.19234299999994,149.19234299999994,57.043274038931266,0,0,66.45797668541614
1407763800,193.965,196.65,192.94,195.72,149.58244299999993,149.58244299999993,61.20039391637112,0,0,60.77579888809445
1408368600,196.8,199.76,196.69,199.19,149.98665799999992,149.98665799999992,66.13819863285629,0,0,74.78683119699913
1408973400,200.14,200.82,199.1502,200.71,150.3977579499999,150.3977579499999,68.05596277305055,0,0,89.2957046408355
1409664600,200.97,201.58,199.41,201.11,150.78968289999992,150.78968289999992,68.56057848520189,0,0,96.72536244647324
1410183000,200.92,201.21,198.56,199.13,151.18434289999993,151.18434289999993,63.235547592111246,0,0,90.81855480744586
1410787800,199.16,201.899,198.38,200.7,151.58639294999992,151.58639294999992,65.52223059952613,0,0,87.65397925607654
1411392600,200.35,200.38,196.27,197.9,151.98189294999992,151.98189294999992,58.53023432979922,0,0,77.3288197071505
1411997400,196.2,198.3,192.35,196.52,152.3500429499999,152.3500429499999,55.39282101224768,0,0,68.9341204805122
1412602200,197.34,197.6,190.49,190.54,152.6803429499999,152.6803429499999,44.30898574001071,0,0,39.26847313918288
1413207000,190.46,191.15,181.92,188.47,153.0011929499999,153.0011929499999,41.2333226773236,0,0,28.608809261165515
