time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI + Below MA,AB4 Buy Signal,StochRSI %K
1381757400,19,19.285005,18.655,19.214995,17.067449999999983,17.067449999999983,53.57035561342082,0,0,41.68957575012362
1382362200,19.214995,19.6475,19.089995,19.6,17.086749999999984,17.086749999999984,58.29442555818264,0,0,62.32106339468297
1382967000,19.59,19.725,19.1625,19.53,17.106849999999984,17.106849999999984,57.15575708233756,0,0,71.98353783231083
1383575400,19.595,19.805,19.13,19.475,17.12742499999998,17.12742499999998,56.22644785235537,0,0,78.90452704599228
1384180200,19.475,19.685,19.09,19.6825,17.148562499999983,17.148562499999983,58.938951897545465,0,0,82.4729005439941
1384785000,19.72,19.735,19.24,19.33,17.170662474999983,17.170662474999983,52.93760666516259,0,0,79.79302832244014
1385389800,19.345,19.39,18.945,19.015,17.191912474999985,17.191912474999985,48.21319007547034,0,0,69.77124183006539
1385994600,19.04,19.2575,18.835,19.22,17.215712474999986,17.215712474999986,51.26166457340592,0,0,59.6949891067538
1386599400,19.25,19.25,18.71,18.755,17.237462474999983,17.237462474999983,44.81713433237692,0,0,44.68116225137725
1387204200,18.8,19.09,18.625,18.915,17.257637499999984,17.257637499999984,47.27342542065864,0,0,39.91718258543677
1387809000,19.02,19.02,18.75,18.905,17.279312499999985,17.279312499999985,47.13221779217918,0,0,30.4400584024303
1388413800,18.865,19.0175,18.555,18.635,17.297587474999986,17.297587474999986,43.36573293742684,0,0,26.91358024691371
1389018600,18.64,19.245,18.58,19.11,17.318537474999985,17.318537474999985,50.81279574891612,0,0,31.72839506172853
1389623400,19.095,19.115,18.88,19.03,17.338787449999984,17.338787449999984,49.62914497525433,0,0,33.28395061728406
1390314600,19.1,19.32,18.99,18.99,17.360112449999985,17.360112449999985,49.01435262611127,0,0,40.43950617283951
1390833000,19.025,19.59,18.96505,19.55,17.382687424999983,17.382687424999983,57.03826523078151,0,0,50.80000000000002
1391437800,19.59,19.805,19.13,19.44,17.404287399999983,17.404287399999983,55.200579552565245,0,0,61.733333333333356
1392042600,19.37,20.155,19.315,20.14,17.43041239999998,17.43041239999998,63.30316423743393,0,0,83.15416666666671
1392733800,20.19,20.4595,20.05,20.275,17.455262399999985,17.455262399999985,64.63173694588616,0,0,86.72497265248974
1393252200,20.3,20.4675,20.02,20.225,17.480287399999984,17.480287399999984,63.711717638356376,0,0,92.23172646512587
1393857000,20.145,20.2425,19.7575,19.995,17.507512374999983,17.507512374999983,59.514906871484314,0,0,84.30893234747883
1394458200,19.935,20.51,19.8,20.445,17.534912399999982,17.534912399999982,64.44913881470364,0,0,86.42985696694136
1395063000,20.49,20.635,20.0225,20.255,17.564637399999985,17.564637399999985,61.065041487636314,0,0,84.56669289789488
1395667800,20.27,20.5175,20.1775,20.505,17.595262424999984,17.595262424999984,63.76134563800548,0,0,90.71865368220857
1396272600,20.62,20.96,20.47,20.73,17.628618699999983,17.628618699999983,66.0407159250686,0,0,88.6391198891198
1396877400,20.715,21.11,20.555,20.845,17.659793699999984,17.659793699999984,67.17708643457627,0,0,91.23742737873165
1397482200,20.94,21.46,20.825,21.15,17.690343699999982,17.690343699999982,70.04049153867481,0,0,89.31559275340867
1398087000,21.15,21.555,21.02,21.555,17.726018699999983,17.726018699999983,73.36344043711956,0,0,92.50339594121186
1398691800,21.525,21.76,21.155,21.25,17.761868699999983,17.761868699999983,67.30877481256906,0,0,89.91243342956164
