time,open,high,low,close,Plot,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,BP Headwind,BP Mixed,BP Tailwind,Bear Call,Iron Condor,Exit LT,Exit Time,LT Fast Trackline,LT Slow Trackline,Trail Stop,Entry Headwind,Entry Mixed,Entry Tailwind,Exit LT Confirm,Exit Trail Stop,ST Alert (VST pending)
1624469400,166.9,166.96,165.98,166.17,,-20,-10,-20,-20,159.60837553318123,164.4109529411764,164.4109529411764,166.8811718894496,168.84900885675077,0,0,0,0,166.84300584893498,172.7113176470589,172.7113176470589,168.83384837576907,171.11478251853296,0,0,0,0,164.5628619486782,168.9454117647059,168.9454117647059,166.8811718894496,168.84900885675077,0,0,0,0,170.67635519718993,175.54032941176467,175.54032941176467,167.53548353760635,171.2669177079997,0,0,0,0,-19.354136915390367,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624541400,167,167.17,166.23,166.29,,-15,-10,-15,-15,159.27923920352268,164.04401176470583,164.04401176470583,166.8811718894496,168.84900885675077,0,0,0,0,166.84300584893498,172.7113176470589,172.7113176470589,168.83384837576907,171.11478251853296,0,0,0,0,163.85373420754604,168.37624705882345,168.37624705882345,166.8811718894496,168.84900885675077,0,0,0,0,170.67635519718993,175.54032941176467,175.54032941176467,167.53548353760635,171.2669177079997,0,0,0,0,-19.354136915390367,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624555800,166.27,166.4,166.01,166.02,,-20,-15,-20,-20,158.95384250868702,163.68528235294133,163.68528235294133,166.8811718894496,168.84900885675077,0,0,0,0,166.99213375552216,172.80018823529412,172.80018823529412,168.83384837576907,171.11478251853296,0,0,0,0,163.10439651814866,167.770094117647,167.770094117647,166.8811718894496,168.84900885675077,0,0,0,0,170.0063048263955,174.77249411764703,174.77249411764703,167.53548353760635,171.2669177079997,0,0,0,0,-16.46994222085345,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624627800,167.46,167.52,166.29,166.48,,-15,-10,-15,-15,158.89178516798114,163.5223176470587,163.5223176470587,166.8811718894496,168.84900885675077,0,0,0,0,166.99213375552216,172.80018823529412,172.80018823529412,168.83384837576907,171.11478251853296,0,0,0,0,162.4870301532081,167.26236470588236,167.26236470588236,166.8811718894496,168.84900885675077,0,0,0,0,170.0063048263955,174.77249411764703,174.77249411764703,167.53548353760635,171.2669177079997,0,0,0,0,-16.46994222085345,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624642200,166.47,166.61,166.32,166.59,,-20,-10,-20,-20,158.93205446707984,163.43049411764707,163.43049411764707,166.8811718894496,168.84900885675077,0,0,0,0,166.99213375552216,172.80018823529412,172.80018823529412,168.83384837576907,171.11478251853296,0,0,0,0,161.90256119960085,166.77642352941174,166.77642352941174,166.8811718894496,168.84900885675077,0,0,0,0,169.40751228864076,174.1447529411766,174.1447529411766,167.53548353760635,171.2669177079997,0,0,0,0,-16.075003259526305,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624887000,166.64,166.91,166.36,166.65,,-15,-10,-15,-15,159.10221356379728,163.43501176470576,163.43501176470576,166.8811718894496,168.84900885675077,0,0,0,0,166.99213375552216,172.80018823529412,172.80018823529412,168.83384837576907,171.11478251853296,0,0,0,0,161.34363095834382,166.30756470588233,166.30756470588233,166.8811718894496,168.84900885675077,0,0,0,0,169.40751228864076,174.1447529411766,174.1447529411766,167.53548353760635,171.2669177079997,0,0,0,0,-16.075003259526305,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624901400,166.63,166.64,166.39,166.57,,-20,-25,-35,-35,159.44785411152293,163.54905882352944,163.54905882352944,166.8811718894496,168.7686402200938,0,0,0,0,167.07177913117593,172.85505882352953,172.85505882352953,168.75367207153235,171.11478251853296,0,0,0,0,160.8212689255887,165.86621176470607,165.86621176470607,166.8811718894496,168.7686402200938,0,0,0,0,168.8209990778963,173.55331764705878,173.55331764705878,167.53548353760635,171.2669177079997,0,0,0,0,-16.133572354972536,,,,,,,167.53548353760635,171.2669177079997,0,0,0,0,0,0,0,167.53548353760635,171.2669177079997,160.092,0,0,0,0,0,0
1624973400,164.34,165.26,164.02,164.94,,-15,-10,-15,-30,159.74531650623624,163.5580705882352,163.5580705882352,165.60707519020835,168.7686402200938,0,0,0,0,167.07177913117593,172.85505882352953,172.85505882352953,168.75367207153235,171.11478251853296,0,0,0,0,160.17839356206773,165.33772941176463,165.33772941176463,165.60707519020835,168.7686402200938,0,0,0,0,168.8209990778963,173.55331764705878,173.55331764705878,166.43709443963866,171.2669177079997,0,0,0,0,-16.25382205562989,,,,,,,166.43709443963866,171.2669177079997,0,0,0,0,0,0,0,166.43709443963866,171.2669177079997,160.092,0,0,0,0,0,0
1624987800,165,165.25,164.75,164.83,,-20,-30,-50,-50,159.89162133135267,163.5090588235293,163.5090588235293,165.5695204784576,167.18765163294427,0,0,0,0,167.07177913117593,172.85505882352953,172.85505882352953,167.1541240664229,171.11478251853296,0,0,0,0,159.5584563384014,164.82418823529423,164.82418823529423,165.5695204784576,167.18765163294427,0,0,0,0,168.04721111167606,172.8070588235295,172.8070588235295,166.37873055109304,171.2669177079997,0,0,0,0,-17.4286875377974,,,,,,,166.37873055109304,171.2669177079997,0,0,0,0,0,0,0,166.37873055109304,171.2669177079997,160.092,0,0,0,0,0,0
1625059800,164.55,166.09,164.31,165.78,,-15,-10,-15,-15,160.31961155042998,163.6590588235293,163.6590588235293,165.5695204784576,167.18765163294427,0,0,0,0,167.07177913117593,172.85505882352953,172.85505882352953,167.1541240664229,171.11478251853296,0,0,0,0,159.15318383383726,164.46514117647055,164.46514117647055,165.5695204784576,167.18765163294427,0,0,0,0,168.04721111167606,172.8070588235295,172.8070588235295,166.37873055109304,171.2669177079997,0,0,0,0,-17.4286875377974,,,,,,,166.37873055109304,171.2669177079997,0,0,0,0,0,0,0,166.37873055109304,171.2669177079997,160.092,0,0,0,0,0,0
1625074200,165.76,165.86,165.52,165.65,,-35,-10,-20,-20,160.74359000996728,163.83616470588225,163.83616470588225,165.5695204784576,167.18765163294427,0,0,0,0,166.9831328411068,172.76696470588243,172.76696470588243,167.1541240664229,171.11478251853296,0,0,0,0,158.78748368864495,164.13324705882337,164.13324705882337,165.5695204784576,167.18765163294427,0,0,0,0,167.36974269506368,172.14901176470602,172.14901176470602,166.37873055109304,171.2669177079997,0,0,0,0,-17.4286875377974,,,,,,,166.37873055109304,171.2669177079997,0,0,0,0,0,0,0,166.37873055109304,171.2669177079997,160.092,0,0,0,0,0,0
1625146200,166.66,166.88,165.5,166.28,,-15,-10,-15,-15,161.3966959553137,164.1510588235294,164.1510588235294,165.5695204784576,167.18765163294427,0,0,0,0,166.9831328411068,172.76696470588243,172.76696470588243,167.1541240664229,171.11478251853296,0,0,0,0,158.53053106777853,163.88236470588248,163.88236470588248,165.5695204784576,167.18765163294427,0,0,0,0,167.36974269506368,172.14901176470602,172.14901176470602,166.37873055109304,171.2669177079997,0,0,0,0,-17.4286875377974,,,,,,,166.37873055109304,171.2669177079997,0,0,0,0,0,0,0,166.37873055109304,171.2669177079997,160.092,0,0,0,0,0,0
