time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1230768000,0.00076392,0.00135534,0.00061337,0.00068879,,0,,,,0,0,,0,0,0,0,0,1,0,,0,0,0,0
1262304000,0.00071822,0.5,0.00071822,0.3,,0,,,,0,0,,0.3,0,0,0,0.3,1,0.3,,0,0,0,0
1293840000,0.292,31.9099,0.289,4.72202,,0,,,,0,0,,0.3,0,0,0,0.3,1,0,,0,0,0,0
1325376000,4.70785,15.4,3.878,13.51001,,0,,,,0,0,,0.1491790481090301,0,0,0,0.1491790481090301,1,-0.1508209518909699,,0,0,0,0
1356998400,13.51001,1242,13.16123,739.28,,0,,,,0,0,,-0.3,0,0,0,-0.3,1,-0.4491790481090301,-0.3,0,1,0,0
1388534400,737.67,995,275,322.3,,0,,,,0,0,,-0.18,0,0,0,-0.18,1,0.12,-0.18,0,1,0,1
1420070400,322.31,504,162,429.02,,0,,,,0,0,,-0.03745808964584516,0,0,0,-0.03745808964584516,1,0.14254191035415484,-0.3374580896458451,0,0,0,0
1451606400,429.17,984.23,352.5,970.4175,,0,,,,0,0,,0.3,0,0,0,0.3,1,0.33745808964584517,0,0,0,0,0
1483228800,970.7525,19804.2475,748.49525,13888.3225,,0,,,,0,0,,-0.3,0,0,0,-0.3,1,-0.6,-0.4491790481090301,0,1,0,0
1514764800,13888.35,17222.6125,3124.5125,3692.3525,,0,,,,0,0,,0.2920663823219893,0,0,0,0.2920663823219893,1,0.5920663823219893,0.5920663823219893,0,1,0,1
1546300800,3692.905,13870.6275,3331.09,7167.07,,0,,,,0,0,,-0.07375720898381843,0,0,0,-0.07375720898381843,1,-0.3658235913058077,0.10624279101618156,0,0,0,0
1577836800,7164.9025,29307.5225,3880.5875,28980.4525,,0,,,,0,0,,0.3,0,0,0,0.3,1,0.3737572089838184,0.3374580896458451,0,0,0,0
1609459200,28976.325,68997.75,27741.085,46195.56,,0,,,,0,0,,-0.3,0,0,0,-0.3,1,-0.6,-0.5999999999999999,0,1,0,0
1640995200,46252.09,48222.96,15473.78,16528.89,,,,,,0,,,-0.17840168162544112,0,0,0,-0.17840168162544112,1,0.12159831837455887,0.12159831837455887,0,1,0,1
1672531200,16530.33,44720.5,16491.36,42278.29,,,,,,0,,,0,0,0,0,0,1,0.17840168162544112,-0.2920663823219893,0,0,0,0
1704067200,42279.67,108287.62,38524,93466.28,,,,,,0,,,-0.3,0,0,0,-0.3,1,-0.3,-0.22624279101618155,0,1,0,0
1735689600,93455.85,126219.03,74441.2,87553.51,,,,,,0,,,-0.37546328977779786,0,0.16619966884711998,-0.4,-0.1416629586249178,1,-0.07546328977779787,-0.6754632897777979,0,0,0,0
1767225600,87554.04,97913.08,57748.8,61992.87,,,,,,0,,,0.34635561611192867,0,0.5,-0.24,0.08635561611192864,1,0.7218189058897265,0.6463556161119287,0,1,0,1
