time,open,high,low,close,cycle_day,dcl_event,dcl_price,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1680269400,105.35,106.56,105.075,106.37,109,0,,0,106.38855000000011,0.13779148201205974,0,0,0,0.13779148201205974,1,0.05847669469132295,-0.040445967984276,0,0,0,0
1680528600,105.88,107.095,105.7,106.6,110,0,,0,106.36735000000012,0.1767667903670767,0,0,0,0.1767667903670767,1,0.038975308355016974,0.11112959999830585,0,0,0,0
1680615000,105.78,107.8,105.75,107.13,111,0,,0,106.34440000000012,0.2643795446358064,0,0,0,0.2643795446358064,1,0.08761275426872966,0.1549842273545216,0,0,0,0
1680701400,107.77,108.37,107.41,108.25,112,0,,0,106.32525000000011,0.12772879366840706,0,0,0,0.12772879366840706,1,-0.13665075096739931,0.080139921275965,0,0,0,0
1680787800,108.42,108.87,108.39,108.53,113,0,,0,106.31700000000009,0.08144267529049842,0,0,0,0.08144267529049842,1,-0.046286118377908636,0.002127887969761648,0,0,0,0
1681133400,107.64,107.7618,106.56,106.78,114,0,,0,106.28485000000012,0.05415590717513821,0,0,0,0.05415590717513821,1,-0.02728676811536021,-0.08363557483692152,0,0,0,0
1681219800,107.05,107.09,106.51,107,115,0,,0,106.24915000000011,0.04735334658591838,0,0,0,0.04735334658591838,1,-0.006802560589219832,-0.12941344378115832,0,0,0,0
1681306200,107.05,107.165,105.88,106.89,116,0,,0,106.22080000000011,0.0372851169547102,0,0,0,0.0372851169547102,1,-0.010068229631208181,-0.22709442768109617,0,0,0,0
1681392600,107.05,107.39,105.88,106.05,117,0,,0,106.19305000000011,-0.014423697360283193,0,0,0,-0.014423697360283193,1,-0.05170881431499339,-0.14215249102869024,0,0,0,0
1681479000,105.39,105.55,104.77,105.08,118,0,,0,106.15785000000011,-0.12647163407183593,0,0,0,-0.12647163407183593,1,-0.11204793671155273,-0.20791430936233435,0,0,0,0
1681738200,104.42,104.59,103.71,103.83,119,0,,0,106.1076500000001,-0.1944880630690557,0,0,0,-0.1944880630690557,1,-0.06801642899721977,-0.2486439702441939,0,1,0,0
1681824600,103.81,104.585,103.8,104.2,120,0,,0,106.0543000000001,-0.11288386606563741,0,0,0,-0.11288386606563741,1,0.08160419700341828,-0.1602372126515558,0,1,0,0
1681911000,103.91,104.237,103.475,104.1,121,0,,0,105.99570000000011,-0.08618840358633974,0,0,0,-0.08618840358633974,1,0.026695462479297674,-0.12347352054104994,0,0,0,0
1681997400,104.83,105.28,104.753,104.99,122,0,,0,105.9370000000001,-0.07967903022855621,0,0,0,-0.07967903022855621,1,0.006509373357783524,-0.06525533286827304,0,0,0,0
1682083800,105.3,105.46,104.27,104.4,123,0,,0,105.88515000000008,-0.13279838371426037,0,0,0,-0.13279838371426037,1,-0.05311935348570415,-0.00632674964242444,0,0,0,0
1682343000,104.96,105.4875,104.84,105.41,124,0,,0,105.84340000000009,-0.05720439755797095,0,0,0,-0.05720439755797095,1,0.07559398615628941,0.13728366551108473,0,0,0,0
1682429400,106.33,107.13,106.28,106.96,125,0,,0,105.81570000000009,0.06917020102646665,0,0,0,0.06917020102646665,1,0.12637459858443761,0.1820540670921041,0,0,0,0
1682515800,106.79,107.24,105.67,105.82,126,0,,0,105.7726000000001,0.06917020102646665,0,0,0,0.06917020102646665,1,0,0.15535860461280643,0,0,0,0
1682602200,105.2,105.27,104.61,104.77,127,0,,0,105.72085000000008,-0.031522926518545755,0,0,0,-0.031522926518545755,1,-0.1006931275450124,0.0481561037100105,0,0,0,0
1682688600,106.21,106.76,105.86,106.46,128,0,,0,105.67095000000009,0.023757499357219766,0,0,0,0.023757499357219766,1,0.055280425875765524,0.15655588307148016,0,0,0,0
1682947800,105.27,105.42,102.84,103.13,129,0,,0,105.6091500000001,-0.19747182906692246,0,0,0,-0.19747182906692246,1,-0.22122932842414222,-0.1402674315089515,0,1,0,0
1683034200,104,105.7,103.89,105.7,130,0,,0,105.55695000000009,-0.055960585286508845,0,0,0,-0.055960585286508845,1,0.1415112437804136,-0.1251307863129755,0,1,0,0
1683120600,106,106.6,105.275,106.29,131,0,,0,105.51375000000009,-0.01884828010485262,0,0,0,-0.01884828010485262,1,0.03711230518165622,-0.08801848113131927,0,0,0,0
1683207000,105.22,106.45,105.15,105.24,132,0,,0,105.46840000000009,-0.03141380017475437,0,0,0,-0.03141380017475437,1,-0.012565520069901748,0.00010912634379137143,0,0,0,0
1683293400,104.35,104.9,104.105,104.89,133,0,,0,105.41980000000011,-0.03141380017475437,0,0,0,-0.03141380017475437,1,0,-0.05517129953197415,0,0,0,0
1683552600,103.515,103.87,103.32,103.42,134,0,,0,105.3539500000001,-0.13217574569258753,0,0,0,-0.13217574569258753,1,-0.10076194551783316,0.06529608337433493,0,0,0,0
1683639000,103.5,103.64,103,103.05,135,0,,0,105.2764500000001,-0.171332048448921,0,0,0,-0.171332048448921,1,-0.03915630275633347,-0.11537146316241215,0,0,0,0
1683725400,103.67,104.24,103.64,104.05,136,0,,0,105.2097500000001,-0.171332048448921,0,0,0,-0.171332048448921,1,0,-0.15248376834406835,0,0,0,0
1683811800,105.295,105.52,104.72,105.15,137,0,,0,105.14810000000008,-0.051213834301051045,0,0,0,-0.051213834301051045,1,0.12011821414786995,-0.01980003412629666,0,0,0,0
1683898200,105.05,105.25,104.25,104.27,138,0,,0,105.08535000000009,-0.08535639050175174,0,0,0,-0.08535639050175174,1,-0.0341425562007007,-0.05394259032699736,0,0,0,0
1684157400,103.39,103.47,103.12,103.19,139,0,,0,105.0125500000001,-0.13217174053330186,0,0,0,-0.13217174053330186,1,-0.046815350031550115,0.000004005159285683235,0,0,0,0
1684243800,102.4,102.9,102.11,102.88,140,0,,0,104.9398000000001,-0.07780582524017866,0,0,0,-0.07780582524017866,1,0.05436591529312319,0.09352622320874235,0,0,0,0
1684330200,103.08,103.16,102.345,102.58,141,0,,0,104.8525000000001,-0.13832489305064818,0,0,0,-0.13832489305064818,1,-0.06051906781046952,0.033007155398272835,0,0,0,0
1684416600,102.2,102.26,101.75,101.82,142,0,,0,104.7741000000001,-0.0814560527453428,0,0,0,-0.0814560527453428,1,0.05686884030530538,-0.030242218444291716,0,0,0,0
1684503000,101.26,101.86,100.93,101.1,143,0,,0,104.6828500000001,-0.17840188610172644,0,0,0,-0.17840188610172644,1,-0.09694583335638364,-0.09304549559997466,0,0,0,0
1684762200,101.25,101.71,100.67,100.74,144,0,,0,104.59000000000009,-0.20036003290531784,0,0,0,-0.20036003290531784,1,-0.0219581468035914,-0.06818829237201594,0,1,0,0
1684848600,100.43,101.25,100.275,101.03,145,0,,0,104.5128000000001,-0.09012815241882373,0,0,0,-0.09012815241882373,1,0.11023188048649411,-0.012322327178645023,0,1,0,0
1684935000,101.28,101.36,100.53,100.53,146,0,,0,104.4237000000001,-0.15608892514524195,0,0,0,-0.15608892514524195,1,-0.06596077272641822,-0.017764032094593728,0,0,0,0
1685021400,100.7,100.8,100.03,100.28,147,0,,0,104.3356500000001,-0.08981929189686581,0,0,0,-0.08981929189686581,1,0.06626963324837613,-0.008363239151522983,0,0,0,0
1685107800,100.12,101.1733,100,101.09,148,0,,0,104.2555000000001,-0.1496988198281097,0,0,0,-0.1496988198281097,1,-0.05987952793124389,0.028703066273616767,0,0,0,0
1685453400,101.4,102.24,101.25,102.1,149,0,,0,104.1940500000001,-0.039604256976372314,0,0,0,-0.039604256976372314,1,0.11009456285173738,0.16075577592894555,0,0,0,0
1685539800,101.99,103.18,101.87,102.99,150,0,,0,104.1312500000001,0.049733130315881204,0,0,0,0.049733130315881204,1,0.08933738729225352,0.13986128273470494,0,0,0,0
1685626200,103.28,103.63,102.63,103.12,151,0,,0,104.06960000000008,0.05687702882627424,0,0,0,0.05687702882627424,1,0.007143898510393036,0.21296595397151621,0,0,0,0
1685712600,103,103.065,101.94,101.99,152,0,,0,103.99990000000007,0.05687702882627424,0,0,0,0.05687702882627424,1,0,0.1466963207231401,0,0,0,0
1685971800,101.35,102.4399,101.21,101.8,153,0,,0,103.93530000000008,0.03232164305657411,0,0,0,0.03232164305657411,1,-0.02455538576970013,0.18202046288468385,0,0,0,0
1686058200,101.84,102.47,101.39,102.4,154,0,,0,103.87285000000008,0.05386940509429018,0,0,0,0.05386940509429018,1,0.02154776203771607,0.09347366207066254,0,0,0,0
1686144600,102.17,102.43,100.78,100.88,155,0,,0,103.81205000000008,-0.07033290598385995,0,0,0,-0.07033290598385995,1,-0.12420231107815013,-0.12006603629974114,0,0,0,0
1686231000,100.87,102.14,100.8,102.06,156,0,,0,103.7590500000001,-0.03415635833563739,0,0,0,-0.03415635833563739,1,0.03617654764822256,-0.09103338716191162,0,0,0,0
1686317400,101.6,102.265,101.34,101.92,157,0,,0,103.70845000000008,-0.03341305646152323,0,0,0,-0.03341305646152323,1,0.0007433018741141578,-0.09029008528779744,0,0,0,0
1686576600,102.24,102.3,101.12,102.22,158,0,,0,103.66345000000008,-0.029895020574601965,0,0,0,-0.029895020574601965,1,0.0035180358869212683,-0.06221666363117604,0,0,0,0
1686663000,102.11,102.33,100.965,101.21,159,0,,0,103.6056500000001,-0.049825034291003274,0,0,0,-0.049825034291003274,1,-0.01993001371640131,-0.10369443938529342,0,0,0,0
1686749400,101.63,102.29,101.46,102.02,160,0,,0,103.54765000000009,-0.049825034291003274,0,0,0,-0.049825034291003274,1,0,0.020507871692856713,0,0,0,0
1686835800,103.03,103.63,102.6,103,161,0,,0,103.49925000000006,0.03532290076477696,0,0,0,0.03532290076477696,1,0.08514793505578024,0.06947925910041439,0,0,0,0
1686922200,102.44,102.8269,102.03,102.6,162,0,,0,103.44745000000006,0.03532290076477696,0,0,0,0.03532290076477696,1,0,0.06873595722630021,0,0,0,0
1687267800,103.11,103.6581,103.11,103.31,163,0,,0,103.40460000000006,0.10079843608457383,0,0,0,0.10079843608457383,1,0.06547553531979686,0.1306934566591758,0,0,0,0
1687354200,102.81,103.65,102.34,103.56,164,0,,0,103.37440000000007,0.11497723843199993,0,0,0,0.11497723843199993,1,0.014178802347426106,0.16480227272300324,0,0,0,0
1687440600,102.8,103.25,102.2,102.31,165,0,,0,103.33485000000006,0.06260854627539891,0,0,0,0.06260854627539891,1,-0.05236869215660102,0.11243358056640221,0,0,0,0
1687527000,103.83,103.95,102.98,103.33,166,0,,0,103.31405000000007,0.10434757712566485,0,0,0,0.10434757712566485,1,0.04173903085026594,0.06902467636088791,0,0,0,0
1687786200,103.62,103.8,103.16,103.44,167,0,,0,103.28530000000006,0.10434757712566485,0,0,0,0.10434757712566485,1,0,0.06902467636088791,0,0,0,0
1687872600,103.59,103.95,102.76,103.17,168,0,,0,103.26080000000007,0.10434757712566485,0,0,0,0.10434757712566485,1,0,0.003549141041091053,0,0,0,0
1687959000,103.41,103.84,102.827,103.61,169,0,,0,103.23730000000006,0.12545035885169584,0,0,0,0.12545035885169584,1,0.021102781726030986,0.01047312041969592,0,0,0,0
1688045400,102.17,102.34,101.45,101.74,170,0,,0,103.20890000000004,0.0211735463225107,0,0,0,0.0211735463225107,1,-0.10427681252918514,-0.041434999952888185,0,0,0,0
1688131800,102.06,103.06,101.87,102.94,171,0,,0,103.18525000000007,0.03528924387085117,0,0,0,0.03528924387085117,1,0.014115697548340467,-0.06905833325481366,0,0,0,0
1688391000,102.84,103.255,102.06,102.08,172,0,,0,103.15545000000006,0.03528924387085117,0,0,0,0.03528924387085117,1,0,-0.06905833325481367,0,0,0,0
1688563800,101.89,102,100.74,101.11,173,0,,0,103.12115000000006,-0.05402131971861287,0,0,0,-0.05402131971861287,1,-0.08931056358946404,-0.15836889684427774,0,0,0,0
1688650200,100.2,100.38,99.47,99.68,174,0,,0,103.08420000000005,-0.15492401360208255,0,0,0,-0.15492401360208255,1,-0.10090269388346967,-0.2803743724537784,0,0,0,0
1688736600,99.18,99.6,98.985,99.08,175,0,,0,103.04300000000005,-0.08634055610067509,0,0,0,-0.08634055610067509,1,0.06858345750140746,-0.1075141024231858,0,0,0,0
1688995800,98.86,99.53,98.85,99.21,176,0,,0,103.00780000000006,-0.07852541768454649,0,0,0,-0.07852541768454649,1,0.007815138416128603,-0.11381466155539767,0,0,0,0
1689082200,99.57,99.97,99.29,99.72,177,0,,0,102.96625000000006,-0.13087569614091082,0,0,0,-0.13087569614091082,1,-0.052350278456364335,-0.16616494001176202,0,0,0,0
1689168600,100.1,101.12,99.765,100.83,178,0,,0,102.94405000000006,-0.030609629543327924,0,0,0,-0.030609629543327924,1,0.1002660665975829,0.023411690175284924,0,0,0,0
1689255000,101.31,101.97,101.03,101.89,179,0,,0,102.92500000000007,0.06073605782651493,0,0,0,0.06073605782651493,1,0.09134568736984286,0.21566007142859747,0,0,0,0
1689341400,101.72,101.935,101.235,101.29,180,0,,0,102.91305000000006,0.06073605782651493,0,0,0,0.06073605782651493,1,0,0.14707661392719001,0,0,0,0
1689600600,101.23,101.485,100.92,101.34,181,0,,0,102.91500000000008,0.06073605782651493,0,0,0,0.06073605782651493,1,0,0.13926147551106144,0,0,0,0
1689687000,101.8,102.065,101.57,101.8,182,0,,0,102.90235000000006,0.07319931721877795,0,0,0,0.07319931721877795,1,0.012463259392263025,0.20407501335968878,0,0,0,0
1689773400,102,102.98,101.725,102.95,183,0,,0,102.89815000000006,0.19920013893471125,0,0,0,0.19920013893471125,1,0.1260008217159333,0.2298097684780392,0,0,0,0
1689859800,102.22,102.31,101.28,101.7,184,0,,0,102.89440000000006,0.10107301694238133,0,0,0,0.10107301694238133,1,-0.09812712199232992,0.040336959115866405,0,0,0,0
1689946200,102.16,102.345,101.63,101.73,185,0,,0,102.88390000000007,0.1684550282373022,0,0,0,0.1684550282373022,1,0.06738201129492088,0.10771897041078728,0,0,0,0
1690205400,101.985,102.15,101.3,101.36,186,0,,0,102.87300000000009,0.08348411930201383,0,0,0,0.08348411930201383,1,-0.08497090893528839,0.022748061475498904,0,0,0,0
1690291800,100.83,101.5,100.8,101.17,187,0,,0,102.86610000000007,0.061689120309579876,0,0,0,0.061689120309579876,1,-0.02179499899243395,-0.011510196909198078,0,0,0,0
1690378200,101.68,101.69,100.9256,101.27,188,0,,0,102.86255000000008,0.10281520051596646,0,0,0,0.10281520051596646,1,0.041126080206386584,-0.09638493841874479,0,0,0,0
1690464600,100.71,100.925,98.91,99.3,189,0,,0,102.85410000000009,-0.09818725831545434,0,0,0,-0.09818725831545434,1,-0.20100245883142082,-0.19926027525783568,0,0,0,0
1690551000,99.4,99.86,99.15,99.81,190,0,,0,102.85605000000008,-0.09818725831545434,0,0,0,-0.09818725831545434,1,0,-0.26664228655275657,0,0,0,0
1690810200,99.65,100.33,99.62,100.05,191,0,,0,102.85700000000008,-0.09818725831545434,0,0,0,-0.09818725831545434,1,0,-0.18167137761746818,0,0,0,0
1690896600,98.84,98.915,97.9,98.14,192,0,,0,102.84595000000009,-0.1656036556171146,0,0,0,-0.1656036556171146,1,-0.06741639730166026,-0.2272927759266945,0,0,0,0
1690983000,97.04,97.235,96.41,97.09,193,0,,0,102.83445000000009,-0.049833160462842155,0,0,0,-0.049833160462842155,1,0.11577049515427244,-0.15264836097880863,0,0,0,0
1691069400,95.19,95.32,94.535,94.85,194,0,,0,102.8158500000001,-0.1362472286047236,0,0,0,-0.1362472286047236,1,-0.08641406814188145,-0.03805997028926926,0,0,0,0
1691155800,95.15,96.68,95.13,96.53,195,0,,0,102.8080500000001,-0.1362472286047236,0,0,0,-0.1362472286047236,1,0,-0.03805997028926926,0,0,0,0
1691415000,96.11,96.2,95.5,95.58,196,0,,0,102.79435000000011,-0.1362472286047236,0,0,0,-0.1362472286047236,1,0,-0.03805997028926926,0,0,0,0
1691501400,96.86,97.37,96.44,96.69,197,0,,0,102.7951500000001,-0.1362472286047236,0,0,0,-0.1362472286047236,1,0,0.029356427012390995,0,0,0,0
1691587800,96.88,97.29,96.84,97.19,198,0,,0,102.80670000000009,0,0,0,0,0,1,0.1362472286047236,0.04983316046284214,0,0,0,0
1691674200,97.04,97.355,95.59,95.59,199,0,,0,102.8188000000001,-0.023318777629468348,0,0,0,-0.023318777629468348,1,-0.023318777629468348,0.11292845097525524,0,0,0,0
1691760600,95.3,95.865,95.2,95.37,200,0,,0,102.8336500000001,-0.09026196601368057,0,0,0,-0.09026196601368057,1,-0.06694318838421222,0.04598526259104303,0,0,0,0
1692019800,95.21,95.93,94.9,95.16,201,0,,0,102.8340000000001,-0.10878052300936729,0,0,0,-0.10878052300936729,1,-0.01851855699568672,0.027466705595356314,0,0,0,0
