time,open,high,low,close,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1679592600,71.495,71.63,70.315,71.01,-1.008948229526601,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-15,-15,-15,10,69.12719759888328,72.45370588235286,72.45370588235286,71.74996657171017,73.86419767288318,0,0,0,0,68.51289315519125,70.0863058823529,70.0863058823529,71.8215429250473,71.76211054748525,0,0,0,0,69.83659009130221,72.2503647058824,72.2503647058824,71.14429531861131,69.57754730306125,0,0,0,0,70.57700825161368,71.57764705882349,71.57764705882349,71.8215429250473,71.76211054748525,0,0,0,0,0.9085311854953262,,,,,371808,1.0062938220157585,-180326.8799999998,0.01602713453171689,0.4900613774655549,-0.002125499999999997,-0.0017003999999999977,-0.0012752999999999983,-0.0008501999999999989,-0.00042509999999999944,-0.002125499999999997,0,1.3710515378265131,0.5415196154172784,,
1679664600,70.715,70.785,69.89,70.39,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-45,-10,-10,10,69.12719759888328,72.45370588235286,72.45370588235286,71.74996657171017,73.86419767288318,0,0,0,0,68.69669971899064,70.14918823529412,70.14918823529412,71.40759680912582,71.76211054748525,0,0,0,0,69.83659009130221,72.2503647058824,72.2503647058824,71.14429531861131,69.57754730306125,0,0,0,0,70.5594236208536,71.55271764705881,71.55271764705881,71.40759680912582,71.76211054748525,0,0,0,0,0.9085311854953262,,,,,267082,0.9977558278516926,-86801.65000000077,0.015246479186988182,0.47032782903851367,0.004357500000000002,0.0034860000000000013,0.002614500000000001,0.0017430000000000006,0.0008715000000000003,0,0.004357500000000002,1.419257583065308,0.6128452006607534,,
1679679000,70.415,70.915,70.345,70.795,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-15,-15,-15,10,69.12719759888328,72.45370588235286,72.45370588235286,71.74996657171017,73.86419767288318,0,0,0,0,68.84793219781174,70.21587058823525,70.21587058823525,71.40759680912582,71.76211054748525,0,0,0,0,69.61665197388217,71.99547058823525,71.99547058823525,71.14429531861131,69.57754730306125,0,0,0,0,70.59119518254573,71.58235294117648,71.58235294117648,71.40759680912582,71.76211054748525,0,0,0,0,0.9085311854953262,,,,,239584,1.003708605758147,91041.9199999989,0.012038996967247195,0.47154579294096527,0.004357500000000002,0.0034860000000000013,0.002614500000000001,0.0017430000000000006,0.0008715000000000003,0,0.004357500000000002,1.419257583065308,0.6127889723899549,,
1679923800,71.47,71.705,70.64,70.875,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-10,-10,-10,10,69.12719759888328,72.45370588235286,72.45370588235286,71.74996657171017,73.86419767288318,0,0,0,0,68.95213188499412,70.26551764705886,70.26551764705886,71.40759680912582,71.76211054748525,0,0,0,0,69.61665197388217,71.99547058823525,71.99547058823525,71.14429531861131,69.57754730306125,0,0,0,0,70.67259755188908,71.65789411764706,71.65789411764706,71.40759680912582,71.76211054748525,0,0,0,0,0.9085311854953262,,69.8537148414315,60.34392014790422,53.72169920243408,287410,1.0050436874084823,-171008.94999999966,0.008342760027274299,0.48863296474054807,-0.0006919999999999995,-0.0005535999999999996,-0.0004151999999999997,-0.0002767999999999998,-0.0001383999999999999,-0.0006919999999999995,0,1.4039891754506355,0.5910374680938921,,
1679938200,70.88,71.385,70.845,70.915,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-15,-15,-15,10,69.19776083890102,72.52290588235296,72.52290588235296,71.74996657171017,73.86419767288318,0,0,0,0,69.1564619120059,70.36124705882361,70.36124705882361,71.40759680912582,71.76211054748525,0,0,0,0,69.40829575772555,71.75242352941176,71.75242352941176,71.14429531861131,69.57754730306125,0,0,0,0,70.76774910714157,71.74842352941178,71.74842352941178,71.40759680912582,71.76211054748525,0,0,0,0,0.9097929389822254,,,,,170230,1.0057673329950814,5958.050000001838,0.005609457226809278,0.45931861639166577,-0.0006919999999999995,-0.0005535999999999996,-0.0004151999999999997,-0.0002767999999999998,-0.0001383999999999999,-0.0006919999999999995,0,1.4039891754506355,0.5909858636306691,,
1680010200,71,71.09,70.5675,70.64,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-10,-10,-10,15,69.19776083890102,72.52290588235296,72.52290588235296,71.74996657171017,73.86419767288318,0,0,0,0,69.17814150980573,70.36314117647059,70.36314117647059,71.40759680912582,71.76211054748525,0,0,0,0,69.40829575772555,71.75242352941176,71.75242352941176,71.14429531861131,69.57754730306125,0,0,0,0,70.71575679570775,71.68003529411762,71.68003529411762,71.40759680912582,71.76211054748525,0,0,0,0,0.9097929389822254,,,,,69368,1.0020821035194396,-24972.47999999996,0.004848111227552687,0.46812844209900506,-0.003057,-0.0024456,-0.0018342,-0.0012228,-0.0006114,-0.003057,0,1.3573319325789226,0.5234176896220902,,
1680024600,70.56,70.895,70.385,70.85,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,-30,-15,-15,15,69.19776083890102,72.52290588235296,72.52290588235296,71.74996657171017,73.86419767288318,0,0,0,0,69.19693169497805,70.36943529411776,70.36943529411776,71.38937777626914,71.76211054748525,0,0,0,0,69.19860146902073,71.52469411764707,71.52469411764707,71.14429531861131,69.57754730306125,0,0,0,0,70.66462986429555,71.6008823529411,71.6008823529411,71.38937777626914,71.76211054748525,0,0,0,0,0.9097929389822254,,,,,95920,1.0050873293602995,27816.799999999235,0.003676958415557152,0.46606301167994435,-0.003057,-0.0024456,-0.0018342,-0.0012228,-0.0006114,-0.003057,0,1.3573319325789226,0.5233791100447529,,
1680096600,71.635,72.055,71.38,71.92,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,10,10,10,15,69.19776083890102,72.52290588235296,72.52290588235296,71.74996657171017,73.86419767288318,0,0,0,0,69.34943080887928,70.48895294117644,71.6284750734736,71.38937777626914,71.76211054748525,0,0,0,0,69.19860146902073,71.52469411764707,71.52469411764707,71.14429531861131,69.57754730306125,0,0,0,0,70.72565670387985,71.62338823529409,72.52111976670832,71.38937777626914,71.76211054748525,0,0,0,0,0.9097929389822254,,,,,156504,1.0201693845772986,44603.63999999947,0.005659181638634214,0.4843322867612497,-0.0004264999999999987,-0.00034119999999999897,-0.0002558999999999992,-0.00017059999999999948,-0.00008529999999999974,-0.0004264999999999987,0,1.363478560239509,0.5325509986094632,,
1680111000,71.91,72.22,71.66,72.17,-8.5089482295266,-40,-60,10,30,50,,,,,,,,,,,71.14429531861131,69.57754730306125,0,0,0,0,0,0,0,0,0,0,71.14429531861131,69.57754730306125,25,10,10,15,69.24894949462089,72.56656470588231,75.88417991714374,71.74996657171017,73.86419767288318,0,0,0,0,69.5030631888375,70.62041176470588,71.73776034057425,71.44667620321091,71.76211054748525,0,0,0,0,69.10356812747456,71.40104705882348,73.6985259901724,71.14429531861131,69.57754730306125,0,0,0,0,70.81584984477442,71.69702352941181,72.5781972140492,71.44667620321091,71.76211054748525,0,0,0,0,0.9284363380518913,,,,,214430,1.0234580105773519,55751.800000001094,0.009330922028014443,0.47461042426972555,-0.0004264999999999987,-0.00034119999999999897,-0.0002558999999999992,-0.00017059999999999948,-0.00008529999999999974,-0.0004264999999999987,0,1.363478560239509,0.5325107739793993,,
1680183000,72.885,73.19,72.655,72.84,-0.8659641289604347,-40,-60,10,30,50,,,,,,,,,,,71.67488107971681,69.57754730306125,0,0,0,0,0,1,1,0,0,0,71.67488107971681,69.57754730306125,45,10,10,10,69.24894949462089,72.56656470588231,75.88417991714374,71.74996657171017,73.86419767288318,0,0,0,0,69.64691618581534,70.77478823529415,71.90266028477296,72.03351162419716,71.76211054748525,0,0,0,0,69.10356812747456,71.40104705882348,73.6985259901724,71.67488107971681,69.57754730306125,0,0,0,0,70.96129636365394,71.84390588235291,72.72651540105188,72.03351162419716,71.76211054748525,0,0,0,0,0.9284363380518913,,,,,227136,1.0326698387087905,-10221.120000000388,0.013468241020963223,0.4746785536528252,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.4151034982874262,0.6086384954426588,,
