time,open,high,low,close,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1394458200,12.986,13.1,12.3,12.569,11.546019483029056,13.058705851764719,14.571392220500382,12.348857605154944,11.005778960989492,-0.15977103577451454,0,0,0,-0.15977103577451454,1,-0.3397710357745145,-0.26611210079731645,0,0,0,0
1395063000,12.655,12.946,12.345,12.435,11.628570365236328,13.153945837647065,14.679321310057801,12.348857605154944,11.005778960989492,-0.055167362981011166,0,0,0,-0.055167362981011166,1,0.10460367279350338,-0.35516736298101104,0,0,0,0
1395667800,12.424,12.46,11.266,11.35,11.644072612139965,13.168677588235294,13.168677588235294,12.348857605154944,11.005778960989492,-0.3,0,0,0,-0.3,1,-0.24483263701898883,-0.5999999999999999,0,1,0,0
1396272600,11.391,11.846,11.116,11.166,11.624630136755787,13.138143416470578,13.138143416470578,12.348857605154944,11.005778960989492,-0.3,0,0,0,-0.3,1,0,-0.47999999999999987,0,0,0,0
1396877400,11.14,11.417,9.968,10.054,11.515582102018444,13.025324616470582,13.025324616470582,11.797548773346076,11.005778960989492,-0.3,0,0,0,-0.3,1,0,-0.47999999999999987,0,0,0,0
1397482200,10.142,10.5,9.879,10.45,11.427125295732994,12.916308131764698,12.916308131764698,11.14226671810707,11.005778960989492,-0.18,0,0,0,-0.18,1,0.12,-0.02022896422548537,0,1,0,0
1398087000,10.444,12.689,10.141,12.08,11.462804875919767,12.944952823529402,14.427100771139036,11.14226671810707,11.005778960989492,0.3,0,0,0,0.3,1,0.48,0.35516736298101126,0,0,0,0
1398691800,11.974,12.355,11.40875,11.902,11.485100840279014,12.958635162352941,14.432169484426868,11.14226671810707,11.005778960989492,0.18,0,0,0,0.18,1,-0.12,0.4800000000000001,0,0,0,0
1399296600,11.845,12.2,11.5228,12.142,11.513067105567222,12.971364559999989,14.429662014432756,11.14226671810707,11.005778960989492,0.18,0,0,0,0.18,1,0,0.4800000000000001,0,0,0,0
1399901400,12.187,13.163,12.10547,13.163,11.593984891990322,13.052825722352933,14.511666552715544,11.32932523645096,11.005778960989492,0.3,0,0,0,0.3,1,0.12,0.6000000000000001,0,0,0,0
1400506200,13.171,14.353,13.1665,14.262,11.717100597218325,13.203093983529403,14.68908736984048,12.88273961714394,11.005778960989492,0.18,0,0,0,0.18,1,-0.12,0.3600000000000001,0,0,0,0
1401197400,14.377,14.613,13.85847,14.112,11.830653760592373,13.334185736470591,14.837717712348809,13.29140107306223,11.005778960989492,0.18,0,0,0,0.18,1,0,-0.11999999999999988,0,0,0,0
1401715800,14.113,14.415,13.76,14.304,11.944844461031288,13.44169866588235,14.938552870733414,13.29140107306223,11.005778960989492,0.18,0,0,0,0.18,1,0,1.1102230246251565e-16,0,0,0,0
1402320600,14.294,14.478,13.924,14.328,12.055208203696269,13.548006929411759,15.040805655127249,13.29140107306223,11.005778960989492,0.3,0,0,0,0.3,1,0.12,0.1200000000000001,0,0,0,0
1402925400,14.384,14.499,14.1,14.46,12.166696993930172,13.662432842352944,15.158168690775716,13.38208864167552,11.005778960989492,0.18,0,0,0,0.18,1,-0.12,-0.11999999999999988,0,0,0,0
1403530200,14.42,14.485,13.775,14.075,12.261701484287864,13.76593640470589,15.270171325123917,13.38208864167552,11.005778960989492,0,0,0,0,0,1,-0.18,-0.17999999999999988,0,0,0,0
1404135000,14.053,14.449,13.911,14.36,12.363905749336196,13.877682282352943,15.39145881536969,13.38208864167552,11.931234172785885,0.20632488368402543,0,0,0,0.20632488368402543,1,0.20632488368402543,0.026324883684025552,0,0,0,0
1404739800,14.348,14.348,13.565,14.055,12.446707537347853,13.957126983529413,15.467546429710973,13.38208864167552,11.931234172785885,-0.03741139828974897,0,0,0,-0.03741139828974897,1,-0.2437362819737744,-0.21741139828974884,0,0,0,0
1405344600,14.189,14.452,13.836,13.955,12.517499660636995,14.009567018823535,15.501634377010076,13.38208864167552,11.931234172785885,0.026678007136852356,0,0,0,0.026678007136852356,1,0.06408940542660133,-0.2733219928631475,0,0,0,0
1405949400,13.876,14.169,13.617,13.865,12.581454347553086,14.061559997647063,15.54166564774104,13.38208864167552,11.931234172785885,0,0,0,0,0,1,-0.026678007136852356,-0.17999999999999988,0,0,0,0
1406554200,13.892,15.586,13.693,14.021,12.647071558179672,14.104258821176474,15.561446084173276,13.38208864167552,11.931234172785885,-0.3,0,0,0,-0.3,1,-0.3,-0.29999999999999993,0,1,0,0
1407159000,14.036,14.661,13.883,14.286,12.721839702786921,14.152364743529425,15.582889784271929,13.38208864167552,11.931234172785885,-0.08507654996397286,0,0,0,-0.08507654996397286,1,0.21492345003602714,-0.2914014336479982,0,1,0,0
1407763800,14.144,14.148,13.302,13.486,12.748613812872765,14.113955334117652,15.479296855362538,13.38208864167552,11.931234172785885,-0.3,0,0,0,-0.3,1,-0.21492345003602714,-0.262588601710251,0,1,0,0
1408368600,13.6,13.99499,13.525,13.674,12.784150388592813,14.086374120000006,15.388597851407198,13.38208864167552,11.931234172785885,-0.18,0,0,0,-0.18,1,0.12,-0.20667800713685233,0,1,0,0
1408973400,13.762,14.005,13.526,13.893,12.829604342634354,14.11668000235295,15.403755662071546,13.38208864167552,11.931234172785885,-0.15970031940330937,0,0,0,-0.15970031940330937,1,0.020299680596690628,-0.15970031940330934,0,0,0,0
1409664600,13.968,14.251,13.594,13.821,12.86904300571105,14.143207061176478,15.417371116641904,13.38208864167552,11.931234172785885,-0.3,0,0,0,-0.3,1,-0.14029968059669062,0,0,1,0,0
1410183000,13.769,14.345,13.769,13.926,12.907536038941068,14.152028237647052,15.396520436353036,13.38208864167552,11.931234172785885,-0.06044080509035006,0,0,0,-0.06044080509035006,1,0.23955919490964994,0.024635744873622772,0,1,0,0
1410787800,13.82,14.067,13.511,13.729,12.930964959164124,14.144136472941186,15.357307986718249,13.38208864167552,11.931234172785885,-0.23723968097606146,0,0,0,-0.23723968097606146,1,-0.17679887588571142,0.0627603190239385,0,1,0,0
1411392600,13.674,13.674,12.948,13.122,12.91060597666747,14.069767061176469,14.069767061176469,13.38208864167552,11.931234172785885,-0.3,0,0,0,-0.3,1,-0.06276031902393853,-0.12000000000000005,0,0,0,0
1411997400,13.025,13.779,12.746,13.679,12.929844953802792,14.022270550588255,15.114696147373717,13.38208864167552,11.931234172785885,-0.01303729896884214,0,0,0,-0.01303729896884214,1,0.28696270103115784,0.14666302043446716,0,1,0,0
1412602200,13.679,14.822,13.353,14.756,13.008016125008975,14.050025882352948,15.09203563969692,13.38208864167552,11.931234172785885,0.3,0,0,0,0.3,1,0.31303729896884214,0.5999999999999999,0,0,0,0
1413207000,14.647,14.976,14.269,14.53,13.079891703934727,14.137258823529434,15.19462594312414,13.54464385239077,11.931234172785885,0.18,0,0,0,0.18,1,-0.12,0.24044080509034998,0,0,0,0
1413811800,14.502,15.853,14.415,15.75,13.202996247305338,14.321604705882354,15.44021316445937,13.682747862934285,11.931234172785885,0.3,0,0,0,0.3,1,0.12,0.5372396809760613,0,0,0,0
1414416600,15.649,16.573,14.904,16.088,13.343930492488578,14.535367058823528,15.726803625158478,14.080114228754564,11.931234172785885,0.18,0,0,0,0.18,1,-0.12,0.4799999999999999,0,0,0,0
1415025000,16.057,16.26,15.51,15.744,13.471634420632048,14.713042352941184,15.954450285250319,14.897891783843523,11.931234172785885,0.10684615882766829,0,0,0,0.10684615882766829,1,-0.0731538411723317,0.11988345779651038,0,0,0,0
1415629800,15.751,16.896,15.64,16.675,13.636738615160134,14.966557647058822,16.29637667895751,14.897891783843523,11.931234172785885,0.3,0,0,0,0.3,1,0.1931538411723317,-5.551115123125783e-17,0,0,0,0
1416234600,16.62,17.081,16.346,16.578,13.79081697446875,15.19273647058824,16.59465596670773,15.593629717783081,11.931234172785885,0.18,0,0,0,0.18,1,-0.12,-5.551115123125783e-17,0,0,0,0
1416839400,16.7,17.696,16.7,17.174,13.955858121939395,15.44640941176472,16.936960701590042,15.652477595084289,13.566430725880938,0.3,0,0,0,0.3,1,0.12,-5.551115123125783e-17,0,0,0,0
1417444200,17.094,17.444,16.7,16.976,14.109453717007653,15.666040000000008,17.222626282992362,15.959514909721126,13.566430725880938,0.18,0,0,0,0.18,1,-0.12,-1.1102230246251565e-16,0,0,0,0
1418049000,16.918,17.107,15.727,15.824,14.215665516556758,15.794618823529415,17.373572130502072,15.959514909721126,13.566430725880938,-0.29611930959616056,0,0,0,-0.29611930959616056,1,-0.47611930959616056,-0.40296546842382897,0,1,0,0
1418653800,15.943,17.04,15.28201,16.406,14.341639307702454,15.954698823529423,17.56775833935639,15.959514909721126,13.566430725880938,0.16649900914988877,0,0,0,0.16649900914988877,1,0.4626183187460493,-0.13350099085011136,0,1,0,0
1419258600,16.422,16.864,16.196,16.378,14.4610596217435,16.102244705882377,17.743429790021256,15.959514909721126,13.566430725880938,0.22611102095903124,0,0,0,0.22611102095903124,1,0.05961201180914247,0.04611102095903111,0,0,0,0
1419863400,16.333,16.479,15.865,16.312,14.571875270384368,16.234527058823527,17.897178847262687,15.959514909721126,13.566430725880938,0,0,0,0,0,1,-0.22611102095903124,-0.30000000000000016,0,0,0,0
1420468200,16.175,16.42,15.508,15.962,14.65252926126797,16.31493647058824,17.97734367990851,15.959514909721126,13.566430725880938,-0.04279093551146647,0,0,0,-0.04279093551146647,1,-0.04279093551146647,-0.22279093551146661,0,0,0,0
1421073000,16.002,16.2475,15.001,15.789,14.729926704908266,16.39870352941177,18.067480353915272,15.959514909721126,13.566430725880938,-0.3,0,0,0,-0.3,1,-0.25720906448853353,-0.0038806904038394263,0,1,0,0
1421764200,15.835,16.719,15.537,16.521,14.837904423051008,16.525014117647068,18.212123812243128,15.959514909721126,13.566430725880938,0.17943872607349,0,0,0,0.17943872607349,1,0.47943872607349003,0.012939716923601297,0,1,0,0
1422282600,16.465,16.841,15.25,16.16,14.935228225010873,16.638202352941185,18.3411764808715,15.959514909721126,13.566430725880938,-0.021122630814031127,0,0,0,-0.021122630814031127,1,-0.20056135688752114,-0.2472336517730623,0,0,0,0
1422887400,16.342,17.736,15.979,17.516,15.097949523011343,16.857044705882366,18.61613988875339,15.959514909721126,13.566430725880938,0.3,0,0,0,0.3,1,0.32112263081403114,0.30000000000000004,0,0,0,0
1423492200,17.498,18.224,17.25401,18.124,15.272913078941315,17.10104705882354,18.929181038705764,16.494733182338827,13.566430725880938,0.18,0,0,0,0.18,1,-0.12,0.2227909355114665,0,0,0,0
1424183400,18.203,18.2615,17.68,17.955,15.442592156382466,17.32858588235295,19.214579608323433,16.78297438360034,13.566430725880938,0.3,0,0,0,0.3,1,0.12,0.6000000000000001,0,0,0,0
1424701800,17.843,18.173,17.477,17.834,15.589672252579973,17.512710588235304,19.435748923890635,16.873176891981924,14.004638482055546,0.18,0,0,0,0.18,1,-0.12,0.0005612739265100086,0,0,0,0
1425306600,17.86,18.218,15.975,16.172,15.639398930398885,17.550037647058826,19.46067636371877,16.873176891981924,14.004638482055546,-0.3,0,0,0,-0.3,1,-0.48,-0.27887736918596884,0,1,0,0
1425907800,16.2,16.5506,15.91,16.426,15.688422976696845,17.554894117647056,19.421365258597266,16.873176891981924,14.004638482055546,-0.18,0,0,0,-0.18,1,0.12,-0.48,0,1,0,0
