time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1538956800,6572.1375,6670.28,6051.4775,6182.4575,28,0,,1,0,1,0,2964.002072500002,-0.3,0,0,0,-0.3,1,-0.09938192922625738,5.551115123125783e-17,0,0,0,0
1539561600,6182.325,6788.75,6150.965,6412.975,29,0,,1,0,1,0,2994.4629975000016,0.05957768021922018,0,0,0,0.05957768021922018,1,0.35957768021922015,0.2395776802192202,0,1,0,1
1540166400,6413.2125,6468.92,6355.14,6405.5225,30,0,,1,0,1,0,3024.9059100000018,0.01922580062726807,0,0,0,0.01922580062726807,1,-0.040351879591952106,0.033900045290514214,0,0,0,0
1540771200,6405.1675,6465.9925,6201.48,6422.5075,31,0,,1,0,1,0,3055.697497500002,0,0,0,0,0,1,-0.01922580062726807,0.19212258087989217,0,0,0,0
1541376000,6425.5625,6544.225,6272.6775,6358.58,32,0,,1,0,1,0,3086.154047500002,-0.09505517590593836,0,0,0,-0.09505517590593836,1,-0.09505517590593836,0.10556289486780429,0,0,0,0
1541980800,6357.94,6384.7625,5198.475,5560.145,33,0,,1,0,1,0,3112.8996225000024,-0.3,0,0,0,-0.3,1,-0.20494482409406162,5.551115123125783e-17,0,1,0,0
1542585600,5557.3375,5559.6325,3465.1275,3935.5125,34,0,,1,0,1,0,3131.303535000002,-0.3,0,0,0,-0.3,1,0,-0.3595776802192201,0,0,0,0
1543190400,3934.365,4418.2775,3516.245,4102.0975,35,0,,1,0,1,0,3150.679422500002,-0.12206904557999934,0,0,0,-0.12206904557999934,1,0.17793095442000065,-0.14129484620726734,0,1,0,1
1543795200,4101.76,4117.88,3209.9275,3532.5225,36,0,,1,0,1,0,3167.2227850000017,-0.3,0,0,0,-0.3,1,-0.17793095442000065,-0.29999999999999993,0,1,0,0
1544400000,3531.07,3591.6675,3124.5125,3192.87,37,0,,1,0,1,0,3182.007735000002,-0.18,0,0,0,-0.18,1,0.12,-0.08494482409406154,0,1,0,1
1545004800,3193.15,4175.0175,3183.1525,3944.385,38,0,,1,0,1,0,3200.547160000002,0.3,0,0,0,0.3,1,0.48,0.6000000000000001,0,0,0,0
1545609600,3945.94,4238.61,3566.69,3831.0375,39,0,,1,0,1,0,3218.3903475000025,0.18,0,0,0,0.18,1,-0.12,0.4800000000000001,0,0,0,0
1546214400,3831.2325,4085.235,3624.6325,4040.9525,40,0,,1,0,1,0,3237.217160000002,0.3,0,0,0,0.3,1,0.12,0.4220690455799994,0,0,0,0
1546819200,4040.925,4113.205,3454.2175,3514.2175,41,0,,1,0,1,0,3253.353747500002,-0.3,0,0,0,-0.3,1,-0.6,1.1102230246251565e-16,0,1,0,0
1547424000,3515.37,3812.475,3473.4275,3534.25,42,0,,1,0,1,0,3269.680897500002,-0.18,0,0,0,-0.18,1,0.12,1.1102230246251565e-16,0,1,0,1
1548028800,3535.4675,3662.0075,3422.5425,3531.82,43,0,,1,0,1,0,3286.126297500002,-0.18,0,0,0,-0.18,1,0,-0.47999999999999987,0,0,0,0
1548633600,3531.8075,3536.2175,3331.09,3415.1975,44,0,,1,1,1,0,3301.899785000002,-0.3,0,0,0,-0.3,1,-0.12,-0.47999999999999987,0,1,0,0
1549238400,3415.5825,3709.55,3334.485,3648.38,45,0,,1,1,1,0,3318.959785000002,0.3,0,0,0,0.3,1,0.6,1.1102230246251565e-16,0,1,0,1
1549843200,3649.3475,3672.3025,3533.8025,3625.62,46,0,,1,1,1,0,3335.977085000002,0.18,0,0,0,0.18,1,-0.12,0.4800000000000001,0,0,0,0
1550448000,3625.6925,4189.02,3616.5225,3732.395,47,0,,1,1,1,0,3353.540560000002,0.1085835726085932,0,0,0,0.1085835726085932,1,-0.07141642739140679,0.2885835726085933,0,0,0,0
1551052800,3733.3925,3901.195,3654.1475,3787.94,48,0,,1,1,1,0,3371.277410000002,0.04264652227311762,0,0,0,0.04264652227311762,1,-0.06593705033547559,0.2226465222731177,0,0,0,0
1551657600,3787.995,3948.115,3672.0725,3898.95562045,49,0,,1,1,1,0,3389.568538102252,0.28251936428852004,0,0,0,0.28251936428852004,1,0.23987284201540243,0.58251936428852,0,0,0,0
1552262400,3899.7175,4039.2475,3780.2225,3965.74,50,0,,1,1,1,0,3408.216488102252,0.3,0,0,0,0.3,1,0.017480635711479953,0,0,0,0,0
1552867200,3965.7975,4058.8625,3905.785,3970.085,51,0,,1,1,1,0,3426.862113102252,0.18,0,0,0,0.18,1,-0.12,0,0,0,0,0
1553472000,3969.7925,4130.43,3855.625,4095.32,52,0,,1,1,1,0,3446.1952131022517,0.14926517108954138,0,0,0,0.14926517108954138,1,-0.030734828910458617,0.04068159848094817,0,0,0,0
1554076800,4094.2825,5348.0025,4052.07,5193.965,53,0,,1,1,1,0,3471.04873810225,0.3,0,0,0,0.3,1,0.1507348289104586,0.25735347772688233,0,0,0,0
1554681600,5194.5225,5472.3,4909.4075,5161.725,54,0,,1,1,1,0,3495.68966310225,0.18,0,0,0,0.18,1,-0.12,-0.10251936428852007,0,0,0,0
1555286400,5161.635,5360.6425,4946.7275,5296.6375,55,0,,1,1,1,0,3520.95160060225,0.3,0,0,0,0.3,1,0.12,-2.7755575615628914e-17,0,0,0,0
1555891200,5296.14,5641.495,4821.9125,5157.275,56,0,,1,1,1,0,3545.4944256022495,0.021783061241370295,0,0,0,0.021783061241370295,1,-0.2782169387586297,-0.15821693875862972,0,0,0,0
1556496000,5155.0925,5842.5525,5070.6625,5714.345,57,0,,1,1,1,0,3572.7063506022496,0.3,0,0,0,0.3,1,0.2782169387586297,0.15073482891045858,0,0,0,0
1557100800,5716.1625,7583.4125,5565.1925,6976.065,58,0,,1,1,0,0,3606.03097560225,0.3,0,0,0,0.3,1,0,-2.7755575615628914e-17,0,0,0,0
1557705600,6970.955,8382.2375,6511.1025,8196.835,59,0,,1,1,0,0,3645.6399506022503,0.18,0,0,0,0.18,1,-0.12,-2.7755575615628914e-17,0,0,0,0
1558310400,8195.7525,8792.645,7469.0775,8737.8225,60,0,,1,1,0,0,3687.8640131022503,0.3,0,0,0,0.3,1,0.12,-2.7755575615628914e-17,0,0,0,0
1558915200,8737.1525,9093.925,7990.2,8739.8225,61,0,,1,1,0,0,3730.15092560225,0.18,0,0,0,0.18,1,-0.12,0.1582169387586297,0,0,0,0
1559520000,8737.2425,8745.0475,7431.4175,7638.2825,62,0,,1,1,0,0,3767.01443810225,-0.3,0,0,0,-0.3,1,-0.48,-0.6,0,1,0,0
1560124800,7630.8825,9389.2075,7522.6825,8978.795,63,0,,1,1,0,0,3810.60891310225,0.3,0,0,0,0.3,1,0.6,0,0,1,0,0
1560729600,8975.545,11254.715,8927.7925,10830.4725,64,0,,1,1,0,0,3863.61862560225,0.18,0,0,0,0.18,1,-0.12,0,0,0,0,0
1561334400,10826.6,13870.6275,10299.75,10754.915,65,0,,1,1,0,0,3916.2432506022496,0.18,0,0,0,0.18,1,0,-0.12,0,0,0,0
1561939200,10756.975,12060.64,9646.02,11475.0375,66,0,,1,1,0,0,3972.41358810225,0.18,0,0,0,0.18,1,0,-5.551115123125783e-17,0,0,0,0
1562544000,11478.405,13196.8325,10136.125,10299.7,67,0,,1,1,0,0,4022.7572881022497,-0.2698037832038627,0,0,0,-0.2698037832038627,1,-0.4498037832038627,0.03019621679613721,0,1,0,0
1563148800,10296.7475,11141.285,9073.385,10594.06,68,0,,1,1,0,0,4074.56698810225,-0.3,0,0,0,-0.3,1,-0.030196216796137265,-0.6000000000000001,0,0,0,0
1563753600,10595.26,10690.0325,9112.6225,9530.3275,69,0,,1,1,0,0,4121.05177560225,-0.3,0,0,0,-0.3,1,0,-0.4800000000000001,0,0,0,0
1564358400,9536.545,11084.9425,9364.8125,10977.9675,70,0,,1,1,0,0,4174.74411310225,0.3,0,0,0,0.3,1,0.6,0.11999999999999988,0,1,0,0
1564963200,10980.5325,12326.6025,10979.3825,11530.865,71,0,,1,1,0,0,4231.15848810225,0.3,0,0,0,0.3,1,0,0.11999999999999988,0,0,0,0
1565568000,11536.2775,11552.0775,9476.2725,10319.71,72,0,,1,1,0,0,4281.43198810225,-0.3,0,0,0,-0.3,1,-0.6,-0.030196216796137376,0,1,0,0
1566172800,10319.355,10954.37,9756.5875,10136.39,73,0,,1,1,0,0,4330.68998810225,-0.3,0,0,0,-0.3,1,0,0,0,0,0,0
1566777600,10143.4875,10671.6025,9309.9575,9768.0175,74,0,,1,1,0,0,4377.87892560225,-0.18,0,0,0,-0.18,1,0.12,0.12,0,1,0,0
1567382400,9768.075,10951.85,9753.375,10403.6725,75,0,,1,1,0,0,4428.02678810225,0.28737190252881645,0,0,0,0.28737190252881645,1,0.46737190252881644,-0.012628097471183541,0,0,0,0
1567987200,10396.9375,10537.5575,9865.0025,10309.045,76,0,,1,1,0,0,4477.96941310225,0.02575321432988014,0,0,0,0.02575321432988014,1,-0.2616186881989363,-0.27424678567011984,0,0,0,0
1568592000,10311.38,10379.8825,9603.04,10026.9475,77,0,,1,1,0,0,4526.48085060225,-0.2792704336907022,0,0,0,-0.2792704336907022,1,-0.30502364802058235,0.020729566309297787,0,1,0,0
1569196800,10027.4225,10048.11,7723.61,8052.3225,78,0,,1,1,0,0,4564.873013102249,-0.3,0,0,0,-0.3,1,-0.020729566309297787,0,0,0,0,0
1569801600,8058.2875,8534.375,7694.05,7859.23,79,0,,1,1,0,0,4602.21616310225,-0.18,0,0,0,-0.18,1,0.12,0,0,1,0,1
1570406400,7862.8675,8847.7775,7767.4025,8280.48,80,0,,1,1,0,0,4641.45176310225,-0.17215059749815734,0,0,0,-0.17215059749815734,1,0.007849402501842656,-0.4595225000269738,0,0,0,0
1571011200,8279.3375,8417.52,7815.45,8234.765,81,0,,1,2,0,0,4680.41248810225,-0.3,0,0,0,-0.3,1,-0.12784940250184265,-0.32575321432988014,0,1,0,0
1571616000,8235.9125,10520.2475,7291.8075,9549.05,82,0,,1,2,0,0,4726.04613810225,0.3,0,0,0,0.3,1,0.6,0.5792704336907022,0,1,0,0
1572220800,9559.325,9939.62,8955.9075,9205.705,83,0,,1,2,0,0,4769.93271310225,0.18,0,0,0,0.18,1,-0.12,0.48,0,0,0,0
1572825600,9206.825,9596.625,8666.5075,9033.985,84,0,,1,2,0,0,4812.85588810225,0.1191895439193705,0,0,0,0.1191895439193705,1,-0.06081045608062949,0.29918954391937047,0,0,0,0
1573430400,9035.32,9069.11,8366.9325,8500.63,85,0,,1,2,0,0,4853.44893810225,-0.3,0,0,0,-0.3,1,-0.41918954391937047,-0.12784940250184265,0,1,0,0
1574035200,8500.9325,8503.1525,6777.6175,6908.4475,86,0,,1,2,0,0,4885.97732560225,-0.3,0,0,0,-0.3,1,0,0,0,0,0,0
1574640000,6906.5825,7867.225,6522.48,7403.8775,87,0,,1,2,0,0,4921.16911310225,-0.18,0,0,0,-0.18,1,0.12,-0.48,0,1,0,1
1575244800,7407.6975,7792.265,7081.72,7523.3275,88,0,,1,2,0,0,4956.92570060225,-0.18,0,0,0,-0.18,1,0,-0.36,0,0,0,0
1575849600,7520.8875,7660.845,7008.8775,7114.98,89,0,,1,2,0,0,4990.45910060225,-0.3,0,0,0,-0.3,1,-0.12,-0.41918954391937047,0,1,0,0
1576454400,7114.755,7525.115,6430.145,7511.47,90,1,6430.145,1,2,0,1,5025.8140006022495,0.11420729540189092,0,0,0,0.11420729540189092,1,0.41420729540189094,0.41420729540189094,0,1,0,1
1577059200,7517.5525,7690.6175,7025.6275,7387.9625,91,0,,1,2,0,0,5060.581563102251,0.1435946718243637,0,0,0,0.1435946718243637,1,0.029387376422472772,0.44359467182436374,0,0,0,0
1577664000,7382.7925,7491.835,6857.05,7352.6925,92,0,,1,2,0,0,5095.32627560225,0.22051583270433178,0,0,0,0.22051583270433178,1,0.07692116087996809,0.4005158327043318,0,0,0,0
1578268800,7351.62,8465.065,7343.53,8178.0025,93,0,,1,2,0,0,5134.15693810225,0.3,0,0,0,0.3,1,0.0794841672956682,0.48,0,0,0,0
