time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI Oversold + Below MA,Regime Gate Passed,StochRSI %K
914250600,15.125,15.15625,14.82031,15.125,,,,0,0,
914855400,15.09375,15.41406,15.015625,15.117185,,,,0,0,
915460200,15.00781,15.367185,14.8125,15.242185,,,,0,0,
916065000,15.15625,15.15625,14.625,14.765625,,,,0,0,
916669800,15.21875,15.367185,14.984375,15.25,,,,0,0,
917274600,15.25,15.25,14.60156,14.742185,,,,0,0,
917879400,14.828125,14.828125,14.328125,14.38281,,,,0,0,
918484200,14.390625,14.578125,14.109375,14.171875,,,,0,0,
919089000,14.359375,14.78125,14.32031,14.429685,,,,0,0,
919693800,14.484375,14.898435,14.13281,14.335935,,,,0,0,
920298600,14.21875,14.40625,13.91406,14.38281,,,,0,0,
920903400,14.32031,14.460935,14.085935,14.398435,,,,0,0,
921508200,14.460935,14.5,14.10156,14.10156,,,,0,0,
922113000,14.10156,14.265625,13.578125,13.66406,,,,0,0,
922717800,13.69531,13.773435,13.34375,13.625,,,27.674385375829388,0,0,
923319000,13.66406,14.265625,13.59375,14.109375,,,37.3954622375729,0,0,18.701175973174802
923923800,14.125,14.335935,13.867185,14.171875,,,38.54328431095661,0,0,30.783166048198904
924528600,14.3125,14.765625,14.28906,14.671875,,,46.92667533424653,0,0,48.13390760431315
925133400,14.671875,14.91406,14.5,14.63281,,,46.39417929708062,0,0,58.06221929924092
925738200,14.679685,14.9375,14.53125,14.710935,,,47.6729990138573,0,0,73.01470775601014
926343000,14.710935,15,14.523435,14.679685,,,47.188074316343,0,0,78.02240098332346
926947800,14.773435,15.054685,14.63281,14.78906,,,49.13812943190029,0,0,83.63974881248556
927552600,14.960935,15.171875,14.765625,14.804685,,,49.425428184709894,0,0,81.68316091236827
928157400,14.75781,14.875,14.60156,14.875,,,50.77301661570437,0,0,82.71664669423143
928762200,14.96875,15.140625,14.859375,14.890625,,,51.084923189052375,0,0,82.76348717948717
929367000,15.078125,15.5,15.07031,15.296875,,,58.455375977590734,0,0,86.31859284033197
929971800,15.210935,15.28906,14.835935,14.835935,,,49.36633570192933,0,0,81.46595912300259
