time,open,high,low,close,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1750080600,6.397062463899662,6.397062463899662,6.187182429109982,6.214274075281082,6.113973511166662,6.519783856124222,6.519783856124222,6.242999427172958,6.318641967859779,5.725527722809051,6.069184363763737,6.069184363763737,6.303150461732598,6.225183451522,-10
1750095000,6.214943371628778,6.214943371628778,6.156626506024096,6.183656957928802,6.069847248721853,6.47309859598178,6.47309859598178,6.242999427172958,6.318641967859779,5.738184117803136,6.072184431414917,6.072184431414917,6.260131256130533,6.225183451522,-15
1750167000,6.252165944685105,6.31402283182825,6.208692710975816,6.286803320345587,6.069847248721853,6.47309859598178,6.47309859598178,6.242999427172958,6.318641967859779,5.7575631962418665,6.082275077075817,6.082275077075817,6.260131256130533,6.225183451522,-10
1750181400,6.285617482635948,6.305882352941176,6.246281975014872,6.305882352941176,6.038282470980975,6.439166308640579,6.439166308640579,6.242999427172958,6.318641967859779,5.779783998648339,6.094809743530606,6.094809743530606,6.260131256130533,6.225183451522,-15
1750253400,6.29026248941575,6.29026248941575,6.206354515050167,6.250211327134404,6.038282470980975,6.439166308640579,6.439166308640579,6.242999427172958,6.318641967859779,5.803500666418643,6.1064999213617455,6.1064999213617455,6.260131256130533,6.225183451522,-10
1750267800,6.250042265426881,6.2784810126582276,6.238743279569892,6.257884028484232,6.000342009204058,6.397294846726947,6.397294846726947,6.242999427172958,6.318641967859779,5.833555250179681,6.1217826167894955,6.1217826167894955,6.260131256130533,6.225183451522,-15
1750426200,6.178470724829989,6.295443080544812,6.130252804285954,6.288010945784164,6.000342009204058,6.397294846726947,6.397294846726947,6.242999427172958,6.318641967859779,5.86956364329488,6.141190929607776,6.141190929607776,6.260131256130533,6.225183451522,-10
1750440600,6.288622754491017,6.320401565424536,6.272789347900307,6.301873935264054,5.967345720436546,6.334397668263453,6.334397668263453,6.242999427172958,6.318641967859779,5.913142447889063,6.164556717728562,6.164556717728562,6.260131256130533,6.225183451522,-15
1750685400,6.307116756568645,6.3729047865906345,6.2639664804469275,6.339218050292801,5.967345720436546,6.334397668263453,6.334397668263453,6.242999427172958,6.318641967859779,5.9438509313576,6.184009003641307,6.4241670759250145,6.269178088599368,6.225183451522,10
1750699800,6.342921116086806,6.342921116086806,6.259246633713993,6.259246633713993,5.933170730800617,6.301394093314159,6.301394093314159,6.242999427172958,6.318641967859779,5.961550380743893,6.194210180179788,6.194210180179788,6.269178088599368,6.225183451522,-25
