time,open,high,low,close,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1749835800,377.74,383.55,374,383.15,372.28425489096213,416.58374117647077,460.8832274619794,380.7401248342051,335.02926136904335,354.099499413517,371.396682352941,371.396682352941,383.73347440516517,388.8471541441077,379.5710808368189,388.35510588235303,397.13913092788715,383.73347440516517,388.9081072410162,-10
1750080600,387.63,388.15,377.48,381.37,372.28425489096213,416.58374117647077,460.8832274619794,380.7401248342051,335.02926136904335,354.3971768757846,371.49423529411746,371.49423529411746,383.73347440516517,388.8471541441077,379.15283233243264,387.4454117647059,387.4454117647059,383.73347440516517,388.9081072410162,-10
1750095000,381.38,383.1,378.14,382.15,371.98952317347255,414.8216705882352,457.6538180029978,380.7401248342051,335.02926136904335,355.2098264673852,371.9284941176471,371.9284941176471,383.73347440516517,388.8471541441077,378.93753083374,387.03051764705856,387.03051764705856,383.73347440516517,388.9081072410162,-15
1750167000,375.255,378.48,367.12,371.11,371.98952317347255,414.8216705882352,457.6538180029978,380.7401248342051,335.02926136904335,354.73215047571694,371.3623999999997,371.3623999999997,379.9221504613723,388.8471541441077,376.39772115338155,384.44959999999975,384.44959999999975,379.9221504613723,388.9081072410162,-10
1750181400,371.04,376.63,367.5,375.2,371.11972502112735,412.72861176470616,412.72861176470616,380.7401248342051,335.02926136904335,354.42222709985066,370.98602352941214,370.98602352941214,379.9221504613723,388.8471541441077,374.8996927079145,382.33216470588224,382.33216470588224,379.9221504613723,388.9081072410162,-5
1750253400,371.44,374.77,367.77,369.7,371.11972502112735,412.72861176470616,412.72861176470616,380.7401248342051,335.02926136904335,354.43019500019767,370.69214117647044,370.69214117647044,379.9221504613723,388.8471541441077,372.6115751435404,379.8156470588234,379.8156470588234,379.9221504613723,388.9081072410162,-10
1750267800,369.69,372.15,367.43,369.09,369.80173698736763,408.9472941176471,408.9472941176471,380.7401248342051,335.02926136904335,355.01667204959284,370.69044705882357,370.69044705882357,378.22543032483094,388.8471541441077,369.83443337849087,377.2776705882352,377.2776705882352,378.22543032483094,388.9081072410162,-15
1750426200,372.5,376.1,366.16,367.66,369.80173698736763,408.9472941176471,408.9472941176471,380.7401248342051,335.02926136904335,354.9968124260776,370.37148235294103,370.37148235294103,378.22543032483094,388.8471541441077,367.2967206037532,374.9078588235291,374.9078588235291,378.22543032483094,388.9081072410162,-15
1750440600,367.57,371.45,365.11,369.92,369.38467304298393,403.7730117647061,403.7730117647061,380.7401248342051,335.02926136904335,355.6313915537803,370.4649176470588,370.4649176470588,376.444019833693,388.8471541441077,366.1082288207618,373.8322352941178,373.8322352941178,376.444019833693,388.9081072410162,-5
1750685400,362.47,370.3,358.8,368.055,369.38467304298393,403.7730117647061,403.7730117647061,380.1342946035827,335.02926136904335,355.4776497755118,370.1211411764708,370.1211411764708,375.66793789162665,388.8471541441077,364.69237807985587,372.59622352941153,372.59622352941153,375.66793789162665,388.9081072410162,-10
1750699800,368.27,370,365.96,367.23,367.7467014296958,400.4494588235293,400.4494588235293,379.4204164176125,335.02926136904335,354.74307278727855,369.4220235294116,369.4220235294116,375.221334202474,385.75541244240026,363.06330495507734,371.21707058823546,371.21707058823546,375.221334202474,385.70580989123346,-40
1750771800,373.665,384.22,371,380.39,367.7467014296958,400.4494588235293,400.4494588235293,379.4204164176125,335.02926136904335,355.8729941154709,370.1725294117644,384.4720647080579,375.221334202474,385.75541244240026,363.4581557187142,371.605258823529,379.7523619283439,375.221334202474,385.70580989123346,-10
1750786200,380.51,383.25,375.7,377.13,367.3657433375141,396.743694117647,396.743694117647,379.4204164176125,335.02926136904335,356.3917462434787,370.4833647058826,370.4833647058826,375.221334202474,385.75541244240026,363.300733101866,371.42662352941176,379.5525139569575,375.221334202474,385.70580989123346,-25
1750858200,384.915,388.6,379.37,384.81,367.3657433375141,396.743694117647,396.743694117647,379.4204164176125,335.02926136904335,358.42478465494753,371.89154117647064,385.35829769799375,375.221334202474,385.75541244240026,363.5997701417827,371.5630705882348,379.52637103468686,375.221334202474,385.70580989123346,-20
1750872600,384.71,389.49,382.73,388.52,367.3970844907487,394.8018117647056,422.20653903866247,379.4204164176125,335.02926136904335,361.0376394842028,373.74465882352916,386.4516781628555,379.6093887574295,385.75541244240026,364.6069314002088,372.74902352941143,380.89111565861407,379.6093887574295,385.70580989123346,-20
1750944600,386.19,392.68,384.39,386.22,367.3970844907487,394.8018117647056,422.20653903866247,379.4204164176125,335.02926136904335,363.8115744946333,375.5529294117642,387.29428432889506,379.6093887574295,385.75541244240026,365.12730606901863,373.2851411764704,381.4429762839222,379.6093887574295,385.70580989123346,-10
1750959000,386.17,388.44,384.15,386.49,367.14483687127944,392.9368941176473,418.72895136401513,379.4204164176125,335.02926136904335,367.0276905443118,377.5373411764702,388.0469918086286,379.93640468296917,385.75541244240026,366.71266406192154,374.83725882352917,382.9618535851368,379.93640468296917,385.70580989123346,-15
1751031000,385.225,397.98,383.4,394.18,367.14483687127944,392.9368941176473,418.72895136401513,379.4204164176125,335.02926136904335,369.1358239566983,379.47090588235255,389.8059878080068,385.8512366909275,385.75541244240026,369.91580792077633,378.0853529411764,386.25489796157643,385.8512366909275,385.70580989123346,10
1751045400,394.09,395.14,383.69,383.69,366.74297363954724,390.6675529411765,414.59213224280575,379.4204164176125,335.02926136904335,370.9223799768881,380.7319058823527,390.54143178781726,385.8512366909275,385.75541244240026,371.70232948370756,379.7441764705881,387.7860234574687,385.8512366909275,385.70580989123346,-15
1751290200,389.6,405.18,384.33,402.41,366.74297363954724,390.6675529411765,414.59213224280575,379.4204164176125,335.02926136904335,373.9817922716204,383.61631764705885,393.2508430224973,386.6184691568508,385.75541244240026,374.9768046109196,383.54827058823525,392.1197365655509,386.6184691568508,385.70580989123346,10
1751304600,402.47,407.37,399.53,404.33,367.748813787698,389.8437882352939,411.93876268288983,389.16106193024143,335.02926136904335,376.5452481781812,386.40618823529417,396.2671282924071,394.29214993136145,385.75541244240026,378.28270489705574,387.8870470588234,397.49138922059103,394.29214993136145,385.70580989123346,10
1751376600,395.7,397.81,376.81,380.3,367.748813787698,389.8437882352939,411.93876268288983,389.16106193024143,335.02926136904335,376.60600254834003,386.46765882352895,386.46765882352895,391.52142368833773,385.75541244240026,378.73975346809016,388.2976352941177,388.2976352941177,391.52142368833773,385.70580989123346,-10
1751391000,380.41,382.14,372.93,373.21,366.4891787871274,386.6221882352944,386.6221882352944,389.16106193024143,335.02926136904335,375.8163421129441,385.6137411764709,385.6137411764709,387.46857450678107,385.75541244240026,378.5603801775482,388.06448235294135,388.06448235294135,387.46857450678107,385.70580989123346,-15
1751463000,382.98,398.025,379.9,396.74,366.4891787871274,386.6221882352944,386.6221882352944,389.16106193024143,335.02926136904335,376.6438716882741,386.68629411764715,396.7287165470202,387.46857450678107,385.75541244240026,379.89769254157545,389.6942941176469,399.49089569371836,387.46857450678107,385.70580989123346,10
1751477400,396.79,405.26,394.41,402.28,367.4941160250208,385.54119999999995,403.5882839749791,389.16106193024143,335.02926136904335,377.6737604464143,388.14188235294137,398.61000425946844,391.06514872740075,385.75541244240026,382.1552776671265,392.8738,403.59232233287355,391.06514872740075,385.70580989123346,10
1751549400,400.61,414.66,400.28,403.92,368.1537446272338,385.4049176470587,402.65609066688364,389.16106193024143,335.02926136904335,378.61074410259175,389.32690588235255,400.04306766211334,392.3635210965853,385.75541244240026,384.87305998707603,396.5962235294118,408.3193870717476,392.3635210965853,385.70580989123346,10
1751895000,402.67,405.61,396.1,402.14,368.1537446272338,385.4049176470587,402.65609066688364,389.16106193024143,335.02926136904335,379.4501421890515,390.2871058823529,401.12406957565423,392.3635210965853,385.75541244240026,387.16769345958943,399.5100352941178,411.8523771286462,392.3635210965853,385.70580989123346,0
1751909400,402.11,403.2,395.33,395.75,368.25442324279777,384.58717647058836,400.91992969837895,389.16106193024143,335.02926136904335,380.0777870258354,391.00954117647035,401.9412953271053,392.3635210965853,385.75541244240026,388.9287350847656,401.5830235294119,414.2373119740582,392.3635210965853,385.70580989123346,10
1751981400,399.49,402.19,393.17,397.58,368.25442324279777,384.58717647058836,400.91992969837895,389.16106193024143,335.02926136904335,380.7219093148219,391.72915294117644,402.73639656753096,392.3635210965853,385.75541244240026,389.845028892414,402.39787058823543,414.95071228405686,392.3635210965853,385.70580989123346,10
1751995800,397.43,399.49,395.3,396.8,368.3895816116383,383.93494117647043,399.4803007413026,389.16106193024143,335.02926136904335,381.2143151714472,391.98121176470596,402.7481083579647,392.3635210965853,385.75541244240026,390.7651621000369,403.34619999999984,415.9272378999628,392.3635210965853,385.70580989123346,10
1752067800,401.71,406,396,401.97,368.3895816116383,383.93494117647043,399.4803007413026,389.16106193024143,335.02926136904335,381.9658995936329,392.83254117647095,403.699182759309,393.0587485530166,385.75541244240026,392.1494949242009,404.8132823529412,417.4770697816815,393.0587485530166,385.70580989123346,10
