time,open,high,low,close,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1747243800,413.35,418.59,413.18,416.67,387.6569421765076,432.15796470588225,476.6589872352569,410.69496963898246,388.8471541441077,404.4001197593319,420.1306588235296,435.86119788772726,410.69496963898246,388.9081072410162,55
1747315800,411.21,415.36,394.56,406.61,389.18442440850987,432.33932941176454,475.4942344150192,410.69496963898246,388.8471541441077,404.2816352999588,418.90138823529406,418.90138823529406,410.69496963898246,388.9081072410162,35
1747330200,406.27,407.77,394.14,397.06,390.0839555741083,432.48316470588236,474.8823738376564,409.57033125543774,388.8471541441077,402.895290515666,416.9819529411767,416.9819529411767,409.57033125543774,388.9081072410162,20
1747402200,399.01,406.85,389.09,406,391.3898977652459,432.14071764705864,472.89153752887137,409.57033125543774,388.8471541441077,402.61166767665713,416.2747058823528,429.9377440880485,409.57033125543774,388.9081072410162,20
1747416600,406.09,406.66,397.57,399.83,392.261683223778,431.01427058823515,469.7668579526923,409.57033125543774,388.8471541441077,401.5126116072379,414.590564705882,414.590564705882,409.57033125543774,388.9081072410162,5
1747661400,392.81,414.59,392.555,411.02,393.62354912474814,431.4236588235293,469.2237685223105,409.57033125543774,388.8471541441077,401.60925890943855,413.9851294117644,426.3609999140902,409.57033125543774,388.9081072410162,10
1747675800,410.93,414.11,408.58,413.4,395.0152246310145,431.8661294117644,468.7170341925143,409.57033125543774,388.8471541441077,402.5912626066004,415.03931764705914,427.48737268751785,409.57033125543774,388.9081072410162,15
1747747800,413.395,415.66,407.76,415.28,396.41123783468504,432.44575294117607,468.4802680476671,409.57033125543774,388.8471541441077,403.18315640793185,415.2028941176467,427.2226318273615,409.57033125543774,388.9081072410162,10
1747762200,415.46,417.85,406.1,417.45,397.8302602681372,433.14624705882335,468.4622338495095,409.57033125543774,388.8471541441077,404.0762314120931,416.1395764705884,428.2029215290837,409.57033125543774,388.9081072410162,15
1747834200,415.8,423.34,398.8,399.43,398.04998476176235,432.1891176470585,432.1891176470585,409.57033125543774,388.8471541441077,404.1312860862597,416.2974470588236,416.2974470588236,409.57033125543774,388.9081072410162,-10
1747848600,399.22,404.99,395.58,402.67,398.4127252500324,431.2526235294115,464.0925218087906,409.57033125543774,388.8471541441077,402.403652454767,413.48041176470616,413.48041176470616,409.57033125543774,388.9081072410162,-5
1747920600,413.2,426.32,403.91,405.8,398.8955774532602,430.6164352941178,462.3372931349754,409.57033125543774,388.8471541441077,401.6476578161982,412.1147882352944,412.1147882352944,409.57033125543774,388.9081072410162,-10
1747935000,405.92,407,398.92,399.51,398.93532410543685,429.0590705882354,429.0590705882354,409.57033125543774,388.8471541441077,400.088031318249,409.38252941176495,409.38252941176495,409.57033125543774,388.9081072410162,-5
1748007000,391.5,392.21,367.5,378.23,397.3491564933452,425.65937647058837,425.65937647058837,389.23440054439516,388.8471541441077,392.75588761944505,403.0041647058824,403.0041647058824,389.23440054439516,388.9081072410162,-10
1748021400,378.27,382.12,368.82,369.23,394.9342973008105,421.6058941176469,421.6058941176469,387.8033351632795,388.8471541441077,384.7425760904625,396.7135529411767,396.7135529411767,387.8033351632795,388.9081072410162,-10
1748352600,380.88,381.36,364.2,371.95,392.8393719635279,417.54921176470594,417.54921176470594,384.7782838907869,388.8471541441077,376.54989668996416,390.0798823529412,390.0798823529412,384.7782838907869,388.9081072410162,-10
1748367000,371.9,375.73,369.26,372.23,390.7925730388395,413.4962588235292,413.4962588235292,384.5663264160356,388.8471541441077,370.96773029529584,385.81428235294106,385.81428235294106,384.5663264160356,388.9081072410162,-5
