time,open,high,low,close,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1652103000,174.27,174.27,172.79,172.88,-25,1.0160766437058115,,173.32461717069,176.9228235294119,176.9228235294119,174.95002303033093,178.41834875258414,0,0,0,0,6.711062837764966,23.63268723145507,42.18346395995323,10742410,1.0010908873546722,-14931949.900000159,181.524,226.6840361638813,159.14350011154144,104.0737686209859,0.013608663150525002,0.5455348087582806,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.3941413636055668,0.6973740784188807,,
1652189400,173.8039,173.96,171.2,171.42,-25,1.0160766437058115,,172.32483675666447,176.13145882352939,176.13145882352939,173.73333618431596,178.41834875258414,0,0,0,0,,,,11010440,0.9922891542867508,-26247787.916000124,179.99099999999999,226.72335862629944,159.17592199472975,104.09182210602424,0.008688172090372204,0.576828080142532,-0.007885,-0.006307999999999999,-0.004730999999999999,-0.0031539999999999997,-0.0015769999999999998,-0.007885,0,1.2544458955349556,0.44719120699324494,,
1652275800,172.51,173.32,172.2,172.82,-35,1.0154737191666685,,171.64895169496296,175.59477647058822,175.59477647058822,173.73333618431596,178.41834875258414,0,0,0,0,,,,9179592,0.9999637898512276,2845673.520000021,181.461,226.76609199725348,159.2107404668537,104.11144158623259,0.007630331215152664,0.5417201639481831,-0.0033294999999999974,-0.0026635999999999977,-0.001997699999999998,-0.0013317999999999989,-0.0006658999999999994,-0.0033294999999999974,0,1.2829144175884815,0.496033464003145,,
1652362200,172.072,172.4,169.9,170.17,-30,1.0154737191666685,,170.60938868024695,174.7974352941176,174.7974352941176,171.72890266452123,178.41834875258414,0,0,0,0,,,,11626799,0.9844118202494428,-22114171.698000178,178.67849999999999,226.80213686030731,159.23931340195412,104.12799028018087,0.004012983122614333,0.5878861968618456,0.005,0.004,0.003,0.002,0.001,0,0.005,1.2032229420792688,0.3540214101590766,,
1652448600,168.312,169.62,168.01,168.79,-40,0.9918208975593487,,169.4876994157316,173.95823529411754,173.95823529411754,170.33920688930655,178.41834875258414,0,0,0,0,,,,13031057,0.9762756630850847,6228845.245999742,177.2295,226.83463496124503,159.26539718546653,104.14291060670607,-0.0021269894477866647,0.5633278921377592,-0.0016924999999999991,-0.0013539999999999993,-0.0010154999999999995,-0.0006769999999999997,-0.0003384999999999998,-0.0016924999999999991,0,1.2144942705573805,0.37268055730693683,,
1652707800,168.43,170.43,168.34,170.4,-30,0.9918208975593487,,168.76544883381456,173.38750588235297,173.38750588235297,170.33920688930655,178.41834875258414,0,0,0,0,5.308544782859911,10.886204299160106,46.581115599253295,7319277,0.9854025219320329,14418975.689999992,178.92000000000002,226.92671357460372,159.33948869923285,104.18518516853143,-0.006345171804419736,0.5838335140533916,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.3063036692324956,0.5321046906676835,,
1652794200,170.44,170.53,169.1409,169.33,-25,0.9949815247475889,,168.14541160501662,172.87414117647054,172.87414117647054,170.33920688930655,178.41834875258414,0,0,0,0,,,,6441110,0.9790417039689638,-7149632.099999905,177.7965,226.96037284070155,159.37256611337034,104.20063860200253,-0.0116463513245465,0.5725659174298965,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.2514263155563596,0.4361862758581097,,
1652880600,169.01,170.21,168.81,169.42,-25,0.9949815247475889,,168.02807998919084,172.6119529411764,172.6119529411764,170.33920688930655,178.41834875258414,0,0,0,0,,,,7472850,0.9794016870558716,3063868.4999999744,177.891,226.9941993911245,159.40529838138445,104.21616883801535,-0.014744808510089524,0.582755424488685,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.2727614609858482,0.4727524356844567,,
1652967000,171.5489,172.5197,170.89,171.91,-30,1.0097549588591759,,167.8010426719702,172.36748235294115,172.36748235294115,170.33920688930655,178.41834875258414,0,0,0,0,,,,10580267,0.9935089824288756,3820534.413699929,180.5055,227.03420962278997,159.44237652864058,104.23453808740446,-0.014570547346928864,0.5869232658671923,-0.0038885000000000005,-0.0031108000000000004,-0.0023331000000000003,-0.0015554000000000002,-0.0007777000000000001,-0.0038885000000000005,0,1.2056778714086644,0.35583735580176973,,
1653053400,171.71,172.24,170.89,172.03,-30,1.0097549588591759,,167.68006153858965,172.1882588235295,172.1882588235295,170.33920688930655,177.6796862593315,0,0,0,0,,,,6578056,0.993913435023337,2104977.919999955,180.63150000000002,227.07444644650118,159.47814117683055,104.25301136832812,-0.015434883750913286,0.5800036105319317,0.005,0.004,0.003,0.002,0.001,0,0.005,1.2699477727055932,0.4665083358914407,,
