time,open,high,low,close,STH MVRV,MVRV SMA,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Deep Acc Signal,Acc Signal,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled
1751909400,402.11,403.2,395.33,395.75,2.0361375880453876,,25,15,10,20,32.18467419753349,-60,-80,40,60,80,,,,,,,32.18467419753349,,389.16106193024143,335.02926136904335,0,0,0,0,0
1751981400,399.49,402.19,393.17,397.58,2.0361375880453876,,10,10,10,20,32.18467419753349,-60,-80,40,60,80,,,,,,,32.18467419753349,,389.16106193024143,335.02926136904335,0,0,0,0,0
1751995800,397.43,399.49,395.3,396.8,2.0361375880453876,,10,10,10,10,32.18467419753349,-60,-80,40,60,80,,,,,,,32.18467419753349,,389.16106193024143,335.02926136904335,0,0,0,0,0
1752067800,401.71,406,396,401.97,2.0361375880453876,,10,10,10,25,32.18467419753349,-60,-80,40,60,80,,,,,,,32.18467419753349,,389.16106193024143,335.02926136904335,0,0,0,0,0
1752082200,401.71,416.35,401.3,415.54,2.0361375880453876,,15,10,15,40,32.228160136900534,-60,-80,40,60,80,,,,,,,32.228160136900534,,389.9380785780324,335.02926136904335,0,0,0,0,0
1752154200,412.5,419.5,411.26,419.47,2.0361375880453876,,10,10,10,35,32.79805407386996,-60,-80,40,60,80,,,,,,,32.79805407386996,,400.12107296531576,335.02926136904335,0,0,0,0,0
1752168600,419.34,422.4,416.88,421.74,2.1427924148602835,,20,40,60,85,37.00202197665352,-60,-80,40,60,80,,,,,,,37.00202197665352,,406.1424248963647,335.02926136904335,0,0,0,0,0
1752240600,430.74,438.85,423.41,431.76,2.1427924148602835,,15,25,25,65,37.342001242660004,-60,-80,40,60,80,,,,,,,37.342001242660004,,412.2172516894815,335.02926136904335,0,0,0,0,0
1752255000,431.77,435,425.92,434.58,2.1427924148602835,,45,80,45,85,41.68696101142103,-60,-80,40,60,80,,,,,,,41.68696101142103,,414.8781622830899,347.4632901276991,0,0,0,0,0
1752499800,447.07,456.44,440.65,448.7,2.1427924148602835,,25,50,25,65,42.4401309065868,-60,-80,40,60,80,,,,,,,42.4401309065868,,428.83543640572634,347.4632901276991,0,0,0,0,0
1752514200,448.82,451.98,445,451.24,2.1427924148602835,,30,65,45,75,49.69773358186396,-60,-80,40,60,80,,,,,,,49.69773358186396,,433.5307623767459,347.4632901276991,0,0,0,0,0
1752586200,445.05,456.66,441.04,448.13,2.1427924148602835,,25,50,25,40,49.69773358186396,-60,-80,40,60,80,,,,,,,49.69773358186396,,433.5307623767459,347.4632901276991,0,0,0,0,0
1752600600,448.15,451.3,441.25,441.91,2.217717795114992,,45,70,75,60,49.89233758250347,-60,-80,40,60,80,,,,,,,49.89233758250347,,433.5307623767459,347.4632901276991,0,0,0,0,0
1752672600,448.48,455.04,445.6,453.5,2.217717795114992,,25,25,40,65,49.90959837605786,-60,-80,40,60,80,,,,,,,49.90959837605786,,433.85062862307245,347.4632901276991,0,0,0,0,0
1752687000,453.59,457.22,450.45,455.86,2.217717795114992,,30,40,60,75,52.126014579520444,-60,-80,40,60,80,,,,,,,52.126014579520444,,439.05629800713865,347.4632901276991,0,0,0,0,0
1752759000,451.57,456.03,446.6,450.53,2.217717795114992,,25,25,40,50,52.126014579520444,-60,-80,40,60,80,,,,,,,52.126014579520444,,439.05629800713865,347.4632901276991,0,0,0,0,0
1752773400,450.68,455.38,448.82,451.47,2.217717795114992,,45,40,60,70,50.43281687048245,-60,-80,40,60,80,,,,,,,50.43281687048245,,439.05629800713865,347.4632901276991,0,0,0,0,0
1752845400,451.88,454.34,426.41,428.54,2.217717795114992,,10,10,10,10,50.43281687048245,-60,-80,40,60,80,,,,,,,50.43281687048245,,439.05629800713865,347.4632901276991,0,0,0,0,0
1752859800,428.52,429.77,422.31,423.12,2.0956686837807736,,55,55,25,25,29.93583016656958,-60,-80,40,60,80,,,,,,,29.93583016656958,,439.05629800713865,377.2409122614349,0,0,0,0,0
1753104600,430,437,425.55,431.2,2.0956686837807736,,35,35,10,0,29.93583016656958,-60,-80,40,60,80,,,,,,,29.93583016656958,,439.05629800713865,377.2409122614349,0,0,0,0,0
1753119000,431.37,433.86,425.02,425.96,2.0956686837807736,,40,35,15,5,25.733291576998855,-60,-80,40,60,80,,,,,,,25.733291576998855,,439.05629800713865,377.2409122614349,0,0,0,0,0
1753191000,428.845,433.9,413.6,422.46,2.0956686837807736,,35,35,10,-15,25.733291576998855,-60,-80,40,60,80,,,,,,,25.733291576998855,,439.05629800713865,377.2409122614349,0,0,0,0,0
1753205400,422.4,430.2,422.21,426.23,2.0956686837807736,,40,35,15,5,25.61652917661515,-60,-80,40,60,80,,,,,,,25.61652917661515,,439.05629800713865,377.2409122614349,0,0,0,0,0
1753277400,422.83,423.97,406.1,409.82,2.0956686837807736,,-10,10,-10,-55,15.493282842571066,-60,-80,40,60,80,,,,,,,,,436.5766415011297,377.2409122614349,0,0,0,0,0
1753291800,409.765,413.21,407.58,412.8,2.019008630158427,,-5,15,-5,-30,13.77240708945207,-60,-80,40,60,80,,,,,,,,,425.31830996533466,377.2409122614349,0,0,0,0,0
1753363800,414.39,415.4,406.15,413.63,2.019008630158427,,-10,10,-10,-20,13.77240708945207,-60,-80,40,60,80,,,,,,,,,425.31830996533466,377.2409122614349,0,0,0,0,0
1753378200,413.68,419.95,413.39,414.87,2.019008630158427,,-5,10,-5,-15,13.396212421177761,-60,-80,40,60,80,,,,,,,,,425.31830996533466,377.2409122614349,0,0,0,0,0
1753450200,405.7,408.02,402.22,406.23,2.019008630158427,,-10,10,-10,-35,13.113136604383534,-60,-80,40,60,80,,,,,,,,,419.6229617324491,377.2409122614349,0,0,0,0,0
1753464600,406.12,410.9,405.31,405.74,2.019008630158427,,-10,-15,-35,-60,21.395706617014067,-60,-80,40,60,80,,,,,,,,,419.6229617324491,377.2409122614349,0,0,0,0,0
1753709400,416.7,417.06,404.57,406.21,2.019008630158427,,-10,0,-20,-45,21.395706617014067,-60,-80,40,60,80,,,,,,,,,419.6229617324491,377.2409122614349,0,0,0,0,0
1753723800,406.14,407.42,403.47,403.75,1.9527773210009896,,-5,5,-15,-55,21.32323281451337,-60,-80,40,60,80,,,,,,,,,418.16482395269344,377.2409122614349,0,0,0,0,0
1753795800,405.93,407.09,390.49,395.75,1.9527773210009896,,-10,-20,-20,-60,21.32323281451337,-60,-80,40,60,80,,,,,,,,,418.16482395269344,377.2409122614349,0,0,0,0,0
1753810200,395.72,400.8,393.32,394.65,1.9527773210009896,,-15,-35,-40,-80,19.468810080683564,-60,-80,40,60,80,,,,,,,,,411.6999757551285,377.2409122614349,0,0,0,0,0
1753882200,396.38,403.77,394.38,402.39,1.9527773210009896,,0,0,-10,-35,19.468810080683564,-60,-80,40,60,80,,,,,,,,,411.6999757551285,377.2409122614349,0,0,0,0,0
1753896600,402.49,404.36,392.58,395.07,1.9527773210009896,,-15,-35,-40,-80,18.3023216969752,-60,-80,40,60,80,,,,,,,,,411.6999757551285,377.2409122614349,0,0,0,0,0
1753968600,398.84,410.53,397.03,406.52,1.9527773210009896,,0,0,-10,-35,18.3023216969752,-60,-80,40,60,80,,,,,,,,,411.6999757551285,377.2409122614349,0,0,0,0,0
1753983000,406.31,410.8,401.65,401.72,1.9212702777776456,,-5,-15,-15,-30,18.3023216969752,-60,-80,40,60,80,,,,,,,,,411.6999757551285,377.2409122614349,0,0,0,0,0
1754055000,390.39,392.58,373.59,374.72,1.9212702777776456,,-10,-20,-20,-60,17.961639267732597,-60,-80,40,60,80,,,,,,,,,404.8456104005194,377.2409122614349,0,0,0,0,0
1754069400,374.64,376.24,365.73,366.59,1.9212702777776456,,-15,-35,-40,-80,13.844750322432745,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754314200,372.77,387.72,366.21,385.86,1.9212702777776456,,-15,-20,-25,-50,13.844750322432745,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754328600,385.67,390.01,384.18,389.19,1.9212702777776456,,-35,-35,-45,-70,13.03686162295877,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754400600,384.05,388.31,375.1,377.49,1.9212702777776456,,-15,-20,-25,-50,13.03686162295877,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754415000,377.23,378.79,373.35,375.39,1.7762843424788342,,-20,-35,-45,-60,13.251275026303535,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754487000,374.75,380.74,373.03,380.24,1.7762843424788342,,-15,-20,-25,-40,13.251275026303535,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754501400,380.28,384.42,379.5,383.38,1.7762843424788342,,-45,-35,-45,-60,12.298102243652751,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
1754573400,387.93,406.25,387.14,400.51,1.7762843424788342,,-10,-20,-10,-10,12.298102243652751,-60,-80,40,60,80,,,,,,,,,388.38020965762513,377.2409122614349,0,0,0,0,0
