time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1754933400,56.93,57.04,56.56,56.69,1,23.85454438864133,14.793065890141488,0,0,0,0,0,0,6.5,0.9714121110118422,-0.1636516107406658,0.5555456412522375,0.7191972519929033,0.12262256354245121,54.414898768112025,,21987,3060535,56.099369326875355,23.85454438864133,-40,-60,10,30,50,,,,,,,,,,,56.25089175545723,52.716658987263,0,0,0,0,0,0,0,0,0,0,56.25089175545723,52.716658987263,-5,-5,10,-0.5405973943116182,,,,,0,0,0,50.25881390680153,58.035952941176475,65.81309197555143,55.06148485154478,47.965863116017275,0,0,0,0,55.761721756470045,58.18421176470589,60.60670177294174,56.69626935110799,54.81578330782787,0,0,0,0,53.952296373697855,57.555647058823524,61.15899774394919,56.25089175545723,52.716658987263,0,0,0,0,1.448284634814805,,,,,0.4693540495231175
1755005400,56.83,58.41,56.65,58.38,1,23.85454438864133,14.793065890141488,0,0,0,0,0,0,6,1.0277398173681391,-0.05586628269152316,0.6493643986284994,0.7052306813200225,0.1903698971079276,54.416504660002445,,36283,3096818,67.19087162666165,23.85454438864133,-40,-60,10,30,50,,,,,,,,,,,56.25089175545723,52.716658987263,0,0,0,0,0,0,0,0,0,0,56.25089175545723,52.716658987263,10,10,10,-0.5543493231258958,,,,,0,0,0,50.25881390680153,58.035952941176475,65.81309197555143,55.06148485154478,47.965863116017275,0,0,0,0,55.937896717617015,58.401058823529425,60.864220929441835,57.36396910183667,54.81578330782787,0,0,0,0,53.952296373697855,57.555647058823524,61.15899774394919,56.25089175545723,52.716658987263,0,0,0,0,1.448284634814805,,,,70.87012169908131,0.5233940562966954
1755019800,58.39,58.71,58.29,58.42,1,24.521948069423047,15.026862147759534,0,0,0,0,0,0,5,0.9843298304132722,0.010743328682015663,0.7186598421725421,0.7079165134905264,0.19786671867029995,55.5718541940022,,15483,3112301,67.4008064292708,24.521948069423047,-40,-60,10,30,50,,,,,,,,,,,57.305670169586726,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.305670169586726,52.716658987263,15,30,25,-0.5640989943262242,,,,,0,0,0,50.791445270108106,58.632800000000046,66.47415472989198,55.173627244444226,47.965863116017275,0,0,0,0,56.10951587948219,58.60929411764705,61.10907235581192,57.77372846025713,55.026803089310334,0,0,0,0,54.21606495759072,57.84642352941178,61.47678210123284,57.305670169586726,52.716658987263,0,0,0,0,1.4892668710445678,,,,,0.47730580083780805
1755091800,58.5,59.26,57.78,58.595,1,24.521948069423047,15.026862147759534,0,0,0,0,0,0,5,1.0197348425266097,0.056643911050279216,0.7787214023033755,0.7220774912530963,0.18157397193992586,55.5718541940022,,16332,3128633,68.35483174281619,24.521948069423047,-40,-60,10,30,50,,,,,,,,,,,57.305670169586726,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.305670169586726,52.716658987263,10,10,10,-0.628940969084877,,,,,0,0,0,50.791445270108106,58.632800000000046,66.47415472989198,55.173627244444226,47.965863116017275,0,0,0,0,56.26003677343439,58.76342352941181,61.26681028538923,57.77372846025713,55.026803089310334,0,0,0,0,54.21606495759072,57.84642352941178,61.47678210123284,57.305670169586726,52.716658987263,0,0,0,0,1.4892668710445678,,,,72.22054345853039,0.5210365519835687
1755106200,58.61,58.94,58.41,58.85,1,27.508605727774217,17.38216410152313,0,0,0,0,0,0,5,0.9847537823461376,0.09213460103798021,0.8372457425505715,0.7451111415125913,0.1627820625375522,55.74460189714178,,19944,3148577,69.74429520421438,27.508605727774217,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,15,30,30,-0.6427168652572054,,,,,0,0,0,50.791445270108106,58.632800000000046,66.47415472989198,56.303368155555354,47.965863116017275,0,0,0,0,56.42307434011857,58.948470588235345,61.47386683635212,58.078194985251045,56.20381715435959,0,0,0,0,54.49579612485116,58.18235294117649,61.86890975750182,57.42524621765386,52.716658987263,0,0,0,0,1.4892668710445678,,,,,0.4812007109892332
1755178200,58.35,58.915,56.69,57.02,1,27.508605727774217,17.38216410152313,0,0,0,0,0,0,7,1.0733427978928423,-0.014029730912576865,0.7275739778718702,0.741603708784447,0.20257784807170884,55.74460189714178,,14310,3134267,52.07362184334921,27.508605727774217,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,-10,-10,10,-0.7610563972049234,,,,,0,0,0,50.791445270108106,58.632800000000046,66.47415472989198,56.303368155555354,47.965863116017275,0,0,0,0,56.469732468309026,58.95721176470589,61.44469106110275,57.85885228312538,56.20381715435959,0,0,0,0,54.49579612485116,58.18235294117649,61.86890975750182,57.42524621765386,52.716658987263,0,0,0,0,1.4892668710445678,,,,58.01458447899876,0.5234657042918555
1755192600,57.04,57.35,56.74,56.79,1,27.508605727774217,17.38216410152313,0,0,0,0,0,0,7,1.040246883757639,-0.10127513788819542,0.6150097864242028,0.7162849243123982,0.1344507081288928,55.74460189714178,,20393,3113874,50.34706839801308,27.508605727774217,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,10,-5,10,-0.24015334298043067,,,,,0,1,0,51.22997257322183,59.088000000000015,66.9460274267782,56.303368155555354,47.965863116017275,0,0,0,0,56.49083184465489,58.91592941176475,61.34102697887461,57.67564304004178,56.20381715435959,0,0,0,0,54.66288691058798,58.33150588235298,62.00012485411798,57.42524621765386,52.716658987263,0,0,0,0,1.441437752635272,,,,,0.4686582210186979
1755264600,56.58,56.91,56.25,56.68,1,27.508605727774217,17.38216410152313,0,0,0,0,0,0,8,1.0130863920606645,-0.16420003462691934,0.511034881028749,0.6752349156556684,0.1294644791294892,55.74460189714178,,10892,3102982,49.50172702486828,27.508605727774217,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,-10,-10,10,-0.4251927749967741,,,,,0,0,0,51.22997257322183,59.088000000000015,66.9460274267782,56.303368155555354,47.965863116017275,0,0,0,0,56.49793197456057,58.84095294117653,58.84095294117653,57.49522282534215,56.20381715435959,0,0,0,0,54.66288691058798,58.33150588235298,62.00012485411798,57.42524621765386,52.716658987263,0,0,0,0,1.441437752635272,,,,58.73593801610521,0.4878682169698677
1755279000,56.72,56.98,56.54,56.95,1,18.526944285249762,10.357613386351986,0,0,0,0,0,0,7,0.972151649770617,-0.1839577223063572,0.44528776277272186,0.6292454850790791,0.1449640722542339,55.74460189714178,,22155,3125137,51.64773117246055,18.526944285249762,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,35,-5,10,-0.9056182363478174,,,,,0,0,0,51.22997257322183,59.088000000000015,66.9460274267782,56.303368155555354,51.01901575058748,0,0,0,0,56.5192589365729,58.76216470588247,61.005070475192035,57.49522282534215,56.20381715435959,0,0,0,0,54.826789710559474,58.47110588235291,62.11542205414634,57.42524621765386,52.716658987263,0,0,0,0,1.441437752635272,,,,,0.49499054587473734
1755523800,56.85,57.71,56.85,57.57,1,18.526944285249762,10.357613386351986,0,0,0,0,0,0,6,0.9641408176441443,-0.15286784980291723,0.4381606728254326,0.5910285226283498,0.03458128801033399,55.74460189714178,,16879,3142016,56.245904620067265,18.526944285249762,-40,-60,10,30,50,,,,,,,,,,,57.42524621765386,52.716658987263,0,0,0,0,0,0,0,0,0,0,57.42524621765386,52.716658987263,15,-10,10,-1.3385752811051725,,,,,1,0,0,51.22997257322183,59.088000000000015,66.9460274267782,56.303368155555354,51.01901575058748,0,0,0,0,56.575741186264814,58.72187058823531,60.86799999020581,57.49522282534215,56.20381715435959,0,0,0,0,54.826789710559474,58.47110588235291,62.11542205414634,57.42524621765386,52.716658987263,0,0,0,0,1.441437752635272,,85.12648787370844,80.74421257981543,62.26774294037917,0.5049625840362673
