time,open,high,low,close,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,SRI Bias Histogram,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1721606400,0.8598,0.903,0.8264,0.8313,0.8214369273197754,,0.5879012739683438,0.7112555294117648,0.8346097848551859,0.839522297165509,1.084380371102407,0,0,0,0,-15,41.0190250582526,27.05175177131214,40.43966580057954,6082638.6,0.6776236905212671,-173355.2000999998,0.8728650000000001,2.9757036084511315,1.3307822737707964,0.6129781019158856,-0.3214046645523031,0.36329422611943263,-0.00007049999999999873,-0.000056399999999998986,-0.00004229999999999924,-0.000028199999999999493,-0.000014099999999999746,-0.00007049999999999873,0,2.170059809500203,2.2276571345615976,,
1721692800,0.8312,0.8603,0.8002,0.8149,0.8214369273197754,,0.5927291961820595,0.7138677647058813,0.7138677647058813,0.839522297165509,1.084380371102407,0,0,0,0,-15,,,,4600567.8,0.6676238922663994,-74989.25514000042,0.855645,2.968967925294785,1.3277244220235054,0.6115905893072514,-0.32403519422858995,0.3112134585021385,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.1100352308799257,2.117634705909175,,
1721779200,0.8135,0.8258,0.7645,0.7707,0.7600219369541611,,0.5954486540967345,0.7141799999999991,0.7141799999999991,0.8252919732768104,1.084380371102407,0,0,0,0,-15,,,,4412928.1,0.6345905601742411,-188873.32267999975,0.809235,2.960688602005214,1.3239764852873186,0.6098850955676276,-0.3287301401346213,0.3140202275725686,0.004524500000000002,0.0036196000000000015,0.0027147000000000013,0.0018098000000000007,0.0009049000000000004,0,0.004524500000000002,2.0916195331847587,2.0815713503933244,,
1721865600,0.7704,0.7713,0.7101,0.7499,0.7600219369541611,,0.6011599954834076,0.7155327058823521,0.7155327058823521,0.7707892264641719,1.084380371102407,0,0,0,0,-15,,,,7119512.00000001,0.620576633949241,-145949.99599999996,0.7873950000000001,2.9517095219828557,1.319422716645974,0.608035455901424,-0.3326561705312763,0.31318211653455597,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.101207848001507,2.100133102341757,,
1721952000,0.7494,0.7937,0.7467,0.7873,0.7746797177084795,,0.6125595506586824,0.7209828235294116,0.7209828235294116,0.7707892264641719,1.084380371102407,0,0,0,0,-15,,,,3336940,0.6547790556981925,126470.02600000014,0.826665,2.9442139530237914,1.315535306181841,0.6064914111181139,-0.3373091147767475,0.3190499702840206,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.167524222505034,2.227252105501604,,
1722038400,0.7877,0.7991,0.7633,0.7844,0.7746797177084795,,0.6223159841551886,0.7256823529411761,0.7256823529411761,0.7707892264641719,1.084380371102407,0,0,0,0,-15,,,,2362726.4,0.6552392408446939,-7796.997119999928,0.82362,2.9366877916951974,1.3111577130942533,0.6049410644798223,-0.34179830860844673,0.3177350656044304,-0.005797499999999999,-0.004637999999999999,-0.003478499999999999,-0.0023189999999999994,-0.0011594999999999997,-0.005797499999999999,0,2.171746529380526,2.234553122569865,,
1722124800,0.7843,0.7843,0.7435,0.7496,0.7361661550353709,,0.6323441398983088,0.7292891764705883,0.7292891764705883,0.7707892264641719,1.084380371102407,0,0,0,0,-20,,,,1435733.4,0.62918734390535,-49819.94897999993,0.7870800000000001,2.9279535093231317,1.3062471252280177,0.6031418517441113,-0.3514827975200877,0.33148220812160795,-0.005531500000000001,-0.004425200000000001,-0.0033189000000000005,-0.0022126000000000003,-0.0011063000000000002,-0.005531500000000001,0,2.1746128456106892,2.238238151489356,,
1722211200,0.75,0.7848,0.7361,0.74,0.7361661550353709,,0.642274906578915,0.732575529411764,0.732575529411764,0.7695468958853259,1.084380371102407,0,0,0,0,-15,32.265541736099415,33.74536264546379,36.222276486751134,3526736,0.624189152713563,-35267.36000000003,0.777,2.918948119684381,1.3019639277838877,0.601286792445834,-0.35911630292118824,0.33003024381552165,-0.005138499999999998,-0.004110799999999999,-0.003083099999999999,-0.0020553999999999993,-0.0010276999999999997,-0.005138499999999998,0,2.1284209726994328,2.15014539128555,,
1722297600,0.7401,0.7508,0.6894,0.7084,0.6945348440772375,,0.6451466177170648,0.7318437647058826,0.7318437647058826,0.7290794978045598,1.084380371102407,0,0,0,0,-15,,,,4319267.5,0.6006848119775902,-136920.77974999978,0.74382,2.9088175756710695,1.2971806632759464,0.5991999577143713,-0.3686790286767324,0.32091816765348047,0.0006924999999999992,0.0005539999999999994,0.00041549999999999953,0.0002769999999999997,0.00013849999999999984,0,0.0006924999999999992,2.107700947626629,2.1102341181452298,,
1722384000,0.709,0.7262,0.693,0.7074,0.6945348440772375,,0.6457379692050367,0.7301592941176474,0.7301592941176474,0.7290794978045598,1.084380371102407,0,0,0,0,-30,,,,3880014.4,0.6028316544484311,-6208.023039999747,0.74277,2.8987595576765797,1.2916757898446156,0.5971280629323142,-0.37321601520899095,0.2882348536737305,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0595408018454977,2.0173202096723704,,
