time,open,high,low,close,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim
1753795800,1.039008719596145,1.068814055636896,1.039008719596145,1.052655635798519,1.0420755599673426,1.106236685472079,1.106236685472079,1.0279967406158306,1.067977255741368,0,0,0,0,-15.3330249133739,-40,-60,10,30,50,,,,,,,,,,
1753810200,1.0558551970015542,1.0652462164510081,1.0509728692792546,1.0509728692792546,1.0390782771415612,1.101507765319831,1.101507765319831,1.0279967406158306,1.067977255741368,0,0,0,0,-15.3330249133739,-40,-60,10,30,50,,,,,,,,,,
1753882200,1.0572921441012009,1.0825402635431918,1.0572921441012009,1.0807891243649015,1.0382542947210267,1.098940962281655,1.1596276298422834,1.0536186450281892,1.067977255741368,0,0,0,0,-15.3330249133739,-40,-60,10,30,50,,,,,,,,,,
1753896600,1.0824789454412305,1.0824789454412305,1.072134749176126,1.0784673205610047,1.0371335028387276,1.0959985964169767,1.1548636899952258,1.058407204666373,1.067977255741368,0,0,0,0,-15.150573692291271,-40,-60,10,30,50,,,,,,,,,,
1753968600,1.0838969109851946,1.1119839240043843,1.0838969109851946,1.1068538246993735,1.0378428974739409,1.0948572200408728,1.1518715426078048,1.0762639674447667,1.067977255741368,0,0,0,0,0.043258803494984635,-40,-60,10,30,50,,,,,,,,,,
1753983000,1.1068946598390637,1.1106636155606409,1.095659348214695,1.1094716583421163,1.0385877653608084,1.0938233262187849,1.1490588870767613,1.09251955567697,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754055000,1.075445816186557,1.0936928702010968,1.0705344906349932,1.0711969676211353,1.0364901417401644,1.0892873641251042,1.142084586510044,1.09251955567697,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754069400,1.0729813664596273,1.0734757210660826,1.0686569889527984,1.0709106662410508,1.034313297701216,1.084521146846073,1.13472899599093,1.0868593915786189,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754314200,1.0888463641334063,1.091215446969352,1.0756118681919693,1.0814133503323924,1.0329836670489714,1.0801618302768885,1.1273399935048056,1.0868593915786189,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754328600,1.0836900100173026,1.0842330645528677,1.0799490074667637,1.0799490074667637,1.031443818042516,1.0758184104139024,1.1201930027852887,1.0868593915786189,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754400600,1.0818206695247652,1.0818206695247652,1.0704366434457953,1.0704366434457953,1.0292940544909865,1.070214898115353,1.070214898115353,1.0868593915786189,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754415000,1.0745833712776613,1.0750887412396468,1.0600391460694616,1.060970060970061,1.0259069322338064,1.0654894457715853,1.0654894457715853,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754487000,1.0704841798121638,1.080563947633434,1.0704841798121638,1.0778497763986492,1.0240509312869412,1.0629133446092887,1.101775757931636,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754501400,1.0814091448389158,1.0814091448389158,1.0637658731964863,1.0637658731964863,1.020807484316425,1.0584661806095916,1.0584661806095916,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754573400,1.0688494770350159,1.0731773790597319,1.0674974984080778,1.0725218658892128,1.0182929209567344,1.0548160095694779,1.0913390981822213,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754587800,1.0730685131195334,1.0781349603861214,1.0723396501457725,1.0723396501457725,1.016542521113794,1.0530491428580158,1.0895557646022376,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754659800,1.0799270072992702,1.0820180640452512,1.0718040129804836,1.0740757665767946,1.0143754883311054,1.0505000682902534,1.0866246482494015,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754674200,1.0729790248137825,1.074891478181403,1.0716080976100169,1.0747578139279839,1.0130253854963562,1.0491709645142862,1.085316543532216,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754919000,1.0807702838368167,1.0807974816369361,1.071493707824184,1.0718096019696348,1.0130629365432418,1.049060548758036,1.0850581609728303,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1754933400,1.0729950303196096,1.074087591240876,1.0700433493041295,1.0724095451019757,1.0131496077260624,1.0490081637297408,1.0848667197334192,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1755005400,1.0791662857665234,1.0791662857665234,1.0725603908854284,1.0727654523874737,1.0148893928362022,1.050045783798914,1.0852021747616256,1.0809280568845547,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1755019800,1.07322194832466,1.074872169466764,1.0680647367221336,1.0680647367221336,1.016046359226591,1.0506401881969878,1.0506401881969878,1.0794368646683365,1.067977255741368,0,0,0,0,7.761553349324624,-40,-60,10,30,50,,,,,,,,,,
1755091800,1.0667878237164925,1.067168579073881,1.0576975415041276,1.0596554850407978,1.0184908675740179,1.0516850010481908,1.0516850010481908,1.0662382871449831,1.067977255741368,0,0,0,0,0.2615533493246233,-40,-60,10,30,50,,,,,,,,,,
1755106200,1.0606527651858568,1.0626586869785999,1.060498866213152,1.060498866213152,1.0214038759096418,1.0530158873513575,1.0530158873513575,1.0662382871449831,1.067977255741368,0,0,0,0,0.2615533493246233,-40,-60,10,30,50,,,,,,,,,,
1755178200,1.0612727272727271,1.062335302135393,1.0566587720896339,1.0594338763993811,1.026579780817285,1.0552633530541842,1.0552633530541842,1.0662382871449831,1.067977255741368,0,0,0,0,0.2615533493246233,-40,-60,10,30,50,,,,,,,,,,
1755192600,1.0591662115419624,1.0605591476186138,1.058293105018672,1.0588717015468607,1.0308928221953344,1.057153092150745,1.057153092150745,1.0649703995812063,1.067977255741368,0,0,0,0,0.2410846750766753,-40,-60,10,30,50,,,,,,,,,,
