time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI Oversold + Below MA,Regime Gate Passed,StochRSI %K
1190640600,81.10001,81.37,79.28,80.06,67.70532535000001,67.70532535000001,50.25315867750765,0,0,51.70661333333336
1191245400,80.13,84.42,80.13,84.13,67.856975325,67.856975325,59.17308175709696,0,0,67.81328
1191850200,83.91,84.89,82.66,83.82001,68.00367535000001,68.00367535000001,58.31541821037714,0,0,75.43994666666667
1192455000,83.8,84.17999,79,79.09,68.128125375,68.128125375,47.09797130737894,0,0,73.61235282917742
1193059800,78.53999,82.00999,78.35001,82.00999,68.262000325,68.262000325,53.09619541970613,0,0,69.66533379594794
1193664600,82.22,82.8,78.35001,79.53,68.3796753,68.3796753,48.10719390610789,0,0,59.44912606815877
1194273000,78.44,80,75.82001,76.85001,68.47817535,68.47817535,43.36521454662165,0,0,53.419130259625405
1194877800,76.89,79.23,75.53999,76.17,68.56527535000001,68.56527535000001,42.227809892612065,0,0,36.709559407347136
1195482600,75.89,76.03999,73,75.06,68.64377535,68.64377535,40.36662997387503,0,0,24.48759500169085
1196087400,75.35001,77.95,72.99001,76.58,68.737675325,68.737675325,44.00608161268707,0,0,24.214547495895104
1196692200,76.55,78.8,74.56,78.36,68.83867529999999,68.83867529999999,48.00779460365562,0,0,30.873165483925078
1197297000,78.5,79.58,74.95,75,68.92205032499999,68.92205032499999,41.91791498100364,0,0,30.728233104957795
1197901800,74.82001,78.60001,73.35001,78.60001,69.026175375,69.026175375,49.33382101894609,0,0,36.386529176355054
1198506600,78.71001,79.84,76.56,76.56,69.11722537499999,69.11722537499999,45.7677129218382,0,0,31.3445081326399
1199111400,76.45,76.8046,71.61,72.09,69.17895034999998,69.17895034999998,39.09856332333205,0,0,26.91909858882776
1199716200,72.28,73.27,68.62,70.22,69.23942534999999,69.23942534999999,36.68989768988499,0,0,14.482816469084929
1200321000,71.00999,71.19,66.28999,67.22,69.29127534999999,69.29127534999999,33.160496170045235,1,1,6.215666335934647
1201012200,64.47,70.23,64.19,68.47,69.34812534999999,69.34812534999999,35.92621721235986,0,0,12.676976379979706
1201530600,68.32001,72.88,67.71001,72.63,69.410275375,69.410275375,44.20121522690686,0,0,24.51628001718463
1202135400,72.53999,72.60001,68.47,69.67,69.46085037499999,69.46085037499999,40.22085902075949,0,0,34.33731861756623
1202740200,69.66,72.17999,68.73,69.87,69.5195504,69.5195504,40.61001518305091,0,0,38.76916586723276
