time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1540215000,113.95,115.32,113.53,114.99,23,0,,0,0,1,0,124.86105999999998,0.058390485560136526,0,0,0,0.058390485560136526,1,0.058390485560136526,0.15103007044363526,0,0,0,0
1540819800,114.84,115.02,111.9,112,24,0,,0,0,1,0,124.78445999999997,-0.16467432996543016,0,0,0,-0.16467432996543016,1,-0.22306481552556667,-0.14435049815211257,0,0,0,0
1541428200,112.48,113.4967,112.3333,113.35,25,0,,0,0,1,0,124.69585999999998,-0.04773917959632908,0,0,0,-0.04773917959632908,1,0.11693515036910107,0.0703149478928119,0,0,0,0
1542033000,113.95,114.81,113.3,114.7,26,0,,0,0,1,0,124.60340999999997,0.06956333699463838,0,0,0,0.06956333699463838,1,0.11730251659096746,0.049142913696138074,0,0,0,0
1542637800,114.41,115.76,114.41,115.14,27,0,,0,0,1,0,124.50525999999998,0.07198284098273013,0,0,0,0.07198284098273013,1,0.0024195039880917507,0.07198284098273014,0,0,0,0
1543242600,114.86,115.42,114.36,115.33,28,0,,0,0,1,0,124.39050999999998,0.04045803174089599,0,0,0,0.04045803174089599,1,-0.03152480924183414,-0.017932453819240524,0,0,0,0
1543847400,114.68,119.2,114.66,118.41,29,0,,0,0,0,0,124.32775999999998,0.07474669081572928,0,0,0,0.07474669081572928,1,0.03428865907483329,0.23942102078115945,0,0,0,0
1544452200,118.87,119.38,117.98,118.48,30,0,,0,0,0,0,124.27920999999998,0.0824149970534392,0,0,0,0.0824149970534392,1,0.007668306237709921,0.1301541766497683,0,0,0,0
1545057000,118.59,122.03,118.58,120.72,31,0,,0,0,0,0,124.25010999999996,0.12928312306454956,0,0,0,0.12928312306454956,1,0.04686812601111036,0.059719786069911185,0,0,0,0
1545661800,121.13,121.42,119.97,121.05,32,0,,0,0,0,0,124.20770999999996,0.03944565086477745,0,0,0,0.03944565086477745,1,-0.08983747219977212,-0.03253719011795268,0,0,0,0
1546266600,120.65,123.86,120.46,122.11,33,0,,0,0,0,0,124.20075999999997,0.16114858409941082,0,0,0,0.16114858409941082,1,0.12170293323463338,0.12069055235851484,0,0,0,0
1546871400,122.62,122.65,120.34,120.93,34,0,,0,0,0,0,124.17180999999997,-0.02377518501269636,0,0,0,-0.02377518501269636,1,-0.18492376911210717,-0.09852187582842563,0,0,0,0
1547476200,120.9,121.01,119.385,119.56,35,0,,0,0,0,0,124.11205999999997,-0.09866193299450501,0,0,0,-0.09866193299450501,1,-0.07488674798180865,-0.1810769300479442,0,0,0,0
1548167400,120.31,121.26,119.83,120.53,36,0,,0,0,0,0,124.05940999999997,-0.02384350575990666,0,0,0,-0.02384350575990666,1,0.07481842723459836,-0.1531266288244562,0,0,0,0
1548685800,120.54,122.18,120.33,120.96,37,0,,0,0,0,0,124.01055999999997,0.032652489218604974,0,0,0,0.032652489218604974,1,0.056495994978511634,-0.006793161646172448,0,0,0,0
1549290600,120.44,122.47,120.02,122.35,38,0,,0,0,0,0,123.97420999999997,0.07926637369323443,0,0,0,0.07926637369323443,1,0.046613884474629455,-0.08188221040617637,0,0,0,0
1549895400,121.86,122.2,120.91,121.98,39,0,,0,0,0,0,123.92685999999996,0.02459390763920959,0,0,0,0.02459390763920959,1,-0.05467246605402484,0.04836909265190596,0,0,0,0
1550586600,122.42,122.54,120.7,121.57,40,0,,0,0,0,0,123.88935999999995,0,0,0,0,0,1,-0.02459390763920959,0.09866193299450503,0,0,0,0
1551105000,121.17,121.82,118.64,118.66,41,0,,0,0,0,0,123.86265999999996,-0.12464254461199707,0,0,0,-0.12464254461199707,1,-0.12464254461199707,-0.10079903885209043,0,0,0,0
1551709800,119.29,121.69,119.06,121.57,42,0,,0,0,0,0,123.85795999999996,0.07830740148989775,0,0,0,0.07830740148989775,1,0.20294994610189482,0.04565491227129276,0,0,0,0
1552311000,121.4,122.23,120.92,121.75,43,0,,0,0,0,0,123.85875999999995,0.03399784971703459,0,0,0,0.03399784971703459,1,-0.04430955177286316,-0.045268523976199855,0,0,0,0
1552915800,121.57,125.28,120.89,124.86,44,0,,0,1,0,0,123.88105999999995,0.11922825897126722,0,0,0,0.11922825897126722,1,0.08523040925423264,0.09463435133205764,0,0,0,0
1553520600,124.81,126.69,124.5099,126.44,45,0,,0,1,0,0,123.89970999999996,0.05096674074316039,0,0,0,0.05096674074316039,1,-0.06826151822810683,0.05096674074316039,0,0,0,0
1554125400,125.29,125.3565,123.37,124.03,46,0,,0,1,0,0,123.93185999999996,-0.09638426902664193,0,0,0,-0.09638426902664193,1,-0.1473510097698023,0.028258275585355153,0,0,0,0
1554730200,123.83,124.52,122.63,122.67,47,0,,0,1,0,0,123.95545999999995,-0.052418947599784126,0,0,0,-0.052418947599784126,1,0.04396532142685781,-0.13072634908968186,0,0,0,0
1555335000,122.775,123.1,122.11,122.9,48,0,,0,1,0,0,123.97455999999997,-0.04792332704394297,0,0,0,-0.04792332704394297,1,0.004495620555841157,-0.08192117676097754,0,0,0,0
1555939800,122.47,124.02,122.235,123.81,49,0,,0,1,0,0,124.01745999999996,0.019921315163281637,0,0,0,0.019921315163281637,1,0.06784464220722461,-0.09930694380798558,0,0,0,0
1556544600,123.23,124.45,122.85,123.66,50,0,,0,1,0,0,124.05575999999995,0.024032644560583745,0,0,0,0.024032644560583745,1,0.004111329397302108,-0.026934096182576635,0,0,0,0
1557149400,124.31,125.45,123.925,124.75,51,0,,0,1,0,0,124.09925999999996,0.07961365256532768,0,0,0,0.07961365256532768,1,0.055581008004743936,0.1759979215919696,0,0,0,0
1557754200,125.4,126.3,125.2,125.99,52,0,,0,1,0,0,124.13560999999996,0.04227616234392687,0,0,0,0.04227616234392687,1,-0.03733749022140081,0.094695109943711,0,0,0,0
1558359000,126.12,128.09,125.3,127.78,53,0,,0,1,0,0,124.16755999999994,0.07706159209442456,0,0,0,0.07706159209442456,1,0.03478542975049769,0.12498491913836753,0,0,0,0
1559050200,128.27,131.9,128.085,131.83,54,0,,0,1,0,0,124.21405999999993,0.1302829201701783,0,0,0,0.1302829201701783,1,0.05322132807575375,0.11036160500689667,0,0,0,0
1559568600,131.91,132.58,130.12,131.74,55,0,,0,1,0,0,124.25105999999994,0.028663082712297488,0,0,0,0.028663082712297488,1,-0.10161983745788082,0.004630438151713739,0,0,0,0
1560173400,130.68,131.71,130.3,131.46,56,0,,0,1,0,0,124.28855999999992,0.02476720051048778,0,0,0,0.02476720051048778,1,-0.0038958822018097077,-0.0548464520548399,0,0,0,0
1560778200,131.39,133.505,131.13,131.43,57,0,,0,1,0,0,124.31370999999994,0.017935892631487094,0,0,0,0.017935892631487094,1,-0.0068313078790006865,-0.02434026971243977,0,0,0,0
1561383000,132.16,133.09,131.88,132.81,58,0,,0,1,0,0,124.36595999999994,0.06835264447196049,0,0,0,0.06835264447196049,1,0.050416751840473395,-0.008708947622464061,0,0,0,0
1561987800,132.57,134.29,131.591,132.43,59,0,,0,1,0,0,124.41470999999994,0.022686042525454093,0,0,0,0.022686042525454093,1,-0.045666601946506395,-0.1075968776447242,0,0,0,0
1562592600,133.05,133.22,129.68,130.22,60,1,129.68,0,1,0,1,124.45885999999994,-0.08344989530144876,0,0,0,-0.08344989530144876,1,-0.10613593782690287,-0.11211297801374627,0,0,0,0
1563197400,130.45,132.32,129.955,131.69,61,0,,0,1,0,0,124.50680999999994,0,0,0,0,0,1,0.08344989530144876,-0.024767200510487794,0,0,0,0
1563802200,132.47,132.49,130.51,131.47,62,0,,0,1,0,0,124.55645999999993,0,0,0,0,0,1,0,-0.017935892631487108,0,0,0,0
1564407000,131.82,136.51,131.395,136.51,63,0,,0,1,0,0,124.61620999999994,0.11179712458452641,0,0,0,0.11179712458452641,1,0.11179712458452641,0.04344448011256591,0,0,0,0
1565011800,138.14,143.06,137.66,140.05,64,0,,0,1,0,0,124.70505999999995,0.24965117232125855,0,0,0,0.24965117232125855,1,0.13785404773673215,0.22696512979580447,0,0,0,0
1565616600,141.72,148.6,141.5115,146.13,5,0,,1,0,0,0,124.81605999999996,0.09520213627313398,0,0,0,0.09520213627313398,1,-0.15444903604812457,0.17865203157458276,0,0,0,0
1566221400,143.57,146.27,143.43,145.96,6,0,,1,0,0,0,124.92985999999995,0.06156385252656152,0,0,0,0.06156385252656152,1,-0.03363828374657246,0.06156385252656153,0,0,0,0
1566826200,145.87,148.9,145.29,147.28,7,0,,1,0,0,0,125.05235999999995,0.10814331661146788,0,0,0,0.10814331661146788,1,0.04657946408490636,0.1081433166114679,0,0,0,0
1567517400,147.09,148.67,143.89,145.79,8,0,,1,0,0,0,125.18630999999996,0,0,0,0,0,1,-0.10814331661146788,-0.1117971245845264,0,0,0,0
1568035800,143.83,144,136.54,136.54,9,0,,1,0,0,0,125.27060999999996,-0.26010240076735824,0,0,0,-0.26010240076735824,1,-0.26010240076735824,-0.5097535730886168,0,1,0,0
1568640600,137.88,141.98,137.2544,141.89,10,0,,1,0,0,0,125.37780999999995,0.012945693978770488,0,0,0,0.012945693978770488,1,0.27304809474612873,-0.08225644229436352,0,1,0,0
1569245400,142.24,143.845,141.14,142.73,11,0,,1,0,0,0,125.48660999999997,0.1505337295072267,0,0,0,0.1505337295072267,1,0.13758803552845622,0.08896987698066516,0,0,0,0
1569850200,141.88,146.03,141.14,145.99,12,0,,1,0,0,0,125.61365999999997,0.08924042210039261,0,0,0,0.08924042210039261,1,-0.0612933074068341,-0.018902894511075297,0,0,0,0
1570455000,145.16,145.93,139.71,140.44,13,0,,1,0,0,0,125.69705999999996,-0.12694677851523226,0,0,0,-0.12694677851523226,1,-0.21618720061562485,-0.12694677851523228,0,0,0,0
1571059800,141.48,141.505,139.2967,139.58,14,0,,1,0,0,0,125.77880999999996,-0.13795864666491844,0,0,0,-0.13795864666491844,1,-0.011011868149686188,0.12214375410243977,0,0,0,0
1571664600,138.57,140.3138,138.225,138.52,15,0,,1,0,0,0,125.86225999999996,-0.0763550422610469,0,0,0,-0.0763550422610469,1,0.06160360440387154,-0.08930073623981742,0,0,0,0
1572269400,137.58,141.677,136.99,140.56,16,0,,1,0,0,0,125.96215999999997,0.1309568852171575,0,0,0,0.1309568852171575,1,0.20731192747820443,-0.01957684429006923,0,0,0,0
1572877800,138.97,139.14,134.45,134.91,17,0,,1,0,0,0,126.01990999999997,-0.16943355629617624,0,0,0,-0.16943355629617624,1,-0.3003904415133337,-0.25867397839656886,0,0,0,0
1573482600,135.38,138.44,134.64,137.76,18,0,,1,0,0,0,126.07994999999997,0.042065974556554454,0,0,0,0.042065974556554454,1,0.21149953085273068,0.16901275307178668,0,0,0,0
1574087400,138.21,140.6,137.93,139.9,19,0,,1,0,0,0,126.15274999999998,0.13931841199825418,0,0,0,0.13931841199825418,1,0.09725243744169973,0.2772770586631726,0,0,0,0
1574692200,140.3,141.31,139.78,140.42,20,0,,1,0,0,0,126.21834999999996,0.05514480807424291,0,0,0,0.05514480807424291,1,-0.08417360392401127,0.13149985033528977,0,0,0,0
