time,open,high,low,close,cycle_day,dcl_event,dcl_price,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1698710400,34495.65,34728.52,34067.72,34660.4,36,0,,0,28276.393750000057,0.18,0,0,0,0.18,1,0,-0.12000000000000013,0,0,0,0
1698796800,34661.82,35623.42,34103.12,35442.2,37,0,,0,28301.981550000055,0.3,0,0,0,0.3,1,0.12,0.11999999999999986,0,0,0,0
1698883200,35442.2,35971.45,34328.68,34939.68,38,0,,0,28325.052050000057,0.3,0,0,0,0.3,1,0,0.11999999999999986,0,0,0,0
1698969600,34942.43,34945.85,34129.75,34737.62,39,0,,0,28351.48840000006,0.18,0,0,0,0.18,1,-0.12,-0.12000000000000013,0,0,0,0
1699056000,34740.63,35277.07,34617.56,35091.58,40,0,,0,28374.97350000006,0.18,0,0,0,0.18,1,0,-1.3877787807814457e-16,0,0,0,0
1699142400,35091.88,35406.78,34498.53,35051.1,41,0,,0,28406.11995000005,0.3,0,0,0,0.3,1,0.12,0.11999999999999986,0,0,0,0
1699228800,35047.72,35293.56,34771.24,35045.77,42,0,,0,28440.108300000058,0.18,0,0,0,0.18,1,-0.12,-0.12000000000000013,0,0,0,0
1699315200,35054.27,35921.03,34534.67,35433.57,43,0,,0,28480.960600000057,0.3,0,0,0,0.3,1,0.12,-1.3877787807814457e-16,0,0,0,0
1699401600,35430.43,36115.15,35105.04,35633.63,44,0,,0,28520.014550000058,0.18,0,0,0,0.18,1,-0.12,-1.3877787807814457e-16,0,0,0,0
1699488000,35631.88,37980.5,35553.71,36698.15,45,0,,0,28565.52300000006,0.3,0,0,0,0.3,1,0.12,0.11999999999999986,0,0,0,0
1699574400,36703.63,37532.2,36341.89,37314.13,46,0,,0,28614.483650000057,0.18,0,0,0,0.18,1,-0.12,-0.12000000000000013,0,0,0,0
1699660800,37321.88,37415.68,36670.88,37142.98,47,0,,0,28658.66380000006,0.18,0,0,0,0.18,1,0,-1.3877787807814457e-16,0,0,0,0
1699747200,37137.21,37231.65,36744.3,37067.98,48,0,,0,28701.849350000055,0.18,0,0,0,0.18,1,0,-0.12000000000000013,0,0,0,0
1699833600,37067.6,37432.62,36364,36489.44,49,0,,0,28736.875800000056,0.18,0,0,0,0.18,1,0,-1.3877787807814457e-16,0,0,0,0
1699920000,36485.95,36752.82,34801.41,35551.12,50,1,34801.41,1,28767.945900000053,0.064466418752645,0,0,0,0.064466418752645,1,-0.115533581247355,-0.23553358124735513,0,0,0,0
1700006400,35551.63,37965.5,35368.04,37881.01,51,0,,0,28811.097250000053,0.3,0,0,0,0.3,1,0.235533581247355,0.11999999999999986,0,0,0,0
1700092800,37881.01,37949.44,35521.08,36161.56,52,0,,0,28845.66270000005,0.16535660880293906,0,0,0,0.16535660880293906,1,-0.13464339119706092,-0.014643391197061068,0,0,0,0
1700179200,36167.06,36841.5,35869.3,36627.85,53,0,,0,28888.37730000005,0.27559434800489846,0,0,0,0.27559434800489846,1,0.1102377392019594,0.09559434800489833,0,0,0,0
1700265600,36628.39,36852.04,36214.97,36588,54,0,,0,28927.823000000055,0.27559434800489846,0,0,0,0.27559434800489846,1,0,0.09559434800489833,0,0,0,0
1700352000,36589.81,37526.88,36412.73,37390.02,5,0,,0,28969.552000000054,0.3,0,0,0,0.3,1,0.02440565199510153,0.23553358124735485,0,0,0,0
1700438400,37394.49,37768.77,36692.75,37471.79,6,0,,0,29012.55970000005,0.3,0,0,0,0.3,1,0,-1.3877787807814457e-16,0,0,0,0
1700524800,37469.32,37660.14,35758.75,35760.5,7,0,,0,29043.58900000005,0.3,0,0,0,0.3,1,0,0.13464339119706079,0,0,0,0
1700611200,35762.61,37869,35647.25,37420.85,8,0,,0,29085.882700000046,0.18,0,0,0,0.18,1,-0.12,-0.0955943480048986,0,0,0,0
1700697600,37423.1,37642.92,36884.68,37296.49,9,0,,0,29129.39375000005,0.3,0,0,0,0.3,1,0.12,0.02440565199510139,0,0,0,0
1700784000,37301.74,38433.48,37262.19,37726.56,10,0,,0,29178.97300000005,0.3,0,0,0,0.3,1,0,-1.3877787807814457e-16,0,0,0,0
1700870400,37730.62,37905.32,37607.98,37799.05,11,0,,0,29229.489550000053,0.18,0,0,0,0.18,1,-0.12,-0.12000000000000013,0,0,0,0
1700956800,37799.76,37821.79,37149.46,37458.92,12,0,,0,29278.68190000005,0.18,0,0,0,0.18,1,0,-0.12000000000000013,0,0,0,0
1701043200,37460.23,37566.25,36723.53,37249.68,13,0,,0,29329.96420000005,0.18,0,0,0,0.18,1,0,-1.3877787807814457e-16,0,0,0,0
1701129600,37251.19,38396.41,36887.14,37831.24,14,0,,0,29385.073100000052,0.3,0,0,0,0.3,1,0.12,-1.3877787807814457e-16,0,0,0,0
1701216000,37831.99,38439.5,37584.71,37857.71,15,0,,0,29440.418150000052,0.3,0,0,0,0.3,1,0,-1.3877787807814457e-16,0,0,0,0
1701302400,37859.7,38152.52,37500.25,37723.24,16,0,,0,29494.38060000005,0.3,0,0,0,0.3,1,0,0.11999999999999986,0,0,0,0
1701388800,37728.57,38975.85,37623.49,38694.14,17,0,,0,29551.97540000005,0.3,0,0,0,0.3,1,0,0.11999999999999986,0,0,0,0
1701475200,38694.89,39710.75,38653.53,39467.01,18,0,,0,29614.10460000005,0.18,0,0,0,0.18,1,-0.12,-1.3877787807814457e-16,0,0,0,0
