time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI Oversold + Below MA,Regime Gate Passed,StochRSI %K
727972200,43.9688,43.96899,43.75,43.938,,,,0,0,
728577000,43.96875,45.09375,43.96875,44.96875,,,,0,0,
729181800,44.96875,45.125,44.53125,44.59375,,,,0,0,
729786600,44.46875,44.46875,42.8125,43.5625,,,,0,0,
730391400,43.6875,44.4375,43.46875,44.40625,,,,0,0,
730996200,44.5625,45.1875,44.21875,44.75,,,,0,0,
731601000,44.84375,45.84375,44.8125,45.09375,,,,0,0,
732205800,45.0625,45.5,44.96875,45.03125,,,,0,0,
732810600,44.59375,45.25,44.5625,44.90625,,,,0,0,
733415400,44.9375,45.46875,44.09375,44.09375,,,,0,0,
734016600,44.4375,44.53125,44.0625,44.28125,,,,0,0,
734621400,44.71875,45.15625,44.65625,44.9375,,,,0,0,
735226200,44.9375,45.0625,43.6875,43.75,,,,0,0,
735831000,43.78125,44.28125,43.28125,44.03125,,,,0,0,
736435800,44.09375,44.75,43.90625,44.34375,,,52.67178085799887,0,0,
737040600,44.40625,44.6875,43.96875,44,,,50.22325579148945,0,0,43.298969072164944
737645400,44.125,45.25,43.84375,44.75,,,55.12483322272065,0,0,51.202749140893474
738250200,44.84375,45.65625,44.84375,45.21875,,,57.91422436242151,0,0,59.5675132009052
738855000,45.375,45.8125,45.09375,45.28125,,,58.28653294647002,0,0,72.52535411952057
739459800,45.375,45.375,44.71875,45.09375,,,56.66694893051123,0,0,74.79674796747967
740064600,45.15625,45.1875,44.5,44.5,,,51.76201184940709,0,0,65.64287865100873
740669400,44.625,44.90625,44.21875,44.78125,,,53.80187733757593,0,0,59.37970490816019
741274200,45,45.28125,44.53125,44.6875,,,52.99736985176297,0,0,54.32098765432098
741879000,44.625,44.96875,44.15625,44.96875,,,55.16343222215841,0,0,60.49382716049383
742483800,44.90625,45.1875,44.65625,44.75,,,53.113252616040036,0,0,60.08230452674898
743088600,44.75,44.84375,44.46875,44.71875,,,52.81128939891786,0,0,60.49382716049383
743693400,44.84375,45.21875,44.78125,44.84375,,,53.93933339716288,0,0,58.84773662551439
744298200,44.90625,45.1875,44.84375,44.96875,,,55.09534962651142,0,0,58.553791887125215
744903000,45.09375,45.34375,44.90625,45.125,,,56.56288762483358,0,0,61.31687242798353
745507800,45.15625,45.875,45.15625,45.8125,,,62.38750659333696,0,0,73.04843304843304
746112600,45.625,46.53125,45.625,46.25,,,65.55304408332036,0,0,83.3867789130947
746717400,46.28125,46.59375,46.25,46.375,,,66.42256394452443,0,0,92.03553756185335
747322200,46.375,46.4375,45.59375,46.40625,,,66.6492158625662,0,0,90.49707602339181
747927000,46.5625,46.5625,45.75,45.8125,,,58.56090340382015,0,0,83.76068376068376
748531800,45.875,45.96875,44.8125,45.78125,,,58.16084383989509,0,0,75.64102564102564
749136600,46.125,46.3125,45.8125,46.15625,,,61.55493439448344,0,0,72.22222222222223
749741400,46.21875,46.375,45.71875,46.0625,,,60.23927065508396,0,0,75.64102564102565
750346200,46.15625,47.15625,46.15625,47.0625,,,68.07712860016517,0,0,85.58934605446234
750951000,47.03125,47.03125,46.375,46.375,,,59.40678199138987,0,0,81.88232955674816
751555800,46.40625,46.96875,46.28125,46.84375,,,62.87827752629919,0,0,84.76132190942472
752164200,46.78125,47,45.53125,46.0625,,,54.51105782280043,0,0,70.36855705154359
752769000,46.09375,46.75,45.96875,46.59375,,,58.550262978642074,0,0,72.05847953216374
753373800,46.6875,46.8125,46.21875,46.3125,,,55.72896273986514,0,0,64.44444444444444
753978600,46.1875,46.59375,45.875,46.5,,,57.20930856749132,0,0,70.66666666666667
754583400,46.625,46.71875,46.25,46.71875,,,58.93455635252571,0,0,72.44444444444444
