time,open,high,low,close,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1732127400,79.98,80.21,79.96,80.2,0.5300439283051424,-0.016171142554796486,-0.11363018386208523,-0.09745904130728875,-0.0368230866169642,,81.16968657009139,360821,46847670,44.95077963452752,-6.904641800973477,-40,-60,10,30,50,,,,,,,,,,,80.23707001119833,80.76658008826229,0,0,0,0,0,0,0,0,0,0,80.23707001119833,80.76658008826229,-5,10,-5,-30,80.60534004123306,82.68529411764705,82.68529411764705,80.9798587961026,79.6930670441457,0,0,0,0,79.31517678206909,80.01696470588237,80.01696470588237,80.38112878738535,80.9950839385047,0,0,0,0,78.7389251474513,79.90938823529412,79.90938823529412,80.23707001119833,80.76658008826229,0,0,0,0,80.10402151636788,80.51483529411767,80.51483529411767,80.38112878738535,80.9950839385047,0,0,0,0,1.0688411839513674,,,,,0.30976784250693234,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.618724464988183,3.095256577519215,,
1732199400,80.31,81.17,80.09,81.165,0.5693265048547749,0.04027934033956615,-0.04710986588283106,-0.08738920622239721,0.034077929228830135,,81.16968657009139,920617,47768287,56.66822846797818,-6.904641800973477,-40,-60,10,30,50,,,,,,,,,,,80.23707001119833,80.76658008826229,0,0,0,0,0,0,0,0,0,0,80.23707001119833,80.76658008826229,30,15,15,0,80.60534004123306,82.68529411764705,82.68529411764705,80.9798587961026,79.6930670441457,0,0,0,0,79.40104715927119,80.0863411764705,80.77163519366981,80.4051968378974,80.9950839385047,0,0,0,0,78.7389251474513,79.90938823529412,79.90938823529412,80.23707001119833,80.76658008826229,0,0,0,0,80.16833444939817,80.59458823529418,81.02084202119019,80.4051968378974,80.9950839385047,0,0,0,0,1.0688411839513674,,,,52.20585613568828,0.38304457888276894,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.1801446845666326,,
1732213800,81.16,81.17,80.935,81.075,0.5454460402222909,0.06860302077951692,-0.0016354302480010574,-0.07023845102751798,0.09175768820980952,,81.16968657009139,391484,47376803,55.482092154668926,-6.8692425797517895,-40,-60,10,30,50,,,,,,,,,,,80.38955395977771,80.76658008826229,0,0,0,0,0,0,0,0,0,0,80.38955395977771,80.76658008826229,20,5,5,-10,80.55936298161772,82.5568235294117,84.55428407720568,80.9798587961026,79.6930670441457,0,0,0,0,79.49060661457044,80.15438823529416,80.81816985601789,80.56284829390133,80.9950839385047,0,0,0,0,78.78748364907753,79.9347294117647,81.08197517445188,80.38955395977771,80.76658008826229,0,0,0,0,80.24885589625144,80.68763529411761,81.12641469198378,80.56284829390133,80.9950839385047,0,0,0,0,1.0742077163102621,,,,,0.3090967347245407,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.176356674617832,,
1732285800,81.5,81.88,81.44,81.8,0.5639856087778411,0.1296676280665087,0.0918460840556179,-0.03782154401089081,0.08251290564017957,79.91895660742574,,820809,48197612,62.32350288869588,8.243689440888623,-40,-60,10,30,50,,,,,,,,,,,80.87601439122216,80.76658008826229,0,0,1,0,0,1,1,0,0,0,80.87601439122216,80.76658008826229,45,10,10,-10,80.55936298161772,82.5568235294117,84.55428407720568,80.9798587961026,79.6930670441457,0,0,0,0,79.63369608487218,80.28502352941166,80.93635097395114,81.30214980443533,80.9950839385047,0,0,0,0,78.78748364907753,79.9347294117647,81.08197517445188,80.87601439122216,80.76658008826229,0,0,0,0,80.4037961031885,80.90677647058835,81.40975683798821,81.30214980443533,80.9950839385047,0,0,0,0,1.0742077163102621,,,,57.85066983140909,0.35251011133175286,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.3762483804248697,,
1732300200,81.8,81.91,81.56,81.82,0.5487009224365663,0.16276551464072367,0.16563534929001378,0.0028698346492901095,0.1389502255954268,80.06306094668318,,500717,48698329,62.49473288759983,15.775095845197523,-40,-60,10,30,50,,,,,,,,,,,81.01129907756344,80.76658008826229,0,0,0,0,0,0,0,1,0,0,81.01129907756344,80.76658008826229,30,15,15,-10,80.55936298161772,82.5568235294117,84.55428407720568,80.9798587961026,79.6930670441457,0,0,0,0,79.78640324202054,80.42163529411762,81.0568673462147,81.31024651504883,80.9950839385047,0,0,0,0,78.94877013878846,80.04719999999998,81.14562986121149,81.01129907756344,80.76658008826229,0,0,0,0,80.4968750258716,81.01569411764703,81.53451320942246,81.31024651504883,80.9950839385047,0,0,0,0,1.0742077163102621,,,,,0.3465562684074987,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.371799213309987,,
1732545000,82.38,82.62,82.04,82.32,0.566650856548241,0.20686085967223458,0.26144590923958333,0.05458504956734875,0.15656954637648776,80.58525485201487,,675121,49373450,66.5835219210393,15.882360987858494,-40,-60,10,30,50,,,,,,,,,,,81.47334914345177,80.76658008826229,0,0,0,0,0,0,0,0,0,0,81.47334914345177,80.76658008826229,25,10,10,-10,80.55936298161772,82.5568235294117,84.55428407720568,80.9798587961026,79.6930670441457,0,0,0,0,79.9197084985486,80.5774588235293,81.23520914851,81.71951462111677,80.9950839385047,0,0,0,0,78.94877013878846,80.04719999999998,81.14562986121149,81.47334914345177,80.76658008826229,0,0,0,0,80.61084112917,81.17367058823537,81.73650004730074,81.71951462111677,80.9950839385047,0,0,0,0,1.0742077163102621,,24.346649081302,13.796065631353953,60.839230503331365,0.3738368471032347,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.294129347767987,,
1732559400,82.32,82.38,82.13,82.27,0.5440329382233666,0.2199664549153923,0.3295431182115891,0.10957666329619681,0.17959739734220295,80.60972936681337,,705366,48668084,65.81086847541536,16.323703912330053,-40,-60,10,30,50,,,,,,,,,,,81.58596706177663,80.76658008826229,0,0,0,0,0,0,0,0,0,0,81.58596706177663,80.76658008826229,50,20,35,10,80.59308193432142,82.5432941176471,84.49350630097277,81.24456640851406,79.6930670441457,0,0,0,0,80.03964161411683,80.72100000000005,81.40235838588326,81.80652026004456,81.24183330433861,0,0,0,0,79.17866633825194,80.21272941176466,81.24679248527737,81.58596706177663,80.76658008826229,0,0,0,0,80.73209441398174,81.3509764705882,81.96985852719465,81.80652026004456,81.24183330433861,0,0,0,0,1.0891594269231357,,,,,0.35763954573167184,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.289906005328503,,
1732631400,82.29,82.56,82.15,82.5,0.5344591569216973,0.23032885622735538,0.397487733580391,0.16715887735303564,0.2651842270013702,80.75125643013205,,670517,49338601,67.6694175218062,16.330569479731825,-40,-60,10,30,50,,,,,,,,,,,81.6155408430783,80.76658008826229,0,0,0,0,0,0,0,0,0,0,81.6155408430783,80.76658008826229,30,15,15,-10,80.59308193432142,82.5432941176471,84.49350630097277,81.24456640851406,79.6930670441457,0,0,0,0,80.18200382107217,80.89030588235292,81.59860794363367,81.8790524822587,81.24183330433861,0,0,0,0,79.17866633825194,80.21272941176466,81.24679248527737,81.6155408430783,80.76658008826229,0,0,0,0,80.85472234662467,81.51868235294118,82.1826423592577,81.8790524822587,81.24183330433861,0,0,0,0,1.0891594269231357,,,,62.975293751885296,0.3893284211885696,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.547100787024281,3.0433746847261225,,
1732645800,82.49,82.705,82.475,82.63,0.5127120742844335,0.23152193009209127,0.4565612899681497,0.22503935987605844,0.3310291748788213,81.07763078711884,,411787,49750388,68.70494557405425,16.610541402082127,-40,-60,10,30,50,,,,,,,,,,,81.96228792571556,80.76658008826229,0,0,0,0,0,0,0,0,0,0,81.96228792571556,80.76658008826229,50,20,35,5,80.59308193432142,82.5432941176471,84.49350630097277,81.37174023647735,79.6930670441457,0,0,0,0,80.34307900623054,81.07683529411767,81.8105915820048,82.21510137500879,81.35813092545729,0,0,0,0,79.36825409861858,80.37729411764707,81.38633413667556,81.96228792571556,80.76658008826229,0,0,0,0,81.0251963814884,81.76418823529411,82.50318008909983,82.21510137500879,81.35813092545729,0,0,0,0,1.0891594269231357,,,,,0.3828349004098018,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.547100787024281,3.0399029945261797,,
1732717800,82.99,83.24,82.86,82.95,0.5196612118355454,0.23850297506343598,0.5231680787053534,0.28466510364191744,0.27895011348180265,81.50586770840694,,685912,50436300,71.15413936412358,16.698306089693894,-40,-60,10,30,50,,,,,,,,,,,82.34033878816446,80.76658008826229,0,0,0,0,0,0,0,0,0,0,82.34033878816446,80.76658008826229,30,15,15,10,80.59308193432142,82.5432941176471,84.49350630097277,81.37174023647735,79.6930670441457,0,0,0,0,80.49912207338451,81.27875294117639,82.05838380896827,82.60077618559431,81.35813092545729,0,0,0,0,79.36825409861858,80.37729411764707,81.38633413667556,82.34033878816446,80.76658008826229,0,0,0,0,81.22570420094978,82.06415294117653,82.90260168140328,82.60077618559431,81.35813092545729,0,0,0,0,1.0891594269231357,,,,64.03171542946842,0.40996945685191044,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.50643172462983,2.9646626909336002,,
