time,open,high,low,close,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,AB2 Bull Put,AB2 Bear Call,AB2 Iron Condor,AB2 Conservative,LT Fast Trackline,LT Slow Trackline,AB1 Strong Bull,AB1 Strong Bear,AB1 Setup Bull,AB1 Setup Bear,AB1 Exit — FTL<STL,AB1 Exit — Time Stop,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4
1659533400,28.376,32.455,28.34115,31.368,3.006655318288222,0,0,0,0,0,0,29.38483741282677,25.065846707809687,0,1,0,0,29.38483741282677,25.065846707809687,0,0,1,0,0,0,3.9133198262162043,15.328847058823502,26.744374291430802,26.00982106645953,32.82526977479242,0,0,0,0,21.209699231107667,25.30537647058822,29.401053710068776,29.38483741282677,25.065846707809687,0,0,0,0,25.800388504570865,30.173291764705887,34.546195024840905,30.24217803886968,25.848257011483312,0,0,0,0,26.753258489371508,28.81560235294117,30.877946216510832,30.24217803886968,25.848257011483312,0,1,0,0
1659619800,31.989,33.223,30.453,30.931,11.082744676438455,0,0,0,0,0,0,29.38483741282677,25.065846707809687,0,0,1,0,29.38483741282677,25.065846707809687,0,0,0,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.13061956171242,32.82526977479242,0,0,0,0,21.667432428066785,25.947063529411764,30.226694630756743,29.38483741282677,25.065846707809687,0,0,0,0,26.399480935644405,30.8493317647059,35.2991825937674,30.24217803886968,27.94031365352022,0,0,0,0,27.308979815755563,29.297637647058828,31.286295478362092,30.24217803886968,27.94031365352022,0,0,0,0
1659706200,30.874,33.097,30.544,31.915,11.10308806246808,0,0,0,0,0,0,29.69722275478304,25.065846707809687,0,1,0,0,29.69722275478304,25.065846707809687,0,0,0,0,0,0,4.402908233222966,15.7475976470588,27.092287060894634,28.299432450161532,32.82526977479242,0,0,0,0,22.121521666173148,26.595023529411755,31.06852539265036,29.69722275478304,25.065846707809687,0,0,0,0,27.007682083482127,31.455536470588257,35.90339085769438,30.56022414329554,28.028434106840205,0,0,0,0,28.16459383276697,30.362185882352954,32.55977793193894,30.56022414329554,28.028434106840205,0,0,0,0
1659965400,33.565,35.194,32.7445,33.001,20.350896606969414,0,0,1,0,0,0,31.283487987542518,25.065846707809687,0,0,0,0,31.283487987542518,25.065846707809687,0,0,0,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,22.62001744050705,27.318068235294113,32.01611903008118,31.283487987542518,25.065846707809687,0,0,0,0,27.652633513691285,32.08180705882353,36.51098060395577,32.404565275917285,30.174403099208764,0,0,0,0,29.357612256144275,31.930127058823526,34.50264186150278,32.404565275917285,30.174403099208764,0,0,0,0
1660051800,32,32.6531,31.425,31.938,20.350896606969414,0,0,0,0,0,0,31.283487987542518,25.065846707809687,0,0,0,0,31.283487987542518,25.065846707809687,0,0,0,0,0,0,5.097633231536019,16.36753647058822,27.63743970964042,30.41633013229285,32.82526977479242,0,0,0,0,23.127185872262167,27.999461176470597,32.871736480679026,31.283487987542518,25.065846707809687,0,0,0,0,28.149735720883438,32.53471999999999,36.919704279116544,32.404565275917285,30.174403099208764,0,0,0,0,30.197054004011218,32.93908470588236,35.681115407753495,32.404565275917285,30.174403099208764,0,0,0,0
1660138200,34.7,34.7,32.75,33.58,21.046175807749997,0,0,0,0,0,0,32.08665833018018,25.065846707809687,0,0,0,0,32.08665833018018,25.065846707809687,0,0,0,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.441141797742308,32.82526977479242,0,0,0,0,23.700640104907436,28.79720941176471,33.89377871862199,32.08665833018018,25.065846707809687,0,0,0,0,28.776032592153108,33.19886588235291,37.62169917255272,32.80865041175364,30.23213073350143,0,0,0,0,31.189487647326036,34.20909411764704,37.22870058796805,32.80865041175364,30.23213073350143,0,0,0,0
1660224600,35.5,36.197,33.006,33.699,22.16742990764827,0,0,0,0,0,0,32.2171470208816,25.065846707809687,0,0,0,0,32.2171470208816,25.065846707809687,0,0,1,0,0,0,6.083476484274069,17.199792941176472,28.316109398078876,30.70995309790357,32.82526977479242,0,0,0,0,24.46826266465856,29.758007058823527,35.04775145298849,32.2171470208816,25.065846707809687,0,0,0,0,29.397268834943084,33.93164,38.46601116505692,33.26409652850187,30.44004996682276,0,0,0,0,31.877112395513826,34.8656588235294,37.854205251544975,33.26409652850187,30.44004996682276,0,0,0,0
1660311000,33.699,35.33,33.1,35.284,23.68405542289911,0,0,0,0,0,0,32.786847304984285,25.065846707809687,0,1,0,0,32.786847304984285,25.065846707809687,0,0,0,0,0,0,7.230696889893135,18.197047058823514,29.163397227753894,30.99631359091046,32.82526977479242,0,0,0,0,25.1659029781544,30.718663529411742,36.271424080669085,32.786847304984285,25.065846707809687,0,0,0,0,30.067212178968738,34.74721176470587,39.427211350442995,34.210301644064884,30.55804639776399,0,0,0,0,32.55133759584794,35.25694588235292,37.962554168857906,34.210301644064884,30.55804639776399,0,0,0,0
1660570200,34.646,35.83218,34.50001,34.908,28.97273296530874,0,0,0,0,0,0,33.52455966603237,25.065846707809687,0,0,0,0,33.52455966603237,25.065846707809687,0,0,0,0,0,0,7.230696889893135,18.197047058823514,29.163397227753894,32.24021976298828,32.82526977479242,0,0,0,0,25.86948301255292,31.648416470588213,37.42734992862351,33.52455966603237,25.065846707809687,0,0,0,0,30.672935637494046,35.35511529411762,40.037294950741185,34.52898458085186,32.044469512209425,0,0,0,0,33.15979674790072,35.799329411764674,38.43886207562863,34.52898458085186,32.044469512209425,0,0,0,0
1660656600,34.448,35.02699,33.026,34.264,28.621159778734377,0,0,0,0,0,0,33.52455966603237,25.065846707809687,0,0,0,0,33.52455966603237,25.065846707809687,0,0,0,0,0,0,8.429967840593264,19.191621176470587,29.95327451234791,32.24021976298828,32.82526977479242,0,0,0,0,26.470080774489013,32.43458823529409,38.399095696099174,33.52455966603237,25.065846707809687,0,0,0,0,31.110033186011023,35.59244941176469,40.07486563751836,34.52898458085186,32.044469512209425,0,0,0,0,33.444354718290036,35.86119294117646,38.27803116406289,34.52898458085186,32.044469512209425,0,0,0,0
