time,open,high,low,close,Fair Value,Bottom Band,Top Band,Likely Bottom,Likely Top,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1471354200,16.645,16.6735,16.381,16.54,3.4353308937434806,2.7482647149947845,5.152996340615221,,16.54,15.148333831959784,16.119245882352942,16.119245882352942,16.553004394588513,17.0532246797051,-15
1471440600,16.518,16.5315,16.318,16.402,3.452717431162764,2.762173944930211,5.179076146744146,,16.402,15.008915205189627,15.995942352941167,15.995942352941167,16.498947956134266,16.953752542058727,-30
1471527000,16.427,16.5845,16.412,16.558,3.44554284244073,2.7564342739525842,5.168314263661095,,16.558,14.922107927914904,15.913260000000015,15.913260000000015,16.498947956134266,16.953752542058727,-20
1471613400,16.546,16.704,16.42,16.664,3.44624574743206,2.756996597945648,5.16936862114809,,16.664,14.911518012253643,15.884208235294132,15.884208235294132,16.581889004554796,16.953752542058727,-15
1471872600,16.66,16.696,16.404,16.688,3.456289434153833,2.7650315473230664,5.184434151230749,,16.688,14.944992525858504,15.885671764705886,15.885671764705886,16.581889004554796,16.953752542058727,-15
1471959000,16.74,17,16.7035,16.842,3.464206733485017,2.771365386788014,5.196310100227525,,16.842,15.004057548799082,15.922370588235275,16.840683627671467,16.758698579732442,16.953752542058727,-20
1472045400,16.845,17.1815,16.645,16.678,3.4594118434600007,2.7675294747680006,5.189117765190002,,16.678,15.126784982869554,15.984438823529416,15.984438823529416,16.758698579732442,16.953752542058727,-15
1472131800,16.676,16.87,16.607,16.832,3.4551559001441814,2.7641247201153454,5.182733850216272,,16.832,15.276763976044348,16.068803529411763,16.860843082779176,16.758698579732442,16.953752542058727,-15
1472218200,16.842,17.161,16.6,16.747,3.449852969477837,2.75988237558227,5.174779454216756,,16.747,15.409889508545124,16.135357647058814,16.135357647058814,16.758698579732442,16.953752542058727,-20
1472477400,16.73,16.817,16.5615,16.6,3.447219002694192,2.757775202155354,5.170828504041288,,16.6,15.585026884291526,16.22460235294117,16.22460235294117,16.682883784409004,16.953752542058727,-15
1472563800,16.607,16.718,16.509,16.696,3.4455757781125795,2.7564606224900636,5.168363667168869,,16.696,15.750889225625292,16.31215764705882,16.31215764705882,16.682883784409004,16.953752542058727,-15
1472650200,16.573,16.725,16.512,16.679,3.451005945653658,2.7608047565229263,5.176508918480486,,16.679,15.935763901035742,16.40787058823531,16.40787058823531,16.682883784409004,16.953752542058727,-20
1472736600,16.647,16.827,16.518,16.732,3.4462417307751543,2.7569933846201238,5.169362596162731,,16.732,16.205525787444408,16.541162352941182,16.876798918437956,16.682883784409004,16.953752542058727,-15
1472823000,16.827,17.126,16.81,16.978,3.4432695841958285,2.754615667356663,5.164904376293743,,16.978,16.454302687312143,16.668025882352932,16.88174907739372,16.829758209725675,16.953752542058727,0
1473168600,16.949,17.072,16.75,17.063,3.4985672303962527,2.7988537843170023,5.247850845594379,,17.063,16.591891624883623,16.76961176470588,16.947331904528134,16.928578514888976,16.953752542058727,-15
1473255000,17.02,17.263,16.958,17.171,3.507136938822444,2.805709551057955,5.260705408233665,,17.171,16.697606665496366,16.885877647058845,17.074148628621323,17.113524051461766,16.953752542058727,-10
1473341400,17.133,17.299,16.945,17.265,3.514036851055259,2.8112294808442075,5.271055276582889,,17.265,16.749830340910982,16.96322352941177,17.17661671791256,17.125893695036652,16.953752542058727,-10
1473427800,17.113,17.367,17.064,17.07,3.532846180145746,2.826276944116597,5.299269270218619,,17.07,16.8017891243259,17.039319999999996,17.276850875674093,17.161913441128544,16.953752542058727,-15
1473687000,17.088,17.289,16.821,17.245,3.4997474200534873,2.79979793604279,5.2496211300802305,,17.245,16.846383097007628,17.09681411764706,17.347245138286493,17.161913441128544,16.953752542058727,-10
